* Measurement data measured by REW V5.20.13
* Source: Flat @ 0 Filtered
* Format: 
* Dated: Aug 6, 2023 12:00:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/REW/Targets/Flat @ 0.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   160.0 Hz  Gain   1.00 dB Q  0.650 LSQ      Fc   25.00 Hz  Gain   1.30 dB Q  0.707 PK       Fc    1000 Hz  Gain   0.70 dB  Q  2.000 HSQ      Fc    1200 Hz  Gain  -0.20 dB Q   2.60 PK       Fc   555.0 Hz  Gain  -0.10 dB  Q  1.414 HSQ      Fc    6000 Hz  Gain   3.80 dB Q  0.600 PK       Fc   11425 Hz  Gain   7.00 dB  Q  2.700 PK       Fc    2555 Hz  Gain  -0.80 dB  Q  2.000 PK       Fc    2270 Hz  Gain   0.30 dB  Q  5.000 PK       Fc    4333 Hz  Gain   0.60 dB  Q  4.000 PK       Fc    5100 Hz  Gain  -0.60 dB  Q  4.000 PK       Fc    9150 Hz  Gain  -1.40 dB  Q  3.000 LPQ      Fc   18800 Hz  Q  0.750
* Measurement: EQ Flat @ 0
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1090.000000	0.726
1106.000000	0.681
1120.000000	0.638
1138.000000	0.578
1150.000000	0.535
1172.000000	0.454
1180.000000	0.424
1206.000000	0.327
1220.000000	0.276
1241.000000	0.204
1250.000000	0.175
1265.000000	0.129
1280.000000	0.087
1315.000000	0.004
1320.000000	-0.007
1340.000000	-0.044
1360.000000	-0.076
1380.000000	-0.103
1400.000000	-0.125
1430.000000	-0.153
1450.000000	-0.168
1475.000000	-0.183
1500.000000	-0.196
1525.000000	-0.207
1550.000000	-0.216
1575.000000	-0.225
1600.000000	-0.232
1625.000000	-0.239
1650.000000	-0.245
1675.000000	-0.251
1700.000000	-0.257
1725.000000	-0.262
1750.000000	-0.268
1775.000000	-0.273
1800.000000	-0.278
1825.000000	-0.283
1850.000000	-0.288
1875.000000	-0.293
1900.000000	-0.297
1925.000000	-0.301
1950.000000	-0.305
1975.000000	-0.307
2000.000000	-0.309
2030.000000	-0.309
2060.000000	-0.307
2090.000000	-0.303
2120.000000	-0.297
2140.000000	-0.293
2180.000000	-0.287
2200.000000	-0.286
2240.000000	-0.292
2270.000000	-0.306
2300.000000	-0.329
2330.000000	-0.359
2360.000000	-0.393
2400.000000	-0.439
2430.000000	-0.470
2470.000000	-0.504
2500.000000	-0.523
2540.000000	-0.538
2580.000000	-0.543
2620.000000	-0.538
2650.000000	-0.528
2690.000000	-0.509
2720.000000	-0.489
2760.000000	-0.459
2800.000000	-0.425
2850.000000	-0.377
2900.000000	-0.326
2950.000000	-0.273
3000.000000	-0.219
3040.000000	-0.176
3070.000000	-0.143
3110.000000	-0.101
3150.000000	-0.058
3200.000000	-0.006
3250.000000	0.046
3300.000000	0.097
3350.000000	0.148
3400.000000	0.198
3450.000000	0.248
3500.000000	0.299
3550.000000	0.350
3600.000000	0.402
3650.000000	0.454
3700.000000	0.509
3750.000000	0.565
3820.000000	0.647
3870.000000	0.707
3950.000000	0.808
4000.000000	0.873
4060.000000	0.949
4120.000000	1.021
4180.000000	1.086
4250.000000	1.145
4310.000000	1.178
4370.000000	1.192
4440.000000	1.187
4500.000000	1.166
4550.000000	1.140
4620.000000	1.095
4680.000000	1.053
4750.000000	1.004
4820.000000	0.959
4870.000000	0.931
4940.000000	0.904
5000.000000	0.892
5080.000000	0.898
5150.000000	0.924
5220.000000	0.968
5300.000000	1.035
5380.000000	1.115
5450.000000	1.189
5520.000000	1.265
5600.000000	1.351
5700.000000	1.454
5800.000000	1.550
5900.000000	1.640
6000.000000	1.724
6080.000000	1.788
6150.000000	1.841
6220.000000	1.893
6300.000000	1.950
6400.000000	2.018
6500.000000	2.083
6600.000000	2.145
6700.000000	2.205
6800.000000	2.263
6900.000000	2.319
7000.000000	2.372
7100.000000	2.423
7200.000000	2.472
7300.000000	2.518
7400.000000	2.562
7500.000000	2.603
7620.000000	2.649
7750.000000	2.694
7880.000000	2.734
8000.000000	2.766
8120.000000	2.795
8250.000000	2.823
8380.000000	2.852
8500.000000	2.882
8620.000000	2.922
8750.000000	2.982
8850.000000	3.048
9000.000000	3.186
9120.000000	3.337
9250.000000	3.548
9380.000000	3.805
9500.000000	4.082
9620.000000	4.392
9750.000000	4.760
9880.000000	5.157
10000.000000	5.546
10150.000000	6.059
10300.000000	6.598
10440.000000	7.120
10600.000000	7.729
10750.000000	8.293
10900.000000	8.825
11060.000000	9.315
11200.000000	9.642
11380.000000	9.876
11500.000000	9.900
11720.000000	9.682
11800.000000	9.532
12060.000000	8.881
12200.000000	8.476
12410.000000	7.865
12500.000000	7.613
12650.000000	7.215
12800.000000	6.849
13150.000000	6.125
13200.000000	6.036
13400.000000	5.712
13600.000000	5.433
13800.000000	5.193
14000.000000	4.986
14300.000000	4.723
14500.000000	4.574
14750.000000	4.410
15000.000000	4.265
15250.000000	4.132
15500.000000	4.009
15750.000000	3.890
16000.000000	3.772
16250.000000	3.650
16500.000000	3.522
16750.000000	3.384
17000.000000	3.230
17250.000000	3.056
17500.000000	2.859
17750.000000	2.630
18000.000000	2.366
18250.000000	2.057
18500.000000	1.698
18750.000000	1.281
19000.000000	0.797
19250.000000	0.238
19500.000000	-0.400
19750.000000	-1.102
20000.000000	-1.699
