* Measurement data measured by REW V5.20.13
* Source: ? 10dB Target Filtered
* Format: 
* Dated: Nov 19, 2023 10:00:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Ralph Ivan Danque\Documents\Personal SquigLink\data\? 10dB Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   105.0 Hz  Gain   3.00 dB Q  0.776 HSQ      Fc    2500 Hz  Gain  -2.00 dB Q  0.391 PK       Fc    2800 Hz  Gain  -1.00 dB  Q  1.800
* Measurement: Charlie Marks Tilt Target
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
49.316940, 6.637
49.674313, 6.628
50.034271, 6.619
50.396843, 6.610
50.762039, 6.600
51.129883, 6.591
51.500389, 6.581
51.873581, 6.572
52.249481, 6.562
52.628101, 6.552
53.009464, 6.542
53.393593, 6.532
53.780506, 6.522
54.170223, 6.512
54.562763, 6.501
54.958145, 6.491
55.356396, 6.480
55.757530, 6.469
56.161572, 6.458
56.568542, 6.446
56.978462, 6.435
57.391350, 6.423
57.807232, 6.411
58.226128, 6.398
58.648056, 6.386
59.073048, 6.373
59.501114, 6.360
59.932281, 6.347
60.366577, 6.334
60.804020, 6.320
61.244629, 6.306
61.688435, 6.292
62.135452, 6.278
62.585712, 6.263
63.039234, 6.248
63.496040, 6.233
63.956161, 6.217
64.419617, 6.201
64.886421, 6.185
65.356621, 6.169
65.830215, 6.152
66.307251, 6.135
66.787743, 6.117
67.271713, 6.099
67.759193, 6.081
68.250206, 6.062
68.744774, 6.043
69.242928, 6.023
69.744690, 6.004
70.250084, 5.984
70.759148, 5.963
71.271896, 5.942
71.788361, 5.921
72.308571, 5.899
72.832550, 5.877
73.360321, 5.855
73.891922, 5.832
74.427376, 5.808
74.966705, 5.785
75.509949, 5.761
76.057121, 5.736
76.608261, 5.712
77.163399, 5.686
77.722557, 5.661
78.285767, 5.635
78.853058, 5.608
79.424461, 5.582
80.000000, 5.555
80.579712, 5.527
81.163628, 5.499
81.751770, 5.471
82.344177, 5.442
82.940880, 5.413
83.541901, 5.384
84.147285, 5.354
84.757050, 5.324
85.371231, 5.293
85.989868, 5.262
86.612984, 5.231
87.240616, 5.199
87.872803, 5.167
88.509560, 5.135
89.150940, 5.102
89.796967, 5.069
90.447670, 5.036
91.103088, 5.002
91.763260, 4.968
92.428215, 4.934
93.097992, 4.899
93.772614, 4.864
94.452133, 4.829
95.136566, 4.793
95.825966, 4.757
96.520363, 4.721
97.219788, 4.684
97.924286, 4.647
98.633881, 4.609
99.348625, 4.572
100.068542, 4.535
100.793686, 4.497
101.524078, 4.459
102.259766, 4.420
103.000778, 4.382
103.747162, 4.343
104.498962, 4.304
105.256203, 4.265
106.018929, 4.226
106.787186, 4.187
107.561012, 4.148
108.340446, 4.108
109.125526, 4.068
109.916290, 4.029
110.712791, 3.989
111.515060, 3.950
112.323143, 3.910
113.137085, 3.870
113.956924, 3.831
114.782700, 3.791
115.614464, 3.751
116.452255, 3.711
117.296112, 3.672
118.146095, 3.632
119.002228, 3.593
119.864563, 3.554
120.733154, 3.515
121.608040, 3.476
122.489258, 3.437
123.376869, 3.399
124.270905, 3.360
125.171425, 3.322
126.078468, 3.284
126.992081, 3.247
127.912323, 3.210
128.839233, 3.172
129.772842, 3.135
130.713242, 3.099
