* Measurement data measured by REW V5.20.13
* Source: JM-1 10dB Target Filtered
* Format: 
* Dated: Dec 5, 2023 9:00:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Squiglink\data\JM-1 10dB Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  PK       Fc   20.00 Hz  Gain   3.00 dB  Q  0.800 HSQ      Fc    2500 Hz  Gain  -2.00 dB Q  0.391 PK       Fc    2800 Hz  Gain   0.50 dB  Q  1.800
* Measurement: JM-1 Charlie Marks Tilt Target
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.438 Hz
*
* Freq(Hz), SPL(dB)
20.437943, 8.380
20.586044, 8.375
20.735220, 8.370
20.885475, 8.363
21.036821, 8.356
21.189262, 8.349
21.342808, 8.341
21.497467, 8.331
21.653246, 8.321
21.810154, 8.310
21.968201, 8.298
22.127390, 8.285
22.287735, 8.271
22.449242, 8.256
22.611917, 8.241
22.775772, 8.224
22.940815, 8.207
23.107054, 8.189
23.274498, 8.169
23.443153, 8.150
23.613033, 8.130
23.784142, 8.108
23.956491, 8.086
24.130091, 8.063
24.304947, 8.040
24.481071, 8.016
24.658470, 7.992
24.837156, 7.967
25.017136, 7.941
25.198421, 7.915
25.381020, 7.888
25.564941, 7.861
25.750195, 7.834
25.936790, 7.806
26.124741, 7.778
26.314051, 7.749
26.504732, 7.720
26.696796, 7.691
26.890253, 7.661
27.085112, 7.631
27.281382, 7.601
27.479073, 7.570
27.678198, 7.539
27.878765, 7.508
28.080786, 7.477
28.284271, 7.446
28.489231, 7.414
28.695675, 7.382
28.903616, 7.351
29.113064, 7.319
29.324028, 7.287
29.536524, 7.255
29.750557, 7.223
29.966141, 7.191
30.183289, 7.159
30.402010, 7.126
30.622314, 7.095
30.844217, 7.062
31.067726, 7.030
31.292856, 6.997
31.519617, 6.965
31.748020, 6.933
31.978081, 6.901
32.209808, 6.869
32.443211, 6.838
32.678310, 6.806
32.915108, 6.774
33.153625, 6.743
33.393871, 6.711
33.635857, 6.680
33.879597, 6.649
34.125103, 6.618
34.372387, 6.587
34.621464, 6.556
34.872345, 6.526
35.125042, 6.496
35.379574, 6.466
35.635948, 6.436
35.894180, 6.406
36.154285, 6.376
36.416275, 6.347
36.680161, 6.318
36.945961, 6.289
37.213688, 6.260
37.483353, 6.232
37.754974, 6.204
38.028561, 6.177
38.304131, 6.149
38.581699, 6.122
38.861279, 6.095
39.142883, 6.068
39.426529, 6.041
39.712231, 6.015
40.000000, 5.989
40.289856, 5.963
40.581814, 5.938
40.875885, 5.913
41.172089, 5.889
41.470440, 5.865
41.770950, 5.840
42.073643, 5.817
42.378525, 5.793
42.685616, 5.770
42.994934, 5.746
43.306492, 5.724
43.620308, 5.702
43.936401, 5.679
44.254780, 5.657
44.575470, 5.635
44.898483, 5.614
45.223835, 5.593
45.551544, 5.573
45.881630, 5.552
46.214108, 5.531
46.548996, 5.511
46.886307, 5.491
47.226067, 5.471
47.568283, 5.452
47.912983, 5.433
48.260181, 5.414
48.609894, 5.396
48.962143, 5.377
49.316940, 5.358
49.674313, 5.340
50.034271, 5.323
50.396843, 5.305
