* Measurement data measured by REW V5.20.13
* Source: Rollo Δ 10dB Target + Δ 10dB EQ to Timmy Target
* Format: 
* Dated: Dec 3, 2023 11:41:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Squiglink\data\Δ 10dB Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   55.00 Hz  Gain   7.00 dB Q  0.710 PK       Fc   140.0 Hz  Gain  -0.80 dB  Q  2.100 PK       Fc   275.0 Hz  Gain  -1.20 dB  Q  0.700 PK       Fc    1700 Hz  Gain   5.00 dB  Q  1.100 PK       Fc    3000 Hz  Gain  -1.00 dB  Q  1.800 HSQ      Fc   12000 Hz  Gain   8.00 dB Q  0.710
* Measurement: Rollo-Timmy Tilt Target
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
45.881630, 6.540
46.214108, 6.488
46.548996, 6.436
46.886307, 6.384
47.226067, 6.331
47.568283, 6.278
47.912983, 6.225
48.260181, 6.172
48.609894, 6.119
48.962143, 6.064
49.316940, 6.010
49.674313, 5.956
50.034271, 5.901
50.396843, 5.846
50.762039, 5.791
51.129883, 5.736
51.500389, 5.681
51.873581, 5.625
52.249481, 5.569
52.628101, 5.513
53.009464, 5.457
53.393593, 5.401
53.780506, 5.345
54.170223, 5.289
54.562763, 5.233
54.958145, 5.176
55.356396, 5.119
55.757530, 5.063
56.161572, 5.007
56.568542, 4.950
56.978462, 4.894
57.391350, 4.837
57.807232, 4.780
58.226128, 4.723
58.648056, 4.667
59.073048, 4.610
59.501114, 4.554
59.932281, 4.498
60.366577, 4.442
60.804020, 4.386
61.244629, 4.330
61.688435, 4.275
62.135452, 4.219
62.585712, 4.164
63.039234, 4.108
63.496040, 4.053
63.956161, 3.999
64.419617, 3.944
64.886421, 3.890
65.356621, 3.836
65.830215, 3.782
66.307251, 3.729
66.787743, 3.676
67.271713, 3.623
67.759193, 3.569
68.250206, 3.516
68.744774, 3.464
69.242928, 3.412
69.744690, 3.361
70.250084, 3.309
70.759148, 3.258
71.271896, 3.207
71.788361, 3.157
72.308571, 3.106
72.832550, 3.057
73.360321, 3.007
73.891922, 2.958
74.427376, 2.909
74.966705, 2.861
75.509949, 2.812
76.057121, 2.765
76.608261, 2.717
77.163399, 2.670
77.722557, 2.623
78.285767, 2.577
78.853058, 2.530
79.424461, 2.485
80.000000, 2.439
80.579712, 2.394
81.163628, 2.350
81.751770, 2.305
82.344177, 2.261
82.940880, 2.217
83.541901, 2.174
84.147285, 2.131
84.757050, 2.088
85.371231, 2.045
85.989868, 2.002
86.612984, 1.960
87.240616, 1.918
87.872803, 1.877
88.509560, 1.835
89.150940, 1.794
89.796967, 1.753
90.447670, 1.712
91.103088, 1.671
91.763260, 1.630
92.428215, 1.590
93.097992, 1.549
93.772614, 1.509
94.452133, 1.469
95.136566, 1.429
95.825966, 1.389
96.520363, 1.348
97.219788, 1.308
97.924286, 1.267
98.633881, 1.227
99.348625, 1.186
100.068542, 1.146
100.793686, 1.106
101.524078, 1.065
102.259766, 1.024
103.000778, 0.983
103.747162, 0.942
104.498962, 0.901
105.256203, 0.859
106.018929, 0.817
106.787186, 0.775
107.561012, 0.733
108.340446, 0.691
109.125526, 0.648
109.916290, 0.605
110.712791, 0.562
111.515060, 0.518
112.323143, 0.475
113.137085, 0.432
113.956924, 0.388
114.782700, 0.343
115.614464, 0.298
116.452255, 0.252
117.296112, 0.207
118.146095, 0.162
119.002228, 0.117
119.864563, 0.071
120.733154, 0.026
121.608040, -0.020
122.489258, -0.065
123.376869, -0.111
124.270905, -0.156
125.171425, -0.201
126.078468, -0.245
126.992081, -0.289
127.912323, -0.332
128.839233, -0.375
129.772842, -0.417
130.713242, -0.458
131.660431, -0.499
132.614502, -0.538
133.575485, -0.576
134.543427, -0.613
135.518387, -0.648
136.500412, -0.682
137.489548, -0.714
138.485855, -0.745
139.489380, -0.774
140.500168, -0.801
141.518295, -0.827
142.543793, -0.852
143.576721, -0.875
144.617142, -0.896
145.665100, -0.916
146.720642, -0.935
147.783844, -0.952
148.854752, -0.968
149.933411, -0.983
151.019897, -0.997
152.114243, -1.010
153.216522, -1.023
154.326797, -1.034
155.445114, -1.045
156.571533, -1.055
157.706116, -1.065
158.848923, -1.075
160.000000, -1.084
161.159424, -1.094
162.327255, -1.103
163.503540, -1.112
164.688354, -1.122
165.881760, -1.131
167.083801, -1.141
168.294571, -1.150
169.514099, -1.160
170.742462, -1.170
171.979736, -1.180
173.225967, -1.190
174.481232, -1.201
175.745605, -1.211
177.019119, -1.223
178.301880, -1.234
179.593933, -1.245
180.895340, -1.257
182.206177, -1.269
183.526520, -1.281
184.856430, -1.293
186.195984, -1.305
187.545227, -1.318
188.904266, -1.330
190.273132, -1.343
191.651932, -1.356
193.040726, -1.369
194.439575, -1.383
195.848572, -1.396
197.267761, -1.408
198.697250, -1.422
200.137085, -1.436
201.587372, -1.449
203.048157, -1.462
204.519531, -1.475
206.001556, -1.487
207.494324, -1.500
208.997925, -1.513
210.512405, -1.526
212.037857, -1.539
213.574371, -1.551
215.122025, -1.564
216.680893, -1.576
218.251053, -1.588
219.832581, -1.600
221.425583, -1.611
223.030121, -1.622
224.646286, -1.633
226.274170, -1.644
227.913849, -1.654
229.565399, -1.664
231.228928, -1.674
232.904510, -1.684
234.592224, -1.693
236.292191, -1.702
238.004456, -1.710
239.729126, -1.719
241.466309, -1.726
243.216080, -1.734
244.978516, -1.741
246.753738, -1.748
248.541809, -1.755
250.342850, -1.761
252.156937, -1.767
253.984161, -1.773
255.824646, -1.779
257.678467, -1.784
259.545685, -1.790
261.426483, -1.795
263.320862, -1.800
265.229004, -1.804
267.150970, -1.808
269.086853, -1.812
271.036774, -1.816
273.000824, -1.819
274.979095, -1.822
276.971710, -1.825
278.978760, -1.827
281.000336, -1.830
283.036591, -1.832
285.087585, -1.834
287.153442, -1.835
289.234283, -1.836
291.330200, -1.836
293.441284, -1.837
295.567688, -1.838
297.709503, -1.838
299.866821, -1.838
302.039795, -1.837
304.228485, -1.836
306.433044, -1.835
308.653595, -1.833
310.890228, -1.832
313.143066, -1.831
315.412231, -1.829
317.697845, -1.826
320.000000, -1.823
322.318848, -1.820
324.654510, -1.817
327.007080, -1.814
329.376709, -1.811
331.763519, -1.807
334.167603, -1.802
336.589142, -1.798
339.028198, -1.794
341.484924, -1.789
343.959473, -1.784
346.451935, -1.779
348.962463, -1.774
351.491211, -1.768
354.038239, -1.762
356.603760, -1.756
359.187866, -1.750
361.790680, -1.744
364.412354, -1.737
367.053040, -1.731
369.712860, -1.725
372.391968, -1.719
375.090454, -1.712
377.808533, -1.705
380.546265, -1.699
383.303864, -1.692
386.081451, -1.685
388.879150, -1.679
391.697144, -1.672
394.535522, -1.666
397.394501, -1.659
400.274170, -1.653
403.174744, -1.647
406.096313, -1.641
409.039062, -1.635
412.003113, -1.628
414.988647, -1.623
417.995850, -1.617
421.024811, -1.611
424.075714, -1.605
427.148743, -1.600
430.244049, -1.594
433.361786, -1.589
436.502106, -1.584
439.665161, -1.579
442.851166, -1.574
446.060242, -1.569
449.292572, -1.563
452.548340, -1.558
455.827698, -1.553
459.130798, -1.548
462.457855, -1.542
465.809021, -1.537
469.184448, -1.532
472.584381, -1.528
476.008911, -1.523
479.458252, -1.518
482.932617, -1.513
486.432159, -1.508
489.957031, -1.503
493.507477, -1.498
497.083618, -1.494
500.685699, -1.489
504.313873, -1.484
507.968323, -1.480
511.649292, -1.475
515.356934, -1.471
519.091370, -1.466
522.852966, -1.461
526.641724, -1.457
530.458008, -1.452
534.301941, -1.447
538.173706, -1.442
542.073547, -1.437
546.001648, -1.432
549.958191, -1.426
553.943420, -1.421
557.957520, -1.416
562.000671, -1.410
566.073181, -1.404
570.175171, -1.398
574.306885, -1.391
578.468567, -1.385
582.660400, -1.378
586.882568, -1.371
591.135376, -1.364
595.419006, -1.356
599.733643, -1.349
604.079590, -1.342
608.456970, -1.335
612.866089, -1.327
617.307190, -1.320
621.780457, -1.312
626.286133, -1.304
630.824463, -1.296
635.395691, -1.289
640.000000, -1.281
644.637695, -1.273
649.309021, -1.266
654.014160, -1.258
658.753418, -1.250
663.527039, -1.243
668.335205, -1.235
673.178284, -1.228
678.056396, -1.220
682.969849, -1.213
687.918945, -1.206
692.903870, -1.199
697.924927, -1.192
702.982422, -1.185
708.076477, -1.177
713.207520, -1.169
718.375732, -1.161
723.581360, -1.154
728.824707, -1.145
734.106079, -1.136
739.425720, -1.127
744.783936, -1.117
750.180908, -1.108
755.617065, -1.096
761.092529, -1.085
766.607727, -1.073
772.162903, -1.061
777.758301, -1.047
783.394287, -1.033
789.071045, -1.018
794.789001, -1.002
800.548340, -0.985
806.349487, -0.968
812.192627, -0.950
818.078125, -0.931
824.006226, -0.911
829.977295, -0.889
835.991699, -0.867
842.049622, -0.844
848.151428, -0.820
854.297485, -0.796
860.488098, -0.770
866.723572, -0.744
873.004211, -0.717
879.330322, -0.689
885.702332, -0.660
892.120483, -0.630
898.585144, -0.599
905.096680, -0.568
911.655396, -0.536
918.261597, -0.503
924.915710, -0.469
931.618042, -0.433
938.368896, -0.397
945.168762, -0.359
952.017822, -0.320
958.916504, -0.280
965.865234, -0.238
972.864319, -0.194
979.914062, -0.149
987.014954, -0.101
994.167236, -0.052
1001.371399, 0.000
1008.627747, 0.054
1015.936646, 0.109
1023.298584, 0.167
1030.713867, 0.228
1038.182739, 0.289
1045.705933, 0.353
1053.283447, 0.420
1060.916016, 0.487
1068.603882, 0.556
1076.347412, 0.626
1084.147095, 0.696
1092.003296, 0.768
1099.916382, 0.839
1107.886841, 0.911
1115.915039, 0.983
1124.001343, 1.054
1132.146362, 1.126
1140.350342, 1.198
1148.613770, 1.270
1156.937134, 1.341
1165.320801, 1.412
1173.765137, 1.484
1182.270752, 1.555
1190.838013, 1.627
1199.467285, 1.700
1208.159180, 1.773
1216.913940, 1.847
1225.732178, 1.922
1234.614380, 1.998
1243.560913, 2.075
1252.572266, 2.152
1261.648926, 2.232
1270.791382, 2.312
1280.000000, 2.393
1289.275391, 2.476
1298.618042, 2.559
1308.028320, 2.643
1317.506836, 2.727
1327.054077, 2.812
1336.670410, 2.897
1346.356567, 2.983
1356.112793, 3.070
1365.939697, 3.157
1375.837891, 3.244
1385.807739, 3.330
1395.849854, 3.416
1405.964844, 3.502
1416.152954, 3.588
1426.415039, 3.673
1436.751465, 3.757
1447.162720, 3.841
1457.649414, 3.925
1468.212158, 4.007
1478.851440, 4.088
1489.567871, 4.169
1500.361816, 4.249
1511.234131, 4.328
1522.185059, 4.405
1533.215454, 4.482
1544.325806, 4.557
1555.516602, 4.631
1566.788574, 4.703
1578.142090, 4.774
1589.578003, 4.843
1601.096680, 4.910
1612.698975, 4.975
1624.385254, 5.038
1636.156250, 5.099
1648.012451, 5.159
1659.954590, 5.216
1671.983398, 5.272
1684.099243, 5.325
1696.302856, 5.377
1708.594971, 5.427
1720.976196, 5.475
1733.447144, 5.521
1746.008423, 5.566
1758.660645, 5.610
1771.404663, 5.652
1784.240967, 5.693
1797.170288, 5.734
1810.193359, 5.773
1823.310791, 5.811
1836.523193, 5.849
1849.831421, 5.885
1863.236084, 5.922
1876.737793, 5.958
1890.337524, 5.993
