Freq[Hz]     dBSPL  Phase[Deg]
5.00000     79.522   -40.911
5.07273     79.495   -40.910
5.14651     79.456   -40.910
5.22137     79.403   -40.911
5.29732     79.348   -40.916
5.37437     79.291   -40.922
5.45254     79.235   -40.929
5.53185     79.179   -40.937
5.61231     79.123   -40.945
5.69394     79.066   -40.953
5.77676     79.010   -40.961
5.86079     78.954   -40.970
5.94604     78.898   -40.978
6.03252     78.842   -40.987
6.12027     78.785   -40.996
6.20929     78.729   -41.006
6.29961     78.673   -41.015
6.39124     78.617   -41.025
6.48420     78.560   -41.035
6.57851     78.504   -41.045
6.67420     78.448   -41.055
6.77128     78.392   -41.065
6.86977     78.336   -41.076
6.96969     78.279   -41.087
7.07107     78.223   -41.098
7.17392     78.167   -41.109
7.27827     78.111   -41.121
7.38413     78.054   -41.132
7.49154     77.998   -41.144
7.60050     77.942   -41.156
7.71105     77.886   -41.169
7.82321     77.830   -41.181
7.93701     77.773   -41.194
8.05245     77.717   -41.207
8.16958     77.661   -41.221
8.28841     77.605   -41.234
8.40896     77.548   -41.248
8.53128     77.492   -41.262
8.65537     77.436   -41.276
8.78126     77.380   -41.291
8.90899     77.324   -41.306
9.03857     77.267   -41.321
9.17004     77.211   -41.336
9.30342     77.155   -41.352
9.43874     77.099   -41.368
9.57603     77.042   -41.384
9.71532     76.986   -41.400
9.85663     76.930   -41.417
10.0000     76.874   -41.434
10.1455     76.818   -41.452
10.2930     76.761   -41.470
10.4427     76.705   -41.488
10.5946     76.649   -41.506
10.7487     76.593   -41.525
10.9051     76.536   -41.544
11.0637     76.480   -41.564
11.2246     76.424   -41.584
11.3879     76.368   -41.604
11.5535     76.312   -41.625
11.7216     76.255   -41.646
11.8921     76.199   -41.667
12.0650     76.143   -41.689
12.2405     76.087   -41.711
12.4186     76.030   -41.734
12.5992     75.974   -41.757
12.7825     75.918   -41.781
12.9684     75.862   -41.805
13.1570     75.806   -41.830
13.3484     75.749   -41.855
13.5426     75.693   -41.881
13.7395     75.637   -41.907
13.9394     75.581   -41.934
14.1421     75.524   -41.962
