* Measurement data measured by REW V5.20.13
* Source: Rollo Δ 10dB Target + Δ 10dB EQ to HBB 2022
* Format: 
* Dated: Dec 3, 2023 11:17:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Squiglink\data\Δ 10dB Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  PK       Fc   20.00 Hz  Gain   3.90 dB  Q  0.600 PK       Fc   50.00 Hz  Gain   0.50 dB  Q  1.410 LSQ      Fc   105.0 Hz  Gain   2.10 dB Q  0.776 PK       Fc   400.0 Hz  Gain  -2.00 dB  Q  1.000 PK       Fc    1750 Hz  Gain   1.00 dB  Q  1.410 PK       Fc    3100 Hz  Gain  -2.20 dB  Q  1.800 PK       Fc    5000 Hz  Gain  -2.50 dB  Q  1.410 HSQ      Fc    6000 Hz  Gain   3.00 dB Q  0.710
* Measurement: Rollo-HBB Tilt Target
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
20.000000, 11.447
20.144928, 11.446
20.290907, 11.443
20.437943, 11.441
20.586044, 11.438
20.735220, 11.434
20.885475, 11.430
21.036821, 11.425
21.189262, 11.421
21.342808, 11.415
21.497467, 11.409
21.653246, 11.402
21.810154, 11.394
21.968201, 11.386
22.127390, 11.377
22.287735, 11.367
22.449242, 11.356
22.611917, 11.345
22.775772, 11.332
22.940815, 11.320
23.107054, 11.306
23.274498, 11.292
23.443153, 11.277
23.613033, 11.262
23.784142, 11.246
23.956491, 11.229
24.130091, 11.211
24.304947, 11.194
24.481071, 11.175
24.658470, 11.156
24.837156, 11.136
25.017136, 11.116
25.198421, 11.095
25.381020, 11.074
25.564941, 11.052
25.750195, 11.030
25.936790, 11.008
26.124741, 10.985
26.314051, 10.962
26.504732, 10.938
26.696796, 10.914
26.890253, 10.889
27.085112, 10.864
27.281382, 10.838
27.479073, 10.812
27.678198, 10.786
27.878765, 10.760
28.080786, 10.734
28.284271, 10.707
28.489231, 10.679
28.695675, 10.652
28.903616, 10.624
29.113064, 10.596
29.324028, 10.568
29.536524, 10.540
29.750557, 10.512
29.966141, 10.484
30.183289, 10.455
30.402010, 10.426
30.622314, 10.398
30.844217, 10.369
31.067726, 10.339
31.292856, 10.309
31.519617, 10.280
31.748020, 10.251
31.978081, 10.221
32.209808, 10.192
32.443211, 10.163
32.678310, 10.133
32.915108, 10.104
33.153625, 10.075
33.393871, 10.045
33.635857, 10.016
33.879597, 9.987
34.125103, 9.957
34.372387, 9.928
34.621464, 9.899
34.872345, 9.870
35.125042, 9.842
35.379574, 9.813
35.635948, 9.785
35.894180, 9.756
36.154285, 9.728
36.416275, 9.700
36.680161, 9.672
36.945961, 9.644
37.213688, 9.617
37.483353, 9.589
37.754974, 9.563
38.028561, 9.536
38.304131, 9.510
38.581699, 9.483
38.861279, 9.457
39.142883, 9.430
39.426529, 9.404
39.712231, 9.378
40.000000, 9.353
40.289856, 9.328
40.581814, 9.303
40.875885, 9.278
41.172089, 9.254
41.470440, 9.229
41.770950, 9.205
42.073643, 9.180
42.378525, 9.156
42.685616, 9.132
42.994934, 9.108
43.306492, 9.084
43.620308, 9.060
