* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 6, 2023 12:00:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = EQ Flat @ 0 B = Delta 10dB
* Measurement: A times B
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	5.391
20.299999	5.386
20.600000	5.382
20.900000	5.378
21.200001	5.375
21.400000	5.373
21.799999	5.368
22.000000	5.366
22.400000	5.359
22.700001	5.353
23.000000	5.347
23.299999	5.340
23.600000	5.333
24.000000	5.322
24.299999	5.314
24.700001	5.302
25.000000	5.293
25.400000	5.280
25.799999	5.267
26.200001	5.254
26.500000	5.244
26.900000	5.230
27.200001	5.219
27.600000	5.204
28.000000	5.190
28.500000	5.171
29.000000	5.152
29.500000	5.133
30.000000	5.115
30.400000	5.099
30.700001	5.088
31.100000	5.072
31.500000	5.056
32.000000	5.037
32.500000	5.018
33.000000	4.999
33.500000	4.980
34.000000	4.961
34.500000	4.942
35.000000	4.924
35.500000	4.906
36.000000	4.888
36.500000	4.870
37.000000	4.853
37.500000	4.836
38.200001	4.814
38.700001	4.798
39.500000	4.773
40.000000	4.758
40.599998	4.741
41.200001	4.725
41.799999	4.709
42.500000	4.691
43.099998	4.676
43.700001	4.662
44.400002	4.645
45.000000	4.632
45.500000	4.622
46.200001	4.607
46.799999	4.595
47.500000	4.581
48.200001	4.568
48.700001	4.559
49.400002	4.546
50.000000	4.536
50.799999	4.522
51.500000	4.511
52.200001	4.499
53.000000	4.486
53.799999	4.474
54.500000	4.463
55.200001	4.452
56.000000	4.440
57.000000	4.425
58.000000	4.409
59.000000	4.394
60.000000	4.379
60.799999	4.367
61.500000	4.357
62.200001	4.346
63.000000	4.334
64.000000	4.319
65.000000	4.304
66.000000	4.289
67.000000	4.274
68.000000	4.258
69.000000	4.242
70.000000	4.227
71.000000	4.211
72.000000	4.195
73.000000	4.179
74.000000	4.163
75.000000	4.147
76.199997	4.128
77.500000	4.107
78.800003	4.086
80.000000	4.067
81.199997	4.048
82.500000	4.027
83.800003	4.007
85.000000	3.988
86.199997	3.968
87.500000	3.948
88.500000	3.932
90.000000	3.908
91.199997	3.889
92.500000	3.868
93.800003	3.847
95.000000	3.828
96.199997	3.808
97.500000	3.786
98.800003	3.764
100.000000	3.744
101.500000	3.719
103.000000	3.693
104.400002	3.669
106.000000	3.641
107.500000	3.615
109.000000	3.588
110.599998	3.560
112.000000	3.535
113.800003	3.504
115.000000	3.482
117.199997	3.442
118.000000	3.428
120.599998	3.382
122.000000	3.357
124.099998	3.320
125.000000	3.304
126.500000	3.278
128.000000	3.253
131.500000	3.193
132.000000	3.184
134.000000	3.151
136.000000	3.118
138.000000	3.086
140.000000	3.055
143.000000	3.009
145.000000	2.979
147.500000	2.942
150.000000	2.907
152.500000	2.872
155.000000	2.838
157.500000	2.806
160.000000	2.774
162.500000	2.743
165.000000	2.712
167.500000	2.682
170.000000	2.653
172.500000	2.624
175.000000	2.597
177.500000	2.569
180.000000	2.543
182.500000	2.517
185.000000	2.492
187.500000	2.468
190.000000	2.444
192.500000	2.421
195.000000	2.398
197.500000	2.377
200.000000	2.355
203.000000	2.331
206.000000	2.308
209.000000	2.286
212.000000	2.264
214.000000	2.250
218.000000	2.223
220.000000	2.211
224.000000	2.187
227.000000	2.171
230.000000	2.155
233.000000	2.140
236.000000	2.126
240.000000	2.108
243.000000	2.096
247.000000	2.080
250.000000	2.069
254.000000	2.055
258.000000	2.041
262.000000	2.027
265.000000	2.017
269.000000	2.004
272.000000	1.995
276.000000	1.983
280.000000	1.971
285.000000	1.956
290.000000	1.943
295.000000	1.929
300.000000	1.916
304.000000	1.906
307.000000	1.899
311.000000	1.889
315.000000	1.879
320.000000	1.868
325.000000	1.857
330.000000	1.846
335.000000	1.836
340.000000	1.825
345.000000	1.816
350.000000	1.806
355.000000	1.797
360.000000	1.788
365.000000	1.779
370.000000	1.769
375.000000	1.760
382.000000	1.747
387.000000	1.737
395.000000	1.721
400.000000	1.710
406.000000	1.696
412.000000	1.683
418.000000	1.668
425.000000	1.651
431.000000	1.636
437.000000	1.620
444.000000	1.601
450.000000	1.586
455.000000	1.572
462.000000	1.554
468.000000	1.538
475.000000	1.519
482.000000	1.500
487.000000	1.487
494.000000	1.468
500.000000	1.452
508.000000	1.430
515.000000	1.411
522.000000	1.392
530.000000	1.371
538.000000	1.350
545.000000	1.332
552.000000	1.315
560.000000	1.295
570.000000	1.272
580.000000	1.250
590.000000	1.229
600.000000	1.209
608.000000	1.192
615.000000	1.178
622.000000	1.164
630.000000	1.148
640.000000	1.128
650.000000	1.107
660.000000	1.086
670.000000	1.064
680.000000	1.042
690.000000	1.019
700.000000	0.995
710.000000	0.972
720.000000	0.949
730.000000	0.926
740.000000	0.905
750.000000	0.884
762.000000	0.862
775.000000	0.839
788.000000	0.820
800.000000	0.805
812.000000	0.792
825.000000	0.781
838.000000	0.774
850.000000	0.769
862.000000	0.766
875.000000	0.765
885.000000	0.765
900.000000	0.768
912.000000	0.771
925.000000	0.777
938.000000	0.785
950.000000	0.795
962.000000	0.807
975.000000	0.824
988.000000	0.845
1000.000000	0.869
1015.000000	0.904
