f [Hz],USOUND1V1_Reference
10,9.983470478
10.15348872,9.983162005
10.30933332,9.982636528
10.46756995,9.982094508
10.62823534,9.981535415
10.79136676,9.980958703
10.95700207,9.980363805
11.12517969,9.979750139
11.29593864,9.979117101
11.46931856,9.978464068
11.64535966,9.977790394
11.82410279,9.977095416
12.00558943,9.976378444
12.18986168,9.975638768
12.37696231,9.974875653
12.56693471,9.97408834
12.75982298,9.973276043
12.95567187,9.972437951
13.15452682,9.971573225
13.35643396,9.970680996
13.56144016,9.969760368
13.76959296,9.968810413
13.98094068,9.967830172
14.19553235,9.966818652
14.41341775,9.965774827
14.63464745,9.964697635
14.85927278,9.963585978
15.08734585,9.96243872
15.31891959,9.961254686
15.55404772,9.960032658
15.79278481,9.958771378
16.03518624,9.957469542
16.28130826,9.956125803
16.53120797,9.954738765
16.78494336,9.953306982
17.0425733,9.951828958
17.30415758,9.950303145
17.56975687,9.948727938
17.83943282,9.947101677
18.11324799,9.94542264
18.39126591,9.943689046
18.67355109,9.941899049
18.96016903,9.940050736
19.25118624,9.938142127
19.54667023,9.936171166
19.84668956,9.934135728
20.15131386,9.932033606
20.46061379,9.929862514
20.77466113,9.927620083
21.09352874,9.925303857
21.41729061,9.922911289
21.74602185,9.920439736
22.07979876,9.917886461
22.41869876,9.915248623
22.76280049,9.912523275
23.1121838,9.909707361
23.46692974,9.906797711
23.82712064,9.903791034
24.19284006,9.900683917
24.56417286,9.897472817
24.9412052,9.89415406
25.32402456,9.890723828
25.71271977,9.887178162
26.10738101,9.883512951
26.50809985,9.879723927
26.91496928,9.875806658
27.32808369,9.871756545
27.74753894,9.867568809
28.17343236,9.863238491
28.60586276,9.858760438
29.04493048,9.854129301
29.4907374,9.849339522
29.94338695,9.844385332
30.40298415,9.839260735
30.86963566,9.833959505
31.34344974,9.828475174
31.82453633,9.822801026
32.31300706,9.816930082
32.80897526,9.810855094
33.31255602,9.804568533
33.82386617,9.798062577
34.34302436,9.791329105
34.87015103,9.78435968
35.40536851,9.777145539
35.94880098,9.769677584
36.50057451,9.761946363
37.06081715,9.753942066
37.62965888,9.745654506
38.20723169,9.737073107
38.79366959,9.728186891
39.38910866,9.718984468
39.99368704,9.709454014
40.60754501,9.699583266
41.23082501,9.689359501
41.86367166,9.678769526
42.50623179,9.667799663
43.15865449,9.656435732
43.82109115,9.644663043
44.49369546,9.632466375
45.17662349,9.619829966
45.87003369,9.606737499
46.57408696,9.59317209
47.28894665,9.579116274
48.01477862,9.564551992
48.75175131,9.549460583
49.50003569,9.53382277
50.25980539,9.517618655
51.0312367,9.500827705
51.81450861,9.48342875
52.60980286,9.465399975
53.41730398,9.446718917
54.23719933,9.427362465
55.06967915,9.407306855
55.9149366,9.38652768
56.77316779,9.364999887
57.64457186,9.342697792
58.52935101,9.319595087
59.42771051,9.295664855
60.33985882,9.270879591
61.26600758,9.24521122
62.20637168,9.218631123
63.1611693,9.191110172
64.13062199,9.162618764
65.11495469,9.133126857
66.11439578,9.102604023
67.12917716,9.071019495
68.1595343,9.038342227
69.20570625,9.004540955
70.26793577,8.969584272
71.34646931,8.9334407
72.44155712,8.896078778
73.55345329,8.857467149
74.68241581,8.81757466
75.82870664,8.776370465
76.99259174,8.733824141
78.17434116,8.689905801
79.3742291,8.644586223
80.59253397,8.597836982
81.82953844,8.549630587
83.08552953,8.499940629
84.36079868,8.448741927
85.65564176,8.396010683
86.97035922,8.341724647
88.30525612,8.285863272
89.66064218,8.228407882
91.03683188,8.169341844
92.43414454,8.108650728
93.85290437,8.046322481
95.29344057,7.98234759
96.75608738,7.916719247
98.24118416,7.849433509
99.7490755,7.780489448
101.2801113,7.709889306
102.8346467,7.63763863
104.4130425,7.563746401
106.0156649,7.488225159
107.6428858,7.411091103
109.2950826,7.332364192
110.9726388,7.25206822
112.6759437,7.170230882
114.4053923,7.08688382
116.161386,7.00206265
117.9443322,6.915806978
119.7546446,6.828160385
121.5927433,6.739170403
123.4590547,6.648888464
125.3540119,6.557369833
127.2780546,6.464673516
129.2316291,6.370862155
131.2151889,6.276001891
133.229194,6.180162225
135.2741118,6.083415838
137.3504168,5.985838417
139.4585907,5.887508441
141.5991228,5.788506969
143.7725095,5.688917401
145.9792554,5.588825233
148.2198722,5.488317794
150.4948801,5.387483975
152.8048067,5.286413951
155.1501881,5.185198891
157.5315684,5.083930666
159.9495003,4.98270155
162.4045446,4.881603923
164.8972712,4.780729969
167.4282582,4.680171377
169.9980931,4.580019048
172.6073721,4.480362803
175.2567005,4.381291102
177.9466931,4.282890765
180.6779741,4.185246713
183.4511772,4.08844171
186.2669458,3.992556124
189.1259332,3.897667704
192.0288029,3.803851368
194.9762284,3.711179011
197.9688935,3.61971933
201.0074927,3.529537666
204.0927309,3.440695867
207.2253241,3.353252175
210.405999,3.267261122
213.6354938,3.182773458
216.9145576,3.099836094
220.2439513,3.018492063
223.6244475,2.938780506
227.0568304,2.860736678
230.5418966,2.784391962
234.0804546,2.709773918
237.6733255,2.636906333
241.3213429,2.5658093
245.0253533,2.496499301
248.786216,2.428989314
252.6048038,2.363288923
256.4820025,2.29940445
260.4187119,2.237339084
264.4158453,2.177093029
268.4743302,2.118663654
272.5951083,2.062045653
276.7791357,2.0072312
281.0273832,1.95421012
285.3408364,1.902970052
289.7204964,1.853496614
294.1673791,1.805773571
298.6825165,1.759783003
303.2669562,1.715505457
307.9217618,1.672920117
312.6480134,1.63200495
317.4468077,1.592736856
322.3192581,1.555091815
327.266495,1.519045023
332.2896665,1.484571019
337.389938,1.451643815
342.5684929,1.420237008
347.8265328,1.39032389
353.1652777,1.361877551
358.5859662,1.334870972
364.0898563,1.309277111
369.6782248,1.285068984
375.3523685,1.262219732
381.1136039,1.240702688
386.9632677,1.220491432
392.9027173,1.201559841
398.9333307,1.183882131
405.0565073,1.167432889
411.2736677,1.152187109
417.5862545,1.138120207
423.9957324,1.125208043
430.5035885,1.113426928
437.1113329,1.10275363
443.8204987,1.093165372
450.6326427,1.084639829
457.5493453,1.077155114
464.5722116,1.070689763
471.7028709,1.065222713
478.9429778,1.06073328
486.2942122,1.057201124
493.7582797,1.05460622
501.3369122,1.052928815
509.0318682,1.052149389
516.8449331,1.052248607
524.7779197,1.053207268
532.8326687,1.055006251
541.0110491,1.057626458
549.3149583,1.061048751
557.7463232,1.065253885
566.3071,1.070222442
574.9992751,1.075934757
583.8248652,1.082370844
592.7859182,1.089510313
601.8845133,1.097332293
611.1227615,1.105815346
620.5028065,1.11493738
630.0268245,1.124675563
639.6970255,1.135006233
649.5156531,1.145904807
659.4849856,1.157345696
669.6073361,1.169302216
679.8850532,1.181746508
690.3205218,1.194649453
700.916163,1.207980612
711.6744353,1.221708158
722.597835,1.235798831
733.6888965,1.250217913
744.9501933,1.264929216
756.3843383,1.279895105
767.9939846,1.295076556
779.7818258,1.310433251
791.7505971,1.325923729
803.9030755,1.341505601
816.2420807,1.357135837
828.7704758,1.372771144
841.4911676,1.388368454
854.4071076,1.403885533
867.5212928,1.419281745
880.8367659,1.434518978
894.3566165,1.449562771
908.0839816,1.464383669
922.0220462,1.478958827
936.1740444,1.493273892
950.5432598,1.507325205
965.1330264,1.521122325
979.9467295,1.534690905
994.9878062,1.548075932
1010.259747,1.561345303
1025.766094,1.574593729
1041.510446,1.587946894
1057.496456,1.601565786
1073.727834,1.615651058
1090.208345,1.630447227
1106.941813,1.646246476
1123.932121,1.663391733
1141.183211,1.682278677
1158.699086,1.703356243
1176.48381,1.727125185
1194.541509,1.754134238
1212.876373,1.784973503
1231.492657,1.820264743
1250.39468,1.860648464
1269.586828,1.906767902
1289.073553,1.959250315
1308.859378,2.018686281
1328.948893,2.085608074
1349.346759,2.160468386
1370.057709,2.243620866
1391.086549,2.335303947
1412.438159,2.435629253
1434.117491,2.544575566
1456.129576,2.661988874
1478.479523,2.78758846
1501.172515,2.920978488
1524.21382,3.061664066
1547.608782,3.209070455
1571.362831,3.362563963
1595.481478,3.52147305
1619.970318,3.685108383
1644.835035,3.852780809
1670.081397,4.023816556
1695.715262,4.197569296
1721.742579,4.373428968
1748.169385,4.550827514
1775.001813,4.729241836
1802.246088,4.908194381
1829.908532,5.087251806
1857.995563,5.266022179
1886.513699,5.444151129
1915.469556,5.621317331
1944.869853,5.797227622
1974.721411,5.971612021
2005.031157,6.144218836
2035.806123,6.31481002
2067.05345,6.483156878
2098.780388,6.649036205
2130.994299,6.812226907
2163.702658,6.972507136
2196.913052,7.129651963
2230.633189,7.283431598
2264.870892,7.433610166
2299.634105,7.579945038
2334.930894,7.72218672
2370.769449,7.860079294
2407.158086,7.993361398
2444.105246,8.121767742
2481.619505,8.245031125
2519.709564,8.362884939
2558.384263,8.475066098
2597.652575,8.581318358
2637.523612,8.681395946
2678.006623,8.775067427
2719.111004,8.862119699
2760.84629,8.942362031
2803.222166,9.015630005
2846.248463,9.081789256
2889.935166,9.140738888
2934.292411,9.192414446
2979.330489,9.236790344
3025.05985,9.273881657
3071.491106,9.303745219
3118.63503,9.326479976
3166.502559,9.342226591
3215.104801,9.351166308
3264.453032,9.353519117
3314.558703,9.34954129
3365.43344,9.339522367
3417.089046,9.323781698
3469.537508,9.302664635
3522.790994,9.276538504
3576.861862,9.245788441
3631.762656,9.210813211
3687.506115,9.172021085
3744.105174,9.129825844
3801.572964,9.084642987
3859.92282,9.036886147
3919.168281,8.986963771
3979.323092,8.93527605
4040.401212,8.882212085
4102.416813,8.828147297
4165.384282,8.773441006
4229.318232,8.718434183
4294.233495,8.663447287
4360.145135,8.608778167
4427.068443,8.554699958
4495.018949,8.501458913
4564.012419,8.449272127
4634.06486,8.398325087
4705.192528,8.34876901
4777.411925,8.300717905
4850.739808,8.254245356
4925.193192,8.209380968
5000.78935,8.166106491
5077.545825,8.124351632
5155.480425,8.083989585
5234.611233,8.044832371
5314.95661,8.006626084
5396.535198,7.969046229
5479.365924,7.931693365
5563.46801,7.89408935
5648.860967,7.855674549
5735.56461,7.815806446
5823.599056,7.773760145
5912.984731,7.728731318
6003.742376,7.679842154
6095.893048,7.626150831
6189.458129,7.566664948
6284.459328,7.500359181
6380.918689,7.426197154
6478.858591,7.343157198
6578.301761,7.250261253
6679.271272,7.146605741
6781.79055,7.031392838
6885.883384,6.903960268
6991.573925,6.763807575
7098.886697,6.610616919
7207.846599,6.444266723
7318.478913,6.264837019
7430.809307,6.07260602
7544.863847,5.868038197
7660.668995,5.651764843
7778.251621,5.424558668
7897.639008,5.187304358
8018.858857,4.940967144
8141.939293,4.686561332
8266.908876,4.425120488
8393.7966,4.157670581
8522.631908,3.885206943
8653.444693,3.608675502
8786.265306,3.328958384
8921.124566,3.046863665
9058.053763,2.763118897
9197.084669,2.478367867
9338.249543,2.193170053
9481.581138,1.908002176
9627.112711,1.623261357
9774.87803,1.339269373
9924.91138,1.056277649
10077.24757,0.774472632
10231.92195,0.493981298
10388.97041,0.214876594
10548.42939,-0.062817338
10710.33588,-0.339120255
10874.72745,-0.614091295
11041.64225,-0.887824883
11211.119,-1.160447095
11383.19703,-1.432112476
11557.91626,-1.703001307
11735.31723,-1.97331732
11915.44111,-2.243285837
12098.32969,-2.513152324
12284.0254,-2.783181342
12472.57133,-3.053655884
12664.01123,-3.324877085
12858.38952,-3.597164306
13055.75129,-3.870855588
13256.14234,-4.146308474
13459.60917,-4.423901235
13666.19899,-4.704034491
13875.95972,-4.987133283
14088.94005,-5.273649629
14305.18939,-5.564065617
14524.7579,-5.858897113
14747.69655,-6.158698174
14974.05705,-6.464066293
15203.89194,-6.775648613
15437.25453,-7.094149309
15674.19897,-7.420338381
15914.78024,-7.755062168
16159.05416,-8.099255973
16407.07741,-8.453959338
16658.90754,-8.820334614
16914.60297,-9.199689744
17174.22305,-9.593506433
17437.82799,-10.00347532
17705.47898,-10.43154032
17977.23811,-10.87995527
18253.16843,-11.35135703
18533.33397,-11.84886138
18817.79974,-12.37619066
19106.63174,-12.93784676
19399.89698,-13.53935022
19697.66351,-14.18757824
20000.00042,-14.88893508
