* Measurement data measured by REW V5.31.3
* Source: ISO 11904-1 DF (711 Z) 10dB w/ EQ filters
* Format: 
* Dated: Aug 17, 2024 10:38:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: Measurement imported from C:\Users\therollo9\Documents\SquigLink\data\ISO 11904-1 DF (711 Z) 10dB Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  LS Q     Fc   105.0 Hz  Gain   6.60 dB Q  0.710 PK       Fc    2800 Hz  Gain  -1.80 dB  Q  1.000 HS Q     Fc    2500 Hz  Gain  -3.00 dB Q  0.420
* Measurement: Razan Tilt Target
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
49.339041, 11.938
49.696572, 11.922
50.056694, 11.906
50.419425, 11.890
50.784785, 11.874
51.152793, 11.858
51.523467, 11.842
51.896827, 11.826
52.272893, 11.809
52.651684, 11.792
53.033220, 11.774
53.417520, 11.757
53.804606, 11.739
54.194496, 11.720
54.587212, 11.702
54.982773, 11.682
55.381201, 11.663
55.782516, 11.643
56.186739, 11.623
56.593891, 11.603
57.003994, 11.582
57.417068, 11.560
57.833136, 11.538
58.252219, 11.516
58.674339, 11.494
59.099517, 11.471
59.527776, 11.448
59.959139, 11.425
60.393628, 11.401
60.831265, 11.377
61.272073, 11.352
61.716076, 11.326
62.163296, 11.301
62.613757, 11.275
63.067482, 11.248
63.524495, 11.221
63.984820, 11.193
64.448480, 11.165
64.915501, 11.136
65.385905, 11.107
65.859718, 11.077
66.336965, 11.047
66.817670, 11.016
67.301858, 10.985
67.789555, 10.953
68.280786, 10.920
68.775577, 10.887
69.273953, 10.854
69.775941, 10.820
70.281566, 10.785
70.790855, 10.749
71.303835, 10.714
71.820532, 10.678
72.340973, 10.641
72.865186, 10.603
73.393197, 10.565
73.925034, 10.526
74.460726, 10.487
75.000299, 10.447
75.543782, 10.407
76.091203, 10.366
76.642591, 10.325
77.197975, 10.282
77.757383, 10.240
78.320846, 10.197
78.888391, 10.154
79.460048, 10.110
80.035849, 10.065
80.615821, 10.020
81.199997, 9.974
81.788406, 9.928
82.381078, 9.881
82.978045, 9.834
83.579338, 9.786
84.184989, 9.738
84.795028, 9.690
85.409488, 9.640
86.028400, 9.591
86.651797, 9.540
87.279712, 9.490
87.912177, 9.439
88.549225, 9.388
89.190889, 9.336
89.837203, 9.284
90.488200, 9.231
91.143915, 9.178
91.804381, 9.125
92.469634, 9.071
93.139707, 9.017
93.814635, 8.962
94.494455, 8.906
95.179201, 8.851
95.868908, 8.795
96.563614, 8.738
97.263354, 8.682
97.968164, 8.626
98.678082, 8.569
99.393144, 8.512
100.113388, 8.454
100.838851, 8.397
101.569570, 8.340
102.305585, 8.283
103.046934, 8.226
103.793654, 8.168
104.545786, 8.111
105.303368, 8.053
106.066439, 7.995
106.835041, 7.936
107.609211, 7.878
108.388992, 7.820
109.174423, 7.762
109.965546, 7.704
110.762402, 7.646
111.565032, 7.588
112.373478, 7.530
113.187783, 7.472
114.007988, 7.415
114.834137, 7.357
115.666272, 7.300
116.504438, 7.242
117.348677, 7.184
118.199034, 7.127
119.055553, 7.070
119.918279, 7.013
120.787256, 6.956
121.662530, 6.900
122.544147, 6.844
123.432152, 6.788
124.326593, 6.732
125.227514, 6.676
126.134965, 6.621
127.048990, 6.565
127.969640, 6.510
128.896961, 6.455
129.831001, 6.400
130.771810, 6.346
131.719436, 6.292
132.673930, 6.238
133.635340, 6.185
134.603717, 6.133
135.579111, 6.081
136.561573, 6.029
137.551154, 5.978
138.547907, 5.927
139.551882, 5.877
140.563132, 5.827
141.581711, 5.777
142.607670, 5.728
143.641064, 5.680
144.681946, 5.632
145.730371, 5.584
146.786394, 5.538
147.850068, 5.491
148.921451, 5.446
150.000597, 5.401
151.087563, 5.356
152.182406, 5.311
153.285183, 5.268
154.395950, 5.225
155.514767, 5.182
156.641691, 5.140
157.776781, 5.099
158.920097, 5.058
160.071697, 5.018
161.231643, 4.978
162.399994, 4.938
163.576811, 4.899
164.762156, 4.861
165.956091, 4.823
167.158677, 4.785
168.369978, 4.748
169.590056, 4.712
170.818975, 4.676
172.056800, 4.640
173.303595, 4.605
174.559424, 4.570
175.824353, 4.536
177.098449, 4.503
178.381777, 4.469
179.674405, 4.436
180.976400, 4.404
182.287830, 4.373
183.608763, 4.341
184.939267, 4.310
186.279414, 4.280
187.629271, 4.249
188.988910, 4.220
190.358402, 4.190
191.737817, 4.161
193.127228, 4.133
194.526708, 4.105
195.936328, 4.077
197.356164, 4.050
198.786288, 4.024
200.226775, 3.998
201.677701, 3.972
203.139141, 3.947
204.611171, 3.922
206.093868, 3.898
207.587309, 3.873
209.091572, 3.849
210.606736, 3.826
212.132879, 3.803
213.670081, 3.780
215.218423, 3.757
216.777984, 3.735
218.348847, 3.714
219.931093, 3.693
221.524804, 3.673
223.130064, 3.653
224.746956, 3.634
226.375565, 3.614
228.015976, 3.595
229.668274, 3.576
231.332545, 3.558
233.008876, 3.541
234.697354, 3.523
236.398068, 3.506
238.111106, 3.490
239.836557, 3.473
241.574512, 3.457
243.325060, 3.442
245.088294, 3.426
246.864305, 3.411
248.653185, 3.397
250.455029, 3.383
252.269929, 3.369
254.097981, 3.355
255.939280, 3.341
257.793921, 3.328
259.662002, 3.314
261.543620, 3.301
263.438873, 3.288
265.347860, 3.275
267.270680, 3.263
269.207433, 3.250
271.158221, 3.238
273.123145, 3.225
275.102308, 3.214
277.095813, 3.202
279.103764, 3.190
281.126264, 3.178
283.163421, 3.166
285.215340, 3.155
287.282128, 3.144
289.363893, 3.133
291.460743, 3.122
293.572788, 3.111
295.700137, 3.101
297.842902, 3.090
300.001194, 3.080
302.175127, 3.069
304.364812, 3.059
306.570365, 3.048
308.791900, 3.038
311.029534, 3.028
313.283382, 3.019
315.553563, 3.009
317.840194, 3.000
320.143395, 2.990
322.463286, 2.981
324.799988, 2.971
327.153622, 2.961
329.524312, 2.952
331.912181, 2.943
334.317354, 2.934
336.739955, 2.925
339.180112, 2.916
341.637951, 2.907
344.113600, 2.899
346.607189, 2.890
349.118848, 2.882
351.648707, 2.873
354.196898, 2.865
356.763555, 2.856
359.348811, 2.848
361.952800, 2.839
364.575660, 2.831
367.217525, 2.822
369.878535, 2.814
372.558827, 2.805
375.258542, 2.796
377.977820, 2.788
380.716803, 2.779
383.475634, 2.770
386.254456, 2.762
389.053415, 2.753
391.872657, 2.743
394.712328, 2.734
397.572576, 2.725
400.453551, 2.715
403.355402, 2.706
406.278282, 2.696
409.222342, 2.687
412.187735, 2.677
415.174618, 2.667
418.183144, 2.657
421.213472, 2.647
424.265758, 2.636
427.340163, 2.626
430.436846, 2.615
433.555968, 2.604
436.697694, 2.592
439.862185, 2.581
443.049608, 2.569
446.260128, 2.558
449.493913, 2.546
452.751131, 2.534
456.031952, 2.522
459.336548, 2.510
462.665090, 2.497
466.017752, 2.485
469.394708, 2.473
472.796136, 2.460
476.222212, 2.447
479.673114, 2.433
483.149023, 2.420
486.650120, 2.406
490.176588, 2.392
493.728609, 2.378
497.306370, 2.364
500.910057, 2.349
504.539858, 2.334
508.195962, 2.319
511.878559, 2.303
515.587842, 2.287
519.324004, 2.271
523.087240, 2.254
526.877746, 2.238
530.695719, 2.222
534.541359, 2.205
538.414866, 2.188
542.316442, 2.171
546.246291, 2.153
550.204617, 2.136
554.191626, 2.119
558.207527, 2.102
562.252529, 2.085
566.326842, 2.068
570.430680, 2.051
574.564256, 2.034
578.727786, 2.017
582.921486, 2.000
587.145575, 1.982
591.400274, 1.965
595.685804, 1.948
600.002389, 1.931
604.350254, 1.913
608.729625, 1.895
613.140730, 1.878
617.583801, 1.859
622.059068, 1.841
626.566764, 1.821
631.107125, 1.802
635.680388, 1.781
640.286790, 1.760
644.926572, 1.739
649.599976, 1.717
654.307245, 1.695
659.048625, 1.673
663.824363, 1.650
668.634708, 1.627
673.479911, 1.604
678.360224, 1.580
683.275901, 1.557
688.227200, 1.533
693.214378, 1.509
698.237695, 1.485
703.297414, 1.462
708.393797, 1.439
713.527110, 1.415
718.697622, 1.392
723.905601, 1.369
729.151319, 1.346
734.435050, 1.324
739.757069, 1.302
745.117654, 1.280
750.517084, 1.259
755.955640, 1.239
761.433606, 1.219
766.951268, 1.200
772.508913, 1.181
778.106831, 1.164
783.745314, 1.148
789.424655, 1.133
795.145152, 1.121
800.907101, 1.110
806.710804, 1.101
812.556563, 1.094
818.444683, 1.090
824.375471, 1.086
830.349235, 1.085
836.366288, 1.084
842.426943, 1.083
848.531516, 1.084
854.680325, 1.085
860.873691, 1.087
867.111937, 1.090
873.395387, 1.093
879.724370, 1.097
886.099216, 1.102
892.520256, 1.107
898.987826, 1.112
905.502262, 1.116
912.063905, 1.122
918.673096, 1.128
925.330180, 1.135
932.035503, 1.142
938.789417, 1.149
945.592272, 1.157
952.444423, 1.166
959.346228, 1.175
966.298047, 1.185
973.300241, 1.196
980.353175, 1.207
987.457219, 1.217
994.612741, 1.228
1001.820115, 1.238
1009.079716, 1.248
1016.391924, 1.258
1023.757119, 1.268
1031.175685, 1.278
1038.648009, 1.289
1046.174480, 1.301
1053.755492, 1.313
1061.391439, 1.325
1069.082718, 1.338
1076.829733, 1.352
1084.632885, 1.365
1092.492582, 1.378
1100.409233, 1.390
1108.383252, 1.402
1116.415054, 1.413
1124.505058, 1.423
1132.653685, 1.433
1140.861361, 1.442
1149.128512, 1.450
1157.455571, 1.458
1165.842971, 1.465
1174.291150, 1.472
1182.800548, 1.478
1191.371608, 1.485
1200.004778, 1.491
1208.700507, 1.498
1217.459249, 1.506
1226.281461, 1.514
1235.167602, 1.523
1244.118136, 1.533
1253.133528, 1.544
1262.214251, 1.557
1271.360775, 1.571
1280.573580, 1.586
1289.853144, 1.603
1299.199951, 1.620
1308.614490, 1.638
1318.097250, 1.656
1327.648726, 1.676
1337.269416, 1.696
1346.959821, 1.717
1356.720447, 1.739
1366.551803, 1.761
1376.454400, 1.784
1386.428756, 1.808
1396.475391, 1.832
1406.594827, 1.857
1416.787593, 1.882
1427.054220, 1.908
1437.395243, 1.934
1447.811202, 1.961
1458.302638, 1.989
1468.870100, 2.017
1479.514139, 2.046
1490.235308, 2.076
1501.034167, 2.106
1511.911280, 2.137
1522.867212, 2.169
1533.902536, 2.202
