* Measurement data measured by REW V5.31
* Source: JM-1 10dB Target Filtered
* Format: 
* Dated: Apr 5, 2024 7:56:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: Measurement imported from C:\Users\Ray Vincent Danque\Documents\GitHub\Personal-SquigLink\data\JM-1 10dB Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  LS Q     Fc   65.00 Hz  Gain   7.00 dB Q  0.550 PK       Fc    2400 Hz  Gain   1.00 dB  Q  3.000 PK       Fc    3200 Hz  Gain  -0.60 dB  Q  1.200 HS Q     Fc   14000 Hz  Gain   3.50 dB Q  0.400
* Measurement: EQ JM-1 10dB Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB)
115.000000, 4.940
117.199997, 4.851
118.000000, 4.819
120.599998, 4.719
122.000000, 4.666
124.099998, 4.588
125.000000, 4.555
126.500000, 4.502
128.000000, 4.449
131.500000, 4.330
132.000000, 4.314
134.000000, 4.249
136.000000, 4.185
138.000000, 4.124
140.000000, 4.065
143.000000, 3.979
145.000000, 3.923
147.500000, 3.856
150.000000, 3.791
152.500000, 3.728
155.000000, 3.668
157.500000, 3.610
160.000000, 3.554
162.500000, 3.499
165.000000, 3.446
167.500000, 3.395
170.000000, 3.345
172.500000, 3.297
175.000000, 3.250
177.500000, 3.205
180.000000, 3.161
182.500000, 3.119
185.000000, 3.078
187.500000, 3.038
190.000000, 2.999
192.500000, 2.962
195.000000, 2.926
197.500000, 2.891
200.000000, 2.857
203.000000, 2.818
206.000000, 2.781
209.000000, 2.745
212.000000, 2.710
214.000000, 2.688
218.000000, 2.646
220.000000, 2.626
224.000000, 2.588
227.000000, 2.560
230.000000, 2.534
233.000000, 2.509
236.000000, 2.486
240.000000, 2.456
243.000000, 2.435
247.000000, 2.409
250.000000, 2.390
254.000000, 2.365
258.000000, 2.342
262.000000, 2.319
265.000000, 2.302
269.000000, 2.281
272.000000, 2.265
276.000000, 2.246
280.000000, 2.226
285.000000, 2.203
290.000000, 2.181
295.000000, 2.159
300.000000, 2.138
304.000000, 2.122
307.000000, 2.111
311.000000, 2.096
315.000000, 2.081
320.000000, 2.063
325.000000, 2.046
330.000000, 2.029
335.000000, 2.014
340.000000, 1.998
345.000000, 1.983
350.000000, 1.969
355.000000, 1.955
360.000000, 1.942
365.000000, 1.928
370.000000, 1.915
375.000000, 1.902
382.000000, 1.883
387.000000, 1.870
395.000000, 1.848
400.000000, 1.834
406.000000, 1.817
412.000000, 1.800
418.000000, 1.782
425.000000, 1.761
431.000000, 1.742
437.000000, 1.723
444.000000, 1.701
450.000000, 1.683
455.000000, 1.667
462.000000, 1.646
468.000000, 1.627
475.000000, 1.606
482.000000, 1.585
487.000000, 1.569
494.000000, 1.548
500.000000, 1.530
508.000000, 1.506
515.000000, 1.485
522.000000, 1.464
530.000000, 1.440
538.000000, 1.417
545.000000, 1.398
552.000000, 1.379
560.000000, 1.357
570.000000, 1.332
580.000000, 1.308
590.000000, 1.285
600.000000, 1.263
608.000000, 1.245
615.000000, 1.229
622.000000, 1.214
630.000000, 1.197
640.000000, 1.175
650.000000, 1.153
660.000000, 1.130
670.000000, 1.107
680.000000, 1.082
690.000000, 1.058
700.000000, 1.033
710.000000, 1.009
720.000000, 0.985
730.000000, 0.962
740.000000, 0.939
750.000000, 0.918
762.000000, 0.894
775.000000, 0.871
788.000000, 0.851
800.000000, 0.834
812.000000, 0.821
825.000000, 0.809
838.000000, 0.800
850.000000, 0.795
862.000000, 0.791
875.000000, 0.789
885.000000, 0.789
900.000000, 0.790
912.000000, 0.793
925.000000, 0.798
938.000000, 0.806
950.000000, 0.815
962.000000, 0.827
975.000000, 0.844
988.000000, 0.865
1000.000000, 0.889
1015.000000, 0.923
1030.000000, 0.964
1044.000000, 1.007
1060.000000, 1.060
1075.000000, 1.112
1090.000000, 1.164
1106.000000, 1.218
1120.000000, 1.264
1138.000000, 1.321
1150.000000, 1.356
1172.000000, 1.417
1180.000000, 1.438
1206.000000, 1.507
1220.000000, 1.544
1241.000000, 1.601
1250.000000, 1.627
1265.000000, 1.671
1280.000000, 1.717
1315.000000, 1.830
1320.000000, 1.846
1340.000000, 1.914
1360.000000, 1.984
1380.000000, 2.056
1400.000000, 2.127
1430.000000, 2.237
1450.000000, 2.310
1475.000000, 2.404
1500.000000, 2.499
1525.000000, 2.597
1550.000000, 2.697
1575.000000, 2.799
1600.000000, 2.903
1625.000000, 3.010
1650.000000, 3.118
1675.000000, 3.229
1700.000000, 3.344
1725.000000, 3.462
1750.000000, 3.585
1775.000000, 3.712
1800.000000, 3.845
1825.000000, 3.984
1850.000000, 4.128
1875.000000, 4.279
1900.000000, 4.436
1925.000000, 4.599
1950.000000, 4.770
1975.000000, 4.948
2000.000000, 5.133
2030.000000, 5.366
2060.000000, 5.610
2090.000000, 5.863
2120.000000, 6.124
2140.000000, 6.301
2180.000000, 6.655
2200.000000, 6.829
2240.000000, 7.161
2270.000000, 7.391
2300.000000, 7.600
2330.000000, 7.787
2360.000000, 7.953
2400.000000, 8.141
2430.000000, 8.261
2470.000000, 8.395
2500.000000, 8.480
2540.000000, 8.577
2580.000000, 8.659
2620.000000, 8.731
2650.000000, 8.779
2690.000000, 8.838
2720.000000, 8.877
2760.000000, 8.923
2800.000000, 8.960
2850.000000, 8.994
2900.000000, 9.012
2950.000000, 9.014
3000.000000, 9.001
3040.000000, 8.980
3070.000000, 8.958
3110.000000, 8.921
3150.000000, 8.875
3200.000000, 8.805
3250.000000, 8.722
3300.000000, 8.626
3350.000000, 8.519
3400.000000, 8.403
3450.000000, 8.278
3500.000000, 8.148
3550.000000, 8.013
3600.000000, 7.875
3650.000000, 7.734
3700.000000, 7.592
3750.000000, 7.450
3820.000000, 7.252
3870.000000, 7.114
3950.000000, 6.898
4000.000000, 6.767
4060.000000, 6.614
4120.000000, 6.462
4180.000000, 6.312
4250.000000, 6.133
4310.000000, 5.976
4370.000000, 5.815
4440.000000, 5.622
4500.000000, 5.456
4550.000000, 5.319
4620.000000, 5.132
4680.000000, 4.977
4750.000000, 4.806
4820.000000, 4.644
4870.000000, 4.535
4940.000000, 4.393
5000.000000, 4.282
5080.000000, 4.152
5150.000000, 4.056
5220.000000, 3.978
5300.000000, 3.906
5380.000000, 3.850
5450.000000, 3.811
5520.000000, 3.778
5600.000000, 3.747
5700.000000, 3.715
5800.000000, 3.691
5900.000000, 3.675
6000.000000, 3.666
6080.000000, 3.666
6150.000000, 3.671
6220.000000, 3.682
6300.000000, 3.700
6400.000000, 3.733
6500.000000, 3.776
6600.000000, 3.828
6700.000000, 3.888
6800.000000, 3.953
6900.000000, 4.022
7000.000000, 4.090
7100.000000, 4.154
7200.000000, 4.212
7300.000000, 4.260
7400.000000, 4.294
7500.000000, 4.311
7620.000000, 4.306
7750.000000, 4.267
7880.000000, 4.190
8000.000000, 4.083
8120.000000, 3.940
8250.000000, 3.745
8380.000000, 3.513
8500.000000, 3.268
8620.000000, 2.998
8750.000000, 2.687
8850.000000, 2.445
9000.000000, 2.091
9120.000000, 1.834
9250.000000, 1.594
9380.000000, 1.407
9500.000000, 1.284
9620.000000, 1.212
9750.000000, 1.188
9880.000000, 1.222
10000.000000, 1.306
10150.000000, 1.481
10300.000000, 1.721
10440.000000, 1.977
10600.000000, 2.252
10750.000000, 2.431
10900.000000, 2.490
11060.000000, 2.411
11200.000000, 2.233
11380.000000, 1.890
11500.000000, 1.612
11720.000000, 1.043
11800.000000, 0.829
12060.000000, 0.156
12200.000000, -0.156
12410.000000, -0.521
12500.000000, -0.639
12650.000000, -0.785
12800.000000, -0.880
13150.000000, -0.985
13200.000000, -0.994
13400.000000, -1.027
13600.000000, -1.069
13800.000000, -1.136
14000.000000, -1.237
14300.000000, -1.443
14500.000000, -1.606
14750.000000, -1.819
15000.000000, -2.011
15250.000000, -2.154
15500.000000, -2.229
15750.000000, -2.228
16000.000000, -2.160
16250.000000, -2.040
16500.000000, -1.888
16750.000000, -1.725
17000.000000, -1.571
17250.000000, -1.442
17500.000000, -1.355
17750.000000, -1.329
18000.000000, -1.382
18250.000000, -1.534
18500.000000, -1.800
18750.000000, -2.191
19000.000000, -2.715
19250.000000, -3.412
19500.000000, -4.440
19750.000000, -5.935
20000.000000, -7.251
