* Measurement data measured by REW V5.31.3
* Source: JM-1 Target Filtered
* Format: 
* Dated: Oct 25, 2024 7:10:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: ; Measurement imported from Rollo DB JM-1 Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  PK       Fc   20.00 Hz  Gain   1.00 dB  Q  1.000 LS Q     Fc   110.0 Hz  Gain   4.00 dB Q  0.500 LS Q     Fc   600.0 Hz  Gain   1.00 dB Q   1.00 PK       Fc    1500 Hz  Gain   0.80 dB  Q  1.000 HS Q     Fc    3000 Hz  Gain  -2.50 dB Q  0.500 PK       Fc    3000 Hz  Gain  -1.50 dB  Q  1.000
* Measurement: Bober Neutral Tilt V2 Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB)
20.299999, 11.278
20.600000, 11.285
20.900000, 11.294
21.200001, 11.301
21.400000, 11.306
21.799999, 11.311
22.000000, 11.313
22.400000, 11.313
22.700001, 11.311
23.000000, 11.307
23.299999, 11.301
23.600000, 11.295
24.000000, 11.284
24.299999, 11.274
24.700001, 11.261
25.000000, 11.249
25.400000, 11.232
25.799999, 11.215
26.200001, 11.198
26.500000, 11.184
26.900000, 11.165
27.200001, 11.151
27.600000, 11.131
28.000000, 11.111
28.500000, 11.086
29.000000, 11.061
29.500000, 11.036
30.000000, 11.012
30.400000, 10.992
30.700001, 10.978
31.100000, 10.958
31.500000, 10.938
32.000000, 10.915
32.500000, 10.891
33.000000, 10.869
33.500000, 10.846
34.000000, 10.825
34.500000, 10.803
35.000000, 10.781
35.500000, 10.761
36.000000, 10.741
36.500000, 10.721
37.000000, 10.702
37.500000, 10.683
38.200001, 10.659
38.700001, 10.641
39.500000, 10.614
40.000000, 10.598
40.599998, 10.580
41.200001, 10.563
41.799999, 10.546
42.500000, 10.526
43.099998, 10.510
43.700001, 10.495
44.400002, 10.478
45.000000, 10.463
45.500000, 10.452
46.200001, 10.436
46.799999, 10.423
47.500000, 10.408
48.200001, 10.394
48.700001, 10.384
49.400002, 10.370
50.000000, 10.358
50.799999, 10.343
51.500000, 10.330
52.200001, 10.316
53.000000, 10.301
53.799999, 10.287
54.500000, 10.274
55.200001, 10.261
56.000000, 10.246
57.000000, 10.228
58.000000, 10.209
59.000000, 10.190
60.000000, 10.172
60.799999, 10.156
61.500000, 10.143
62.200001, 10.130
63.000000, 10.114
64.000000, 10.094
65.000000, 10.075
66.000000, 10.055
67.000000, 10.035
68.000000, 10.015
69.000000, 9.994
70.000000, 9.973
71.000000, 9.952
72.000000, 9.930
73.000000, 9.909
74.000000, 9.887
75.000000, 9.865
76.199997, 9.839
77.500000, 9.810
78.800003, 9.782
80.000000, 9.755
81.199997, 9.729
82.500000, 9.700
83.800003, 9.672
85.000000, 9.645
86.199997, 9.619
87.500000, 9.590
88.500000, 9.568
90.000000, 9.535
91.199997, 9.508
92.500000, 9.479
93.800003, 9.450
95.000000, 9.423
96.199997, 9.396
97.500000, 9.366
98.800003, 9.337
100.000000, 9.310
101.500000, 9.275
103.000000, 9.241
104.400002, 9.209
106.000000, 9.172
107.500000, 9.137
