* Measurement data measured by REW V5.20.13,
14750,6.932
15000,6.697
15250,6.517
15500,6.412
15750,6.388
16000,6.437
16250,6.539
16500,6.673
16750,6.818
17000,6.953
17250,7.064
17500,7.134
17750,7.143
18000,7.069
18250,6.891
18500,6.589
18750,6.151
19000,5.573
19250,4.864
19500,4.02
19750,2.823
20000,0.091
