* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Jul 26, 2023 5:18:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = A over B B = EQ Baseline 10dB
* Measurement: A times B
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	8.871
20.299999	8.882
20.600000	8.892
20.900000	8.898
21.200001	8.900
21.400000	8.899
21.799999	8.896
22.000000	8.894
22.400000	8.890
22.700001	8.886
23.000000	8.883
23.299999	8.878
23.600000	8.874
24.000000	8.867
24.299999	8.862
24.700001	8.854
25.000000	8.849
25.400000	8.840
25.799999	8.831
26.200001	8.820
26.500000	8.811
26.900000	8.799
27.200001	8.789
27.600000	8.775
28.000000	8.760
28.500000	8.740
29.000000	8.719
29.500000	8.697
30.000000	8.674
30.400000	8.656
30.700001	8.642
31.100000	8.622
31.500000	8.602
32.000000	8.578
32.500000	8.553
33.000000	8.528
33.500000	8.503
34.000000	8.477
34.500000	8.450
35.000000	8.422
35.500000	8.393
36.000000	8.364
36.500000	8.333
37.000000	8.303
37.500000	8.271
38.200001	8.225
38.700001	8.192
39.500000	8.137
40.000000	8.101
40.599998	8.058
41.200001	8.014
41.799999	7.969
42.500000	7.915
43.099998	7.870
43.700001	7.825
44.400002	7.773
45.000000	7.729
45.500000	7.694
46.200001	7.644
46.799999	7.602
47.500000	7.553
48.200001	7.504
48.700001	7.469
49.400002	7.418
50.000000	7.374
50.799999	7.316
51.500000	7.265
52.200001	7.213
53.000000	7.153
53.799999	7.094
54.500000	7.041
55.200001	6.988
56.000000	6.927
57.000000	6.850
58.000000	6.774
59.000000	6.697
60.000000	6.622
60.799999	6.561
61.500000	6.509
62.200001	6.457
63.000000	6.398
64.000000	6.324
65.000000	6.252
66.000000	6.179
67.000000	6.108
68.000000	6.037
69.000000	5.966
70.000000	5.895
71.000000	5.825
72.000000	5.756
73.000000	5.687
74.000000	5.618
75.000000	5.551
76.199997	5.469
77.500000	5.381
78.800003	5.294
80.000000	5.216
81.199997	5.137
82.500000	5.053
83.800003	4.970
85.000000	4.893
86.199997	4.818
87.500000	4.737
88.500000	4.676
90.000000	4.586
91.199997	4.517
92.500000	4.443
93.800003	4.370
95.000000	4.305
96.199997	4.242
97.500000	4.175
98.800003	4.109
100.000000	4.051
101.500000	3.978
103.000000	3.908
104.400002	3.844
106.000000	3.773
107.500000	3.707
109.000000	3.643
110.599998	3.577
112.000000	3.521
113.800003	3.451
115.000000	3.405
117.199997	3.324
118.000000	3.296
120.599998	3.206
122.000000	3.160
124.099998	3.092
125.000000	3.064
126.500000	3.018
128.000000	2.974
131.500000	2.877
132.000000	2.863
134.000000	2.811
136.000000	2.761
138.000000	2.712
140.000000	2.667
143.000000	2.602
145.000000	2.560
147.500000	2.511
150.000000	2.465
152.500000	2.421
155.000000	2.379
157.500000	2.340
160.000000	2.302
162.500000	2.267
165.000000	2.233
167.500000	2.201
170.000000	2.170
172.500000	2.142
175.000000	2.115
177.500000	2.088
180.000000	2.064
182.500000	2.041
185.000000	2.020
187.500000	2.000
190.000000	1.982
192.500000	1.964
195.000000	1.947
197.500000	1.931
200.000000	1.915
203.000000	1.897
206.000000	1.881
209.000000	1.865
212.000000	1.849
214.000000	1.839
218.000000	1.820
220.000000	1.810
224.000000	1.792
227.000000	1.779
230.000000	1.766
233.000000	1.754
236.000000	1.742
240.000000	1.727
243.000000	1.716
247.000000	1.701
250.000000	1.690
254.000000	1.675
258.000000	1.661
262.000000	1.647
265.000000	1.636
269.000000	1.623
272.000000	1.614
276.000000	1.601
280.000000	1.588
285.000000	1.573
290.000000	1.560
295.000000	1.547
300.000000	1.534
304.000000	1.525
307.000000	1.518
311.000000	1.510
315.000000	1.502
320.000000	1.493
325.000000	1.483
330.000000	1.474
335.000000	1.466
340.000000	1.459
345.000000	1.452
350.000000	1.444
355.000000	1.436
360.000000	1.428
365.000000	1.419
370.000000	1.410
375.000000	1.400
382.000000	1.383
387.000000	1.370
395.000000	1.348
400.000000	1.333
406.000000	1.315
412.000000	1.297
418.000000	1.278
425.000000	1.255
431.000000	1.234
437.000000	1.213
444.000000	1.188
450.000000	1.166
455.000000	1.148
462.000000	1.123
468.000000	1.100
475.000000	1.074
482.000000	1.047
487.000000	1.027
494.000000	1.000
500.000000	0.976
508.000000	0.944
515.000000	0.915
522.000000	0.885
530.000000	0.852
538.000000	0.818
545.000000	0.789
552.000000	0.759
560.000000	0.725
570.000000	0.684
580.000000	0.643
590.000000	0.603
600.000000	0.565
608.000000	0.535
615.000000	0.509
622.000000	0.484
630.000000	0.456
640.000000	0.422
650.000000	0.390
660.000000	0.358
670.000000	0.328
680.000000	0.298
690.000000	0.270
700.000000	0.244
710.000000	0.219
720.000000	0.194
730.000000	0.171
740.000000	0.149
750.000000	0.128
762.000000	0.104
775.000000	0.080
788.000000	0.057
800.000000	0.038
812.000000	0.020
825.000000	0.003
838.000000	-0.013
850.000000	-0.025
862.000000	-0.034
875.000000	-0.042
885.000000	-0.046
900.000000	-0.051
912.000000	-0.052
925.000000	-0.050
938.000000	-0.046
950.000000	-0.040
962.000000	-0.031
975.000000	-0.019
988.000000	-0.004
1000.000000	0.012
1015.000000	0.037
1030.000000	0.065
1044.000000	0.094
1060.000000	0.130
1075.000000	0.164
1090.000000	0.199
1106.000000	0.236
1120.000000	0.267
1138.000000	0.307
1150.000000	0.333
1172.000000	0.383
1180.000000	0.401
1206.000000	0.467
1220.000000	0.503
1241.000000	0.559
1250.000000	0.583
1265.000000	0.622
1280.000000	0.658
1315.000000	0.733
1320.000000	0.743
1340.000000	0.780
1360.000000	0.817
1380.000000	0.856
1400.000000	0.900
1430.000000	0.973
1450.000000	1.028
1475.000000	1.105
1500.000000	1.190
1525.000000	1.284
1550.000000	1.383
1575.000000	1.486
1600.000000	1.593
1625.000000	1.702
1650.000000	1.812
1675.000000	1.924
1700.000000	2.037
1725.000000	2.152
1750.000000	2.270
1775.000000	2.391
1800.000000	2.515
1825.000000	2.642
1850.000000	2.773
1875.000000	2.907
1900.000000	3.046
1925.000000	3.188
1950.000000	3.334
1975.000000	3.483
2000.000000	3.637
2030.000000	3.828
2060.000000	4.026
2090.000000	4.232
2120.000000	4.445
2140.000000	4.590
2180.000000	4.887
2200.000000	5.037
2240.000000	5.338
2270.000000	5.562
2300.000000	5.782
2330.000000	5.998
2360.000000	6.206
2400.000000	6.470
2430.000000	6.657
2470.000000	6.889
2500.000000	7.049
2540.000000	7.246
2580.000000	7.423
2620.000000	7.584
2650.000000	7.694
2690.000000	7.826
2720.000000	7.915
2760.000000	8.020
2800.000000	8.109
2850.000000	8.199
2900.000000	8.265
2950.000000	8.308
3000.000000	8.330
3040.000000	8.334
3070.000000	8.329
3110.000000	8.313
3150.000000	8.286
3200.000000	8.238
3250.000000	8.176
3300.000000	8.101
3350.000000	8.012
3400.000000	7.914
3450.000000	7.808
3500.000000	7.696
3550.000000	7.579
3600.000000	7.459
3650.000000	7.338
3700.000000	7.214
3750.000000	7.090
3820.000000	6.917
3870.000000	6.794
3950.000000	6.598
4000.000000	6.479
4060.000000	6.338
4120.000000	6.200
4180.000000	6.065
4250.000000	5.913
4310.000000	5.786
4370.000000	5.661
4440.000000	5.520
4500.000000	5.402
4550.000000	5.307
4620.000000	5.178
4680.000000	5.071
4750.000000	4.952
4820.000000	4.836
4870.000000	4.757
4940.000000	4.648
5000.000000	4.557
5080.000000	4.437
5150.000000	4.333
5220.000000	4.227
5300.000000	4.107
5380.000000	3.987
5450.000000	3.881
5520.000000	3.774
5600.000000	3.652
5700.000000	3.502
5800.000000	3.355
5900.000000	3.213
6000.000000	3.079
6080.000000	2.978
6150.000000	2.897
6220.000000	2.821
6300.000000	2.744
6400.000000	2.661
6500.000000	2.595
6600.000000	2.543
6700.000000	2.507
6800.000000	2.483
6900.000000	2.472
7000.000000	2.470
7100.000000	2.475
7200.000000	2.484
7300.000000	2.493
7400.000000	2.500
7500.000000	2.500
7620.000000	2.487
7750.000000	2.452
7880.000000	2.390
8000.000000	2.306
8120.000000	2.194
8250.000000	2.043
8380.000000	1.861
8500.000000	1.668
8620.000000	1.453
8750.000000	1.202
8850.000000	0.998
9000.000000	0.681
9120.000000	0.426
9250.000000	0.154
9380.000000	-0.107
9500.000000	-0.331
9620.000000	-0.533
9750.000000	-0.724
9880.000000	-0.881
10000.000000	-1.001
10150.000000	-1.121
10300.000000	-1.225
10440.000000	-1.323
10600.000000	-1.456
10750.000000	-1.616
10900.000000	-1.821
11060.000000	-2.086
11200.000000	-2.346
11380.000000	-2.692
11500.000000	-2.911
11720.000000	-3.262
11800.000000	-3.372
12060.000000	-3.673
12200.000000	-3.813
12410.000000	-4.007
12500.000000	-4.087
12650.000000	-4.214
12800.000000	-4.330
13150.000000	-4.561
13200.000000	-4.590
13400.000000	-4.694
13600.000000	-4.785
13800.000000	-4.869
14000.000000	-4.950
14300.000000	-5.074
14500.000000	-5.160
14750.000000	-5.269
15000.000000	-5.379
15250.000000	-5.490
15500.000000	-5.602
15750.000000	-5.714
16000.000000	-5.826
16250.000000	-5.940
16500.000000	-6.057
16750.000000	-6.180
17000.000000	-6.312
17250.000000	-6.457
17500.000000	-6.620
17750.000000	-6.811
18000.000000	-7.038
18250.000000	-7.313
18500.000000	-7.649
18750.000000	-8.056
19000.000000	-8.543
19250.000000	-9.115
19500.000000	-9.801
19750.000000	-10.845
20000.000000	-12.000
