* Measurement data measured by REW V5.31
* Source: JM-1 10dB Target Filtered
* Format: 
* Dated: Apr 21, 2024 2:05:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: Measurement imported from D:\Squiglink\data\JM-1 10dB Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  LS Q     Fc   85.00 Hz  Gain   5.00 dB Q  0.600 PK       Fc   225.0 Hz  Gain  -0.70 dB  Q  0.700 PK       Fc    3500 Hz  Gain   0.30 dB  Q  0.850 HS Q     Fc   10000 Hz  Gain   4.30 dB Q  0.500
* Measurement: fesdonomist IE Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB)
20.299999, 10.248
20.600000, 10.242
20.900000, 10.234
21.200001, 10.227
21.400000, 10.221
21.799999, 10.210
22.000000, 10.204
22.400000, 10.191
22.700001, 10.181
23.000000, 10.170
23.299999, 10.158
23.600000, 10.145
24.000000, 10.128
24.299999, 10.114
24.700001, 10.095
25.000000, 10.080
25.400000, 10.060
25.799999, 10.039
26.200001, 10.018
26.500000, 10.002
26.900000, 9.980
27.200001, 9.963
27.600000, 9.940
28.000000, 9.917
28.500000, 9.887
29.000000, 9.857
29.500000, 9.827
30.000000, 9.796
30.400000, 9.771
30.700001, 9.753
31.100000, 9.727
31.500000, 9.701
32.000000, 9.669
32.500000, 9.637
33.000000, 9.605
33.500000, 9.572
34.000000, 9.540
34.500000, 9.507
35.000000, 9.474
35.500000, 9.441
36.000000, 9.408
36.500000, 9.376
37.000000, 9.343
37.500000, 9.310
38.200001, 9.266
38.700001, 9.233
39.500000, 9.182
40.000000, 9.150
40.599998, 9.112
41.200001, 9.075
41.799999, 9.038
42.500000, 8.994
43.099998, 8.957
43.700001, 8.920
44.400002, 8.877
45.000000, 8.840
45.500000, 8.810
46.200001, 8.767
46.799999, 8.731
47.500000, 8.688
48.200001, 8.646
48.700001, 8.616
49.400002, 8.573
50.000000, 8.537
50.799999, 8.488
51.500000, 8.446
52.200001, 8.403
53.000000, 8.353
53.799999, 8.304
54.500000, 8.261
55.200001, 8.218
56.000000, 8.168
57.000000, 8.105
58.000000, 8.041
59.000000, 7.978
60.000000, 7.914
60.799999, 7.862
61.500000, 7.817
62.200001, 7.772
63.000000, 7.720
64.000000, 7.655
65.000000, 7.590
66.000000, 7.524
67.000000, 7.459
68.000000, 7.392
69.000000, 7.326
70.000000, 7.260
71.000000, 7.194
72.000000, 7.128
73.000000, 7.062
74.000000, 6.996
75.000000, 6.930
76.199997, 6.851
77.500000, 6.766
78.800003, 6.682
80.000000, 6.605
81.199997, 6.528
82.500000, 6.446
83.800003, 6.365
85.000000, 6.290
86.199997, 6.215
87.500000, 6.136
88.500000, 6.075
90.000000, 5.985
91.199997, 5.914
92.500000, 5.838
93.800003, 5.762
95.000000, 5.693
96.199997, 5.624
97.500000, 5.550
98.800003, 5.477
100.000000, 5.411
101.500000, 5.328
103.000000, 5.247
104.400002, 5.172
106.000000, 5.087
107.500000, 5.009
109.000000, 4.931
110.599998, 4.850
112.000000, 4.780
113.800003, 4.691
115.000000, 4.633
117.199997, 4.527
118.000000, 4.489
