* Measurement data measured by REW V5.31.3
* Source: JM-1 Target Filtered
* Format: 
* Dated: Oct 3, 2024 7:46:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: Measurement imported from C:\Users\Ralph Ivan Danque\Documents\Graph Tool\data_fossy\JM-1 Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  LS Q     Fc   105.0 Hz  Gain   6.60 dB Q  0.710 PK       Fc    2800 Hz  Gain  -1.80 dB  Q  1.000 HS Q     Fc    2500 Hz  Gain  -3.00 dB Q  0.420 PK       Fc   65.00 Hz  Gain  -2.00 dB  Q  0.700 PK       Fc   85.00 Hz  Gain  -0.50 dB  Q  2.000 PK       Fc    1600 Hz  Gain   1.30 dB  Q  2.000 HS Q     Fc    3000 Hz  Gain  -1.00 dB Q   1.00
* Measurement: EQ JM-1 Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB)
962.000000, 5.862
975.000000, 5.894
988.000000, 5.930
1000.000000, 5.968
1015.000000, 6.020
1030.000000, 6.079
1044.000000, 6.139
1060.000000, 6.212
1075.000000, 6.283
1090.000000, 6.356
1106.000000, 6.432
1120.000000, 6.497
1138.000000, 6.580
1150.000000, 6.634
1172.000000, 6.729
1180.000000, 6.763
1206.000000, 6.874
1220.000000, 6.935
1241.000000, 7.030
1250.000000, 7.072
1265.000000, 7.144
1280.000000, 7.218
1315.000000, 7.400
1320.000000, 7.426
1340.000000, 7.534
1360.000000, 7.643
1380.000000, 7.754
1400.000000, 7.864
1430.000000, 8.025
1450.000000, 8.130
1475.000000, 8.256
1500.000000, 8.376
1525.000000, 8.488
1550.000000, 8.592
1575.000000, 8.686
1600.000000, 8.771
1625.000000, 8.846
1650.000000, 8.912
1675.000000, 8.970
1700.000000, 9.023
1725.000000, 9.073
1750.000000, 9.120
1775.000000, 9.168
1800.000000, 9.217
1825.000000, 9.269
1850.000000, 9.324
1875.000000, 9.384
1900.000000, 9.448
1925.000000, 9.519
1950.000000, 9.595
1975.000000, 9.679
2000.000000, 9.769
2030.000000, 9.887
2060.000000, 10.015
2090.000000, 10.153
2120.000000, 10.298
2140.000000, 10.398
2180.000000, 10.600
2200.000000, 10.700
2240.000000, 10.890
2270.000000, 11.023
2300.000000, 11.143
2330.000000, 11.252
2360.000000, 11.352
2400.000000, 11.473
2430.000000, 11.557
2470.000000, 11.664
2500.000000, 11.741
2540.000000, 11.840
2580.000000, 11.936
2620.000000, 12.028
2650.000000, 12.094
2690.000000, 12.178
2720.000000, 12.237
2760.000000, 12.308
2800.000000, 12.368
2850.000000, 12.428
2900.000000, 12.470
2950.000000, 12.493
3000.000000, 12.499
3040.000000, 12.491
3070.000000, 12.479
3110.000000, 12.453
3150.000000, 12.418
3200.000000, 12.360
3250.000000, 12.289
3300.000000, 12.204
3350.000000, 12.107
3400.000000, 12.000
3450.000000, 11.885
3500.000000, 11.764
3550.000000, 11.637
3600.000000, 11.507
3650.000000, 11.374
3700.000000, 11.240
3750.000000, 11.105
3820.000000, 10.918
3870.000000, 10.787
3950.000000, 10.584
4000.000000, 10.460
4060.000000, 10.316
4120.000000, 10.173
4180.000000, 10.031
4250.000000, 9.863
4310.000000, 9.715
4370.000000, 9.562
4440.000000, 9.378
4500.000000, 9.221
4550.000000, 9.091
4620.000000, 8.914
4680.000000, 8.767
4750.000000, 8.605
4820.000000, 8.452
4870.000000, 8.349
4940.000000, 8.215
5000.000000, 8.112
5080.000000, 7.991
5150.000000, 7.903
5220.000000, 7.832
5300.000000, 7.768
5380.000000, 7.720
5450.000000, 7.687
5520.000000, 7.661
5600.000000, 7.637
5700.000000, 7.613
5800.000000, 7.596
5900.000000, 7.587
6000.000000, 7.585
6080.000000, 7.589
6150.000000, 7.598
6220.000000, 7.613
6300.000000, 7.635
6400.000000, 7.672
6500.000000, 7.719
6600.000000, 7.775
6700.000000, 7.838
6800.000000, 7.906
6900.000000, 7.977
7000.000000, 8.048
7100.000000, 8.114
7200.000000, 8.173
7300.000000, 8.222
7400.000000, 8.257
7500.000000, 8.275
7620.000000, 8.271
7750.000000, 8.232
7880.000000, 8.155
8000.000000, 8.047
8120.000000, 7.903
8250.000000, 7.708
8380.000000, 7.474
8500.000000, 7.228
8620.000000, 6.956
8750.000000, 6.644
8850.000000, 6.399
9000.000000, 6.043
9120.000000, 5.783
9250.000000, 5.540
9380.000000, 5.350
9500.000000, 5.224
9620.000000, 5.148
9750.000000, 5.121
9880.000000, 5.152
10000.000000, 5.232
10150.000000, 5.402
10300.000000, 5.638
10440.000000, 5.889
10600.000000, 6.158
10750.000000, 6.332
10900.000000, 6.386
11060.000000, 6.301
11200.000000, 6.117
11380.000000, 5.768
11500.000000, 5.485
11720.000000, 4.908
11800.000000, 4.690
12060.000000, 4.006
12200.000000, 3.688
12410.000000, 3.313
12500.000000, 3.191
12650.000000, 3.037
12800.000000, 2.935
13150.000000, 2.812
13200.000000, 2.800
13400.000000, 2.756
13600.000000, 2.703
13800.000000, 2.624
14000.000000, 2.512
14300.000000, 2.287
14500.000000, 2.111
14750.000000, 1.882
15000.000000, 1.672
15250.000000, 1.510
15500.000000, 1.415
15750.000000, 1.395
16000.000000, 1.442
16250.000000, 1.540
16500.000000, 1.668
16750.000000, 1.806
17000.000000, 1.934
17250.000000, 2.036
17500.000000, 2.095
17750.000000, 2.092
18000.000000, 2.008
18250.000000, 1.824
18500.000000, 1.524
18750.000000, 1.100
19000.000000, 0.540
19250.000000, -0.192
19500.000000, -1.255
19750.000000, -2.786
20000.000000, -4.135
