* Measurement data measured by REW V5.31.3
* Source: JM-1 Target Filtered
* Format: 
* Dated: Oct 25, 2024 7:06:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: ; Measurement imported from Rollo DB JM-1 Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  PK       Fc   20.00 Hz  Gain   1.00 dB  Q  1.000 LS Q     Fc   100.0 Hz  Gain   8.50 dB Q  0.600 PK       Fc   150.0 Hz  Gain  -1.00 dB  Q  1.000 LS Q     Fc   600.0 Hz  Gain   1.00 dB Q   1.00 PK       Fc    1500 Hz  Gain   0.80 dB  Q  1.000 HS Q     Fc    3000 Hz  Gain  -2.50 dB Q  0.500 PK       Fc    3000 Hz  Gain  -1.50 dB  Q  1.000
* Measurement: Bober Tilt V2 Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB)
20.299999, 15.739
20.600000, 15.745
20.900000, 15.752
21.200001, 15.758
21.400000, 15.761
21.799999, 15.764
22.000000, 15.764
22.400000, 15.762
22.700001, 15.758
23.000000, 15.752
23.299999, 15.744
23.600000, 15.736
24.000000, 15.722
24.299999, 15.710
24.700001, 15.693
25.000000, 15.679
25.400000, 15.659
25.799999, 15.638
26.200001, 15.617
26.500000, 15.601
26.900000, 15.578
27.200001, 15.561
27.600000, 15.537
28.000000, 15.513
28.500000, 15.483
29.000000, 15.452
29.500000, 15.422
30.000000, 15.392
30.400000, 15.367
30.700001, 15.348
31.100000, 15.324
31.500000, 15.299
32.000000, 15.268
32.500000, 15.238
33.000000, 15.208
33.500000, 15.178
34.000000, 15.148
34.500000, 15.118
35.000000, 15.089
35.500000, 15.060
36.000000, 15.031
36.500000, 15.002
37.000000, 14.973
37.500000, 14.945
38.200001, 14.907
38.700001, 14.879
39.500000, 14.835
40.000000, 14.808
40.599998, 14.776
41.200001, 14.745
41.799999, 14.714
42.500000, 14.677
43.099998, 14.646
43.700001, 14.615
44.400002, 14.579
45.000000, 14.548
45.500000, 14.523
46.200001, 14.487
46.799999, 14.456
47.500000, 14.420
48.200001, 14.383
48.700001, 14.357
49.400002, 14.321
50.000000, 14.289
50.799999, 14.247
51.500000, 14.209
52.200001, 14.171
53.000000, 14.127
53.799999, 14.083
54.500000, 14.043
55.200001, 14.003
56.000000, 13.957
57.000000, 13.898
58.000000, 13.838
59.000000, 13.777
60.000000, 13.715
60.799999, 13.665
61.500000, 13.621
62.200001, 13.576
63.000000, 13.523
64.000000, 13.457
65.000000, 13.390
66.000000, 13.323
67.000000, 13.254
68.000000, 13.185
69.000000, 13.114
70.000000, 13.042
71.000000, 12.970
72.000000, 12.898
73.000000, 12.824
74.000000, 12.751
75.000000, 12.676
76.199997, 12.586
77.500000, 12.488
78.800003, 12.390
80.000000, 12.299
81.199997, 12.208
82.500000, 12.108
83.800003, 12.009
85.000000, 11.917
86.199997, 11.825
87.500000, 11.726
88.500000, 11.649
90.000000, 11.535
91.199997, 11.443
92.500000, 11.345
93.800003, 11.246
95.000000, 11.156
96.199997, 11.065
97.500000, 10.967
98.800003, 10.870
100.000000, 10.781
101.500000, 10.670
103.000000, 10.560
