* Measurement data measured by REW V5.30 beta 1,
* Source: Trace Arithmetic result A * B,
* Format: Trace Arithmetic result A * B,
* Dated: Nov 16, 2023 9:01:15 PM
* REW Settings:,
*  C-weighting compensation: Off,
*  Target level: 94.0 dB,
* Note: Trace Arithmetic A times B A = Remove 5128 Pinna from HRTF B = therollo9 10dB,
* Measurement: A times B,
* Smoothing: 1/24 octave,
* Frequency Step: 1/48 octave,
* Start Frequency: 20.300 Hz,
*,
* Freq(Hz), SPL(dB)
14750,5.845
15000,5.63
15250,5.466
15500,5.372
15750,5.355
16000,5.407
16250,5.51
16500,5.644
16750,5.789
17000,5.923
17250,6.032
17500,6.098
17750,6.103
18000,6.025
18250,5.846
18500,5.546
18750,5.117
19000,4.552
19250,3.843
19500,2.851
19750,0.916
20000,-1.034
