* Measurement data measured by REW V5.31.3,
* Source: Target Symphonium Meteor S2 L Filtered,
* Format: ,
* Dated: Sep 10, 2023 9:01:15 PM
* REW Settings:,
*  C-weighting compensation: Off,
*  Target level: 0.0 dB,
* Note: PK       Fc   20.00 Hz  Gain  -1.50 dB  Q  0.500 LS Q     Fc   105.0 Hz  Gain   6.00 dB Q  0.710 PK       Fc   150.0 Hz  Gain   1.00 dB  Q  1.410 PK       Fc   400.0 Hz  Gain  -1.40 dB  Q  1.100 PK       Fc    3500 Hz  Gain  -1.00 dB  Q  2.000 HS Q     Fc    6000 Hz  Gain   3.00 dB Q  0.710,
* Measurement: EQ Target Symphonium Met,
* Smoothing: 1/24 octave,
* Frequency Step: 1/48 octave,
* Start Frequency: 20.000 Hz,
*,
* Freq(Hz), SPL(dB)
20.299999,16.849
20.6,16.837
20.9,16.826
21.200001,16.816
21.4,16.81
21.799999,16.798
22,16.792
22.4,16.781
22.700001,16.772
23,16.763
23.299999,16.753
23.6,16.744
24,16.731
24.299999,16.722
24.700001,16.71
25,16.7
25.4,16.687
25.799999,16.674
26.200001,16.663
26.5,16.654
26.9,16.642
27.200001,16.633
27.6,16.62
28,16.608
28.5,16.594
29,16.578
29.5,16.564
30,16.55
30.4,16.538
30.700001,16.53
31.1,16.518
31.5,16.505
32,16.491
32.5,16.477
33,16.463
33.5,16.449
34,16.435
34.5,16.42
35,16.406
35.5,16.393
36,16.378
36.5,16.364
37,16.351
37.5,16.337
38.200001,16.319
38.700001,16.305
39.5,16.284
40,16.271
40.599998,16.256
41.200001,16.241
41.799999,16.226
42.5,16.207
43.099998,16.193
43.700001,16.178
44.400002,16.159
45,16.144
45.5,16.131
46.200001,16.113
46.799999,16.097
47.5,16.078
48.200001,16.059
48.700001,16.045
49.400002,16.025
50,16.008
50.799999,15.984
51.5,15.963
52.200001,15.941
53,15.915
53.799999,15.889
54.5,15.864
55.200001,15.84
56,15.81
57,15.773
58,15.733
59,15.693
60,15.651
60.799999,15.616
61.5,15.585
62.200001,15.553
63,15.515
64,15.467
65,15.417
66,15.366
67,15.315
68,15.261
69,15.205
70,15.149
71,15.091
72,15.032
73,14.972
74,14.912
75,14.85
76.199997,14.775
77.5,14.691
78.800003,14.607
80,14.529
81.199997,14.451
82.5,14.363
83.800003,14.277
85,14.196
86.199997,14.115
87.5,14.027
88.5,13.96
90,13.858
91.199997,13.776
92.5,13.688
93.800003,13.601
95,13.521
96.199997,13.44
97.5,13.353
98.800003,13.268
100,13.189
101.5,13.092
103,12.996
104.400002,12.907
106,12.807
107.5,12.715
109,12.624
110.599998,12.529
112,12.447
113.800003,12.345
115,12.278
117.199997,12.156
118,12.114
120.599998,11.977
122,11.905
124.099998,11.799
125,11.755
126.5,11.681
128,11.61
131.5,11.446
132,11.421
134,11.33
136,11.24
138,11.15
140,11.06
143,10.927
145,10.838
147.5,10.727
150,10.616
152.5,10.504
155,10.391
157.5,10.28
160,10.169
162.5,10.058
165,9.947
167.5,9.838
170,9.73
172.5,9.624
175,9.52
177.5,9.417
180,9.316
182.5,9.218
185,9.122
187.5,9.029
190,8.938
192.5,8.85
195,8.763
197.5,8.68
200,8.599
203,8.504
206,8.414
209,8.326
212,8.241
214,8.187
218,8.081
220,8.029
224,7.932
227,7.861
230,7.793
233,7.726
236,7.662
240,7.579
243,7.52
247,7.441
250,7.386
254,7.313
258,7.241
262,7.171
265,7.119
269,7.053
272,7.004
276,6.939
280,6.875
285,6.798
290,6.723
295,6.65
300,6.578
304,6.522
307,6.482
311,6.428
315,6.375
320,6.313
325,6.252
330,6.193
335,6.138
340,6.084
345,6.035
350,5.985
355,5.941
360,5.899
365,5.859
370,5.82
375,5.787
382,5.743
387,5.713
395,5.673
400,5.65
406,5.624
412,5.603
418,5.582
425,5.563
431,5.549
437,5.536
444,5.523
450,5.515
455,5.509
462,5.503
468,5.498
475,5.495
482,5.492
487,5.491
494,5.489
500,5.489
508,5.487
515,5.487
522,5.486
530,5.485
538,5.485
545,5.484
552,5.484
560,5.482
570,5.483
580,5.482
590,5.482
600,5.481
608,5.479
615,5.477
622,5.475
630,5.471
640,5.466
650,5.459
660,5.451
670,5.441
680,5.429
690,5.417
700,5.402
710,5.388
720,5.373
730,5.358
740,5.342
750,5.329
762,5.313
775,5.297
788,5.283
800,5.272
812,5.262
825,5.255
838,5.25
850,5.248
862,5.248
875,5.246
885,5.249
900,5.251
912,5.255
925,5.26
938,5.269
950,5.278
962,5.289
975,5.304
988,5.325
1000,5.347
1015,5.38
1030,5.419
1044,5.46
1060,5.51
1075,5.56
1090,5.61
1106,5.661
1120,5.704
1138,5.757
1150,5.79
1172,5.844
1180,5.864
1206,5.923
1220,5.956
1241,6.007
1250,6.03
1265,6.069
1280,6.109
1315,6.211
1320,6.224
1340,6.285
1360,6.348
1380,6.413
1400,6.476
1430,6.573
1450,6.638
1475,6.72
1500,6.804
1525,6.889
1550,6.976
1575,7.065
1600,7.156
1625,7.247
1650,7.34
1675,7.435
1700,7.531
1725,7.632
1750,7.735
1775,7.842
1800,7.953
1825,8.069
1850,8.187
1875,8.312
1900,8.44
1925,8.573
1950,8.71
1975,8.853
2000,9.002
2030,9.185
2060,9.379
2090,9.578
2120,9.783
2140,9.921
2180,10.199
2200,10.333
2240,10.591
2270,10.771
2300,10.935
2330,11.085
2360,11.223
2400,11.391
2430,11.509
2470,11.654
2500,11.758
2540,11.889
2580,12.011
2620,12.125
2650,12.206
2690,12.305
2720,12.371
2760,12.448
2800,12.51
2850,12.565
2900,12.596
2950,12.603
3000,12.587
3040,12.558
3070,12.529
3110,12.48
3150,12.42
3200,12.332
3250,12.23
3300,12.118
3350,11.997
3400,11.871
3450,11.74
3500,11.611
3550,11.481
3600,11.354
3650,11.229
3700,11.106
3750,10.988
