* Measurement data measured by REW V5.20.13
* Source: JM-1 10dB Target Filtered
* Format: 
* Dated: Nov 19, 2023 10:10:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Ralph Ivan Danque\Documents\Personal SquigLink\data\JM-1 10dB Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  LSQ      Fc   105.0 Hz  Gain   3.00 dB Q  0.776 HSQ      Fc    2500 Hz  Gain  -2.00 dB Q  0.391 PK       Fc    2800 Hz  Gain  -1.00 dB  Q  1.800
* Measurement: JM-1 Charlie Marks Tilt Target
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.438 Hz
*
* Freq(Hz), SPL(dB)
20.437943, 8.399
20.586044, 8.397
20.735220, 8.395
20.885475, 8.394
21.036821, 8.392
21.189262, 8.391
21.342808, 8.389
21.497467, 8.388
21.653246, 8.386
21.810154, 8.384
21.968201, 8.382
22.127390, 8.380
22.287735, 8.377
22.449242, 8.375
22.611917, 8.372
22.775772, 8.369
22.940815, 8.365
23.107054, 8.362
23.274498, 8.358
23.443153, 8.354
23.613033, 8.350
23.784142, 8.346
23.956491, 8.341
24.130091, 8.337
24.304947, 8.332
24.481071, 8.327
24.658470, 8.322
24.837156, 8.317
25.017136, 8.311
25.198421, 8.306
25.381020, 8.300
25.564941, 8.294
25.750195, 8.288
25.936790, 8.282
26.124741, 8.276
26.314051, 8.270
26.504732, 8.264
26.696796, 8.257
26.890253, 8.250
27.085112, 8.243
27.281382, 8.236
27.479073, 8.229
27.678198, 8.222
27.878765, 8.215
28.080786, 8.207
28.284271, 8.200
28.489231, 8.192
28.695675, 8.184
28.903616, 8.177
29.113064, 8.169
29.324028, 8.161
29.536524, 8.153
29.750557, 8.145
29.966141, 8.137
30.183289, 8.129
30.402010, 8.120
30.622314, 8.112
30.844217, 8.103
31.067726, 8.094
31.292856, 8.085
31.519617, 8.076
31.748020, 8.067
31.978081, 8.059
32.209808, 8.050
32.443211, 8.041
32.678310, 8.032
32.915108, 8.023
33.153625, 8.013
33.393871, 8.004
33.635857, 7.995
33.879597, 7.985
34.125103, 7.976
34.372387, 7.966
34.621464, 7.957
34.872345, 7.947
35.125042, 7.938
35.379574, 7.928
35.635948, 7.919
35.894180, 7.909
36.154285, 7.900
36.416275, 7.890
36.680161, 7.880
36.945961, 7.871
37.213688, 7.861
37.483353, 7.852
37.754974, 7.842
38.028561, 7.833
38.304131, 7.824
38.581699, 7.814
38.861279, 7.805
39.142883, 7.795
39.426529, 7.786
39.712231, 7.776
40.000000, 7.767
40.289856, 7.758
40.581814, 7.749
40.875885, 7.740
41.172089, 7.731
41.470440, 7.722
41.770950, 7.713
42.073643, 7.704
42.378525, 7.695
42.685616, 7.686
42.994934, 7.677
43.306492, 7.668
43.620308, 7.659
43.936401, 7.650
44.254780, 7.641
44.575470, 7.632
44.898483, 7.624
45.223835, 7.615
45.551544, 7.607
45.881630, 7.598
46.214108, 7.589
46.548996, 7.580
46.886307, 7.571
47.226067, 7.562
47.568283, 7.554
47.912983, 7.545
48.260181, 7.536
48.609894, 7.527
48.962143, 7.518
49.316940, 7.509
49.674313, 7.500
