* Measurement data measured by REW V5.30.9
* Source: JM-1 10dB Target Filtered
* Format: 
* Dated: Mar 2, 2024 4:14:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: EQ Filters: LS Q     Fc   100.0 Hz  Gain   6.00 dB Q  0.700 LS Q     Fc   500.0 Hz  Gain  -0.70 dB Q  0.800 PK       Fc    2500 Hz  Gain   1.00 dB  Q  2.000 HS Q     Fc    9000 Hz  Gain   2.50 dB Q  0.850
* Measurement: EQ JM-1 10dB Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB)
538.000000 1.086
545.000000 1.079
552.000000 1.073
560.000000 1.065
570.000000 1.056
580.000000 1.048
590.000000 1.041
600.000000 1.033
608.000000 1.026
615.000000 1.020
622.000000 1.014
630.000000 1.007
640.000000 0.997
650.000000 0.987
660.000000 0.975
670.000000 0.962
680.000000 0.948
690.000000 0.932
700.000000 0.917
710.000000 0.901
720.000000 0.885
730.000000 0.869
740.000000 0.854
750.000000 0.839
762.000000 0.823
775.000000 0.808
788.000000 0.795
800.000000 0.785
812.000000 0.777
825.000000 0.771
838.000000 0.768
850.000000 0.768
862.000000 0.769
875.000000 0.772
885.000000 0.776
900.000000 0.782
912.000000 0.789
925.000000 0.798
938.000000 0.810
950.000000 0.823
962.000000 0.838
975.000000 0.859
988.000000 0.883
1000.000000 0.910
1015.000000 0.948
1030.000000 0.992
1044.000000 1.038
1060.000000 1.095
1075.000000 1.150
1090.000000 1.206
1106.000000 1.264
1120.000000 1.313
1138.000000 1.373
1150.000000 1.411
1172.000000 1.476
1180.000000 1.499
1206.000000 1.573
1220.000000 1.613
1241.000000 1.675
1250.000000 1.702
1265.000000 1.750
1280.000000 1.799
1315.000000 1.919
1320.000000 1.937
1340.000000 2.009
1360.000000 2.084
1380.000000 2.160
1400.000000 2.236
1430.000000 2.353
1450.000000 2.432
1475.000000 2.531
1500.000000 2.633
1525.000000 2.738
1550.000000 2.844
1575.000000 2.954
1600.000000 3.065
1625.000000 3.178
1650.000000 3.294
1675.000000 3.412
1700.000000 3.534
1725.000000 3.660
1750.000000 3.789
1775.000000 3.923
1800.000000 4.063
1825.000000 4.208
1850.000000 4.358
1875.000000 4.514
1900.000000 4.675
1925.000000 4.843
1950.000000 5.016
1975.000000 5.196
2000.000000 5.382
2030.000000 5.613
2060.000000 5.853
2090.000000 6.102
2120.000000 6.356
2140.000000 6.527
2180.000000 6.869
2200.000000 7.036
2240.000000 7.357
2270.000000 7.582
2300.000000 7.790
2330.000000 7.983
2360.000000 8.160
2400.000000 8.375
2430.000000 8.523
2470.000000 8.703
2500.000000 8.826
2540.000000 8.978
2580.000000 9.114
2620.000000 9.236
2650.000000 9.319
2690.000000 9.417
2720.000000 9.481
2760.000000 9.553
2800.000000 9.610
2850.000000 9.660
2900.000000 9.685
2950.000000 9.689
3000.000000 9.672
3040.000000 9.644
3070.000000 9.615
3110.000000 9.567
3150.000000 9.509
3200.000000 9.421
3250.000000 9.319
3300.000000 9.203
3350.000000 9.074
3400.000000 8.935
3450.000000 8.787
3500.000000 8.633
3550.000000 8.473
3600.000000 8.310
3650.000000 8.144
3700.000000 7.976
3750.000000 7.809
3820.000000 7.576
3870.000000 7.413
3950.000000 7.158
4000.000000 7.003
4060.000000 6.822
4120.000000 6.643
4180.000000 6.466
4250.000000 6.257
4310.000000 6.075
4370.000000 5.890
4440.000000 5.670
4500.000000 5.482
4550.000000 5.327
4620.000000 5.116
4680.000000 4.941
4750.000000 4.748
4820.000000 4.565
4870.000000 4.442
4940.000000 4.281
5000.000000 4.154
5080.000000 4.005
5150.000000 3.893
5220.000000 3.800
5300.000000 3.712
5380.000000 3.641
5450.000000 3.590
5520.000000 3.547
5600.000000 3.504
5700.000000 3.460
5800.000000 3.426
5900.000000 3.401
6000.000000 3.386
6080.000000 3.382
6150.000000 3.386
6220.000000 3.395
6300.000000 3.413
6400.000000 3.447
6500.000000 3.493
6600.000000 3.550
6700.000000 3.617
6800.000000 3.692
6900.000000 3.771
7000.000000 3.852
7100.000000 3.931
7200.000000 4.005
7300.000000 4.071
7400.000000 4.124
7500.000000 4.163
7620.000000 4.186
7750.000000 4.179
7880.000000 4.136
8000.000000 4.063
8120.000000 3.955
8250.000000 3.800
8380.000000 3.609
8500.000000 3.402
8620.000000 3.172
8750.000000 2.905
8850.000000 2.696
9000.000000 2.393
9120.000000 2.175
9250.000000 1.979
9380.000000 1.834
9500.000000 1.749
9620.000000 1.714
9750.000000 1.729
9880.000000 1.801
10000.000000 1.918
10150.000000 2.131
10300.000000 2.408
10440.000000 2.695
10600.000000 3.001
10750.000000 3.207
10900.000000 3.291
11060.000000 3.234
11200.000000 3.074
11380.000000 2.750
11500.000000 2.483
11720.000000 1.929
11800.000000 1.719
12060.000000 1.056
12200.000000 0.746
12410.000000 0.381
12500.000000 0.261
12650.000000 0.111
12800.000000 0.011
13150.000000 -0.113
13200.000000 -0.126
13400.000000 -0.174
13600.000000 -0.233
13800.000000 -0.321
14000.000000 -0.442
14300.000000 -0.684
14500.000000 -0.873
14750.000000 -1.119
15000.000000 -1.347
15250.000000 -1.529
15500.000000 -1.643
15750.000000 -1.684
16000.000000 -1.659
16250.000000 -1.583
16500.000000 -1.477
16750.000000 -1.362
17000.000000 -1.255
17250.000000 -1.176
17500.000000 -1.139
17750.000000 -1.164
18000.000000 -1.271
18250.000000 -1.476
18500.000000 -1.797
18750.000000 -2.243
19000.000000 -2.823
19250.000000 -3.576
19500.000000 -4.657
19750.000000 -6.207
20000.000000 -7.572
