* Measurement data measured by REW V5.20.13
* Source: C:\Users\Ralph Ivan Danque\Desktop\Redmi Buds 4.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 31, 2023 8:33:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Ralph Ivan Danque\Desktop\Redmi Buds 4.txt Format: Comma/Tab/Space delimited data 1412 values loaded, 20 Hz to 19,526 Hz
* Measurement: Redmi Buds 4
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 19.713 Hz
*
* Freq(Hz), SPL(dB)
19.713264, 66.903
19.856115, 66.945
20.000000, 67.033
20.144928, 67.169
20.290907, 67.301
20.437943, 67.427
20.586044, 67.539
20.735220, 67.643
20.885475, 67.742
21.036821, 67.847
21.189262, 67.957
21.342808, 68.075
21.497467, 68.190
21.653246, 68.302
21.810154, 68.403
21.968201, 68.503
22.127390, 68.603
22.287735, 68.712
22.449242, 68.824
22.611917, 68.935
22.775772, 69.032
22.940815, 69.113
23.107054, 69.176
23.274498, 69.236
23.443153, 69.303
23.613033, 69.388
23.784142, 69.490
23.956491, 69.597
24.130091, 69.698
24.304947, 69.777
24.481071, 69.837
24.658470, 69.882
24.837156, 69.925
25.017136, 69.982
25.198421, 70.055
25.381020, 70.145
25.564941, 70.241
25.750195, 70.330
25.936790, 70.407
26.124741, 70.467
26.314051, 70.519
26.504732, 70.576
26.696796, 70.645
26.890253, 70.731
27.085112, 70.827
27.281382, 70.925
27.479073, 71.020
27.678198, 71.110
27.878765, 71.198
28.080786, 71.289
28.284271, 71.383
28.489231, 71.478
28.695675, 71.565
28.903616, 71.640
29.113064, 71.701
29.324028, 71.755
29.536524, 71.814
29.750557, 71.884
29.966141, 71.967
30.183289, 72.056
30.402010, 72.141
30.622314, 72.216
30.844217, 72.279
31.067726, 72.333
31.292856, 72.384
31.519617, 72.437
31.748020, 72.497
31.978081, 72.564
32.209808, 72.635
32.443211, 72.704
32.678310, 72.767
32.915108, 72.821
33.153625, 72.871
33.393871, 72.918
33.635857, 72.961
33.879597, 72.998
34.125103, 73.023
34.372387, 73.033
34.621464, 73.033
34.872345, 73.030
35.125042, 73.034
35.379574, 73.046
35.635948, 73.067
35.894180, 73.093
36.154285, 73.124
36.416275, 73.161
36.680161, 73.199
36.945961, 73.235
37.213688, 73.271
37.483353, 73.311
37.754974, 73.361
38.028561, 73.417
38.304131, 73.473
38.581699, 73.522
38.861279, 73.565
39.142883, 73.605
39.426529, 73.649
39.712231, 73.698
40.000000, 73.749
40.289856, 73.797
40.581814, 73.836
40.875885, 73.863
41.172089, 73.879
41.470440, 73.888
41.770950, 73.894
42.073643, 73.902
42.378525, 73.917
42.685616, 73.941
42.994934, 73.970
43.306492, 73.999
43.620308, 74.021
43.936401, 74.039
44.254780, 74.058
44.575470, 74.085
44.898483, 74.119
45.223835, 74.156
45.551544, 74.191
45.881630, 74.222
46.214108, 74.247
46.548996, 74.268
46.886307, 74.290
47.226067, 74.316
47.568283, 74.348
47.912983, 74.384
48.260181, 74.414
48.609894, 74.430
48.962143, 74.430
49.316940, 74.421
49.674313, 74.414
50.034271, 74.416
50.396843, 74.427
50.762039, 74.444
51.129883, 74.463
