* Measurement data measured by REW V5.31.3
* Source: C:\Users\therollo9\Documents\SquigLink\data\Chaos Neutral Tilt Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 18, 2024 1:46:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: HS Q     Fc    2500 Hz  Gain   8.00 dB Q  0.420 PK       Fc    2800 Hz  Gain  -3.00 dB  Q  1.000	-1.5dB/octave
* Measurement: Chaos Neutral Tilt Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB)
1700	9.014
1725	9.106
1750	9.2
1775	9.297
1800	9.398
1825	9.502
1850	9.609
1875	9.721
1900	9.836
1925	9.956
1950	10.08
1975	10.21
2000	10.345
2030	10.512
2060	10.69
2090	10.874
2120	11.064
2140	11.193
2180	11.453
2200	11.58
2240	11.825
2270	11.996
2300	12.155
2330	12.3
2360	12.437
2400	12.607
2430	12.73
2470	12.886
2500	13.002
2540	13.154
2580	13.304
2620	13.451
2650	13.561
2690	13.704
2720	13.807
2760	13.939
2800	14.062
2850	14.201
2900	14.325
2950	14.43
3000	14.52
3040	14.579
3070	14.616
3110	14.659
3150	14.69
3200	14.716
3250	14.728
3300	14.724
3350	14.708
3400	14.68
3450	14.642
3500	14.597
3550	14.544
3600	14.486
3650	14.423
3700	14.356
3750	14.288
3820	14.189
3870	14.119
3950	14.01
4000	13.942
4060	13.862
4120	13.783
4180	13.701
4250	13.6
4310	13.507
4370	13.405
4440	13.279
4500	13.169
4550	13.077
4620	12.95
4680	12.845
4750	12.73
4820	12.622
4870	12.55
4940	12.457
5000	12.388
5080	12.312
5150	12.259
5220	12.224
5300	12.2
5380	12.188
5450	12.187
5520	12.191
5600	12.198
5700	12.213
5800	12.232
5900	12.256
6000	12.285
6080	12.314
6150	12.343
6220	12.377
6300	12.419
6400	12.482
6500	12.553
6600	12.631
6700	12.716
6800	12.805
6900	12.896
7000	12.985
7100	13.069
7200	13.145
7300	13.21
7400	13.259
7500	13.292
7620	13.303
7750	13.279
7880	13.215
8000	13.119
8120	12.984
8250	12.798
8380	12.572
8500	12.329
8620	12.062
8750	11.75
8850	11.507
9000	11.151
9120	10.891
9250	10.649
9380	10.461
9500	10.338
9620	10.263
9750	10.237
9880	10.265
10000	10.345
10150	10.512
10300	10.752
10440	11.016
10600	11.304
10750	11.491
10900	11.547
11060	11.451
11200	11.253
11380	10.883
11500	10.587
11720	9.987
11800	9.761
12060	9.048
12200	8.719
12410	8.335
12500	8.212
12650	8.055
12800	7.95
13150	7.82
13200	7.805
13400	7.756
13600	7.694
13800	7.603
14000	7.478
14300	7.228
14500	7.033
14750	6.78
15000	6.545
15250	6.36
15500	6.245
15750	6.207
16000	6.238
16250	6.319
16500	6.432
16750	6.555
17000	6.668
17250	6.755
17500	6.799
17750	6.782
18000	6.682
18250	6.481
18500	6.159
18750	5.708
19000	5.121
19250	4.39
19500	3.375
19750	1.418
20000	-0.554
