Freq[Hz]     dBSPL  Phase[Deg]
5.00000     73.298   -18.237
5.07273     73.286   -18.244
5.14651     73.270   -18.254
5.22137     73.248   -18.268
5.29732     73.224   -18.285
5.37437     73.201   -18.305
5.45254     73.177   -18.325
5.53185     73.154   -18.346
5.61231     73.130   -18.367
5.69394     73.107   -18.389
5.77676     73.083   -18.411
5.86079     73.060   -18.433
5.94604     73.036   -18.456
6.03252     73.013   -18.479
6.12027     72.989   -18.502
6.20929     72.966   -18.526
6.29961     72.942   -18.550
6.39124     72.919   -18.574
6.48420     72.895   -18.599
6.57851     72.872   -18.624
6.67420     72.848   -18.650
6.77128     72.825   -18.676
6.86977     72.801   -18.702
6.96969     72.778   -18.729
7.07107     72.754   -18.756
7.17392     72.731   -18.784
7.27827     72.707   -18.812
7.38413     72.684   -18.840
7.49154     72.660   -18.869
7.60050     72.637   -18.899
7.71105     72.613   -18.928
7.82321     72.590   -18.959
7.93701     72.566   -18.990
8.05245     72.543   -19.021
8.16958     72.519   -19.053
8.28841     72.495   -19.085
8.40896     72.472   -19.117
8.53128     72.448   -19.151
8.65537     72.425   -19.184
8.78126     72.401   -19.219
8.90899     72.378   -19.254
9.03857     72.354   -19.289
9.17004     72.331   -19.325
9.30342     72.307   -19.361
9.43874     72.284   -19.398
9.57603     72.260   -19.436
9.71532     72.237   -19.474
9.85663     72.213   -19.513
10.0000     72.190   -19.552
10.1455     72.166   -19.592
10.2930     72.143   -19.633
10.4427     72.119   -19.674
10.5946     72.096   -19.716
10.7487     72.072   -19.759
10.9051     72.049   -19.802
11.0637     72.025   -19.846
11.2246     72.002   -19.891
11.3879     71.978   -19.936
11.5535     71.955   -19.982
11.7216     71.931   -20.029
11.8921     71.908   -20.077
12.0650     71.884   -20.125
12.2405     71.861   -20.175
12.4186     71.837   -20.224
12.5992     71.814   -20.275
12.7825     71.790   -20.327
12.9684     71.767   -20.379
13.1570     71.743   -20.432
13.3484     71.719   -20.487
13.5426     71.696   -20.542
13.7395     71.672   -20.598
13.9394     71.649   -20.654
14.1421     71.625   -20.712
14.3478     71.602   -20.771
14.5565     71.578   -20.831
14.7683     71.555   -20.891
14.9831     71.531   -20.953
