* Measurement data measured by REW V5.31.3
* Source: JM-1 Target Filtered
* Format: 
* Dated: Oct 3, 2024 7:40:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: Measurement imported from C:\Users\Ralph Ivan Danque\Documents\Graph Tool\data_fossy\JM-1 Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  LS Q     Fc   105.0 Hz  Gain   6.60 dB Q  0.707 PK       Fc    2800 Hz  Gain  -1.80 dB  Q  1.000 HS Q     Fc    2500 Hz  Gain  -3.00 dB Q  0.420 PK       Fc   21.00 Hz  Gain   3.60 dB  Q  0.500 PK       Fc    1700 Hz  Gain   0.90 dB  Q  2.000
* Measurement: EQ JM-1 Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB)
20.299999, 15.599
20.600000, 15.613
20.900000, 15.630
21.200001, 15.646
21.400000, 15.656
21.799999, 15.673
22.000000, 15.680
22.400000, 15.691
22.700001, 15.697
23.000000, 15.700
23.299999, 15.702
23.600000, 15.702
24.000000, 15.699
24.299999, 15.695
24.700001, 15.688
25.000000, 15.681
25.400000, 15.669
25.799999, 15.655
26.200001, 15.640
26.500000, 15.627
26.900000, 15.608
27.200001, 15.593
27.600000, 15.572
28.000000, 15.549
28.500000, 15.519
29.000000, 15.487
29.500000, 15.455
30.000000, 15.421
30.400000, 15.392
30.700001, 15.370
31.100000, 15.341
31.500000, 15.310
32.000000, 15.272
32.500000, 15.234
33.000000, 15.194
33.500000, 15.155
34.000000, 15.115
34.500000, 15.075
35.000000, 15.035
35.500000, 14.995
36.000000, 14.954
36.500000, 14.914
37.000000, 14.874
37.500000, 14.834
38.200001, 14.779
38.700001, 14.740
39.500000, 14.678
40.000000, 14.639
40.599998, 14.594
41.200001, 14.550
41.799999, 14.505
42.500000, 14.454
43.099998, 14.410
43.700001, 14.368
44.400002, 14.318
45.000000, 14.276
45.500000, 14.242
46.200001, 14.194
46.799999, 14.153
47.500000, 14.106
48.200001, 14.059
48.700001, 14.026
49.400002, 13.980
50.000000, 13.941
50.799999, 13.888
51.500000, 13.843
52.200001, 13.797
53.000000, 13.745
53.799999, 13.694
54.500000, 13.648
55.200001, 13.602
56.000000, 13.550
57.000000, 13.485
58.000000, 13.418
59.000000, 13.352
60.000000, 13.285
60.799999, 13.231
61.500000, 13.184
62.200001, 13.136
63.000000, 13.081
64.000000, 13.012
65.000000, 12.942
66.000000, 12.871
67.000000, 12.801
68.000000, 12.729
69.000000, 12.656
70.000000, 12.582
71.000000, 12.508
72.000000, 12.433
73.000000, 12.358
74.000000, 12.282
75.000000, 12.206
76.199997, 12.114
77.500000, 12.013
78.800003, 11.911
80.000000, 11.818
81.199997, 11.724
82.500000, 11.622
83.800003, 11.519
85.000000, 11.425
86.199997, 11.330
87.500000, 11.227
88.500000, 11.148
90.000000, 11.030
91.199997, 10.936
92.500000, 10.834
93.800003, 10.733
95.000000, 10.640
96.199997, 10.546
97.500000, 10.446
98.800003, 10.346
100.000000, 10.255
101.500000, 10.142
103.000000, 10.030
104.400002, 9.926
106.000000, 9.809
107.500000, 9.701
109.000000, 9.594
110.599998, 9.481
