* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -30.9 dBFS, measurement signal peak level -9.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:14:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.9567 ms (-1.014 m, -(3 ft 3.9 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,211.6 ppm
* Measurement: Spatial Passive R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 48.053, 17.2865
1.015000, 47.967, 18.1976
1.030000, 47.888, 19.1830
1.044000, 47.823, 20.1744
1.060000, 47.760, 21.3974
1.075000, 47.711, 22.6362
1.090000, 47.675, 23.9671
1.106000, 47.646, 25.4825
1.120000, 47.626, 26.8753
1.138000, 47.603, 28.7505
1.150000, 47.590, 30.0553
1.172000, 47.570, 32.5666
1.180000, 47.565, 33.5192
1.206000, 47.557, 36.7622
1.220000, 47.559, 38.6006
1.241000, 47.571, 41.4731
1.250000, 47.580, 42.7435
1.265000, 47.600, 44.9078
1.280000, 47.628, 47.1230
1.315000, 47.723, 52.4276
1.320000, 47.740, 53.1938
1.340000, 47.821, 56.2580
1.360000, 47.919, 59.2935
1.380000, 48.036, 62.2640
1.400000, 48.174, 65.1347
1.430000, 48.422, 69.1883
1.450000, 48.617, 71.6901
1.475000, 48.900, 74.5903
1.500000, 49.235, 77.2907
1.525000, 49.622, 79.8062
1.550000, 50.055, 82.1230
1.575000, 50.525, 84.2296
1.600000, 51.027, 86.1209
1.625000, 51.552, 87.7964
1.650000, 52.095, 89.2596
1.675000, 52.646, 90.5168
1.700000, 53.201, 91.5761
1.725000, 53.750, 92.4468
1.750000, 54.288, 93.1387
1.775000, 54.807, 93.6619
1.800000, 55.300, 94.0273
1.825000, 55.765, 94.2525
1.850000, 56.205, 94.3804
1.875000, 56.634, 94.4585
1.900000, 57.056, 94.4989
1.925000, 57.472, 94.4990
1.950000, 57.881, 94.4553
1.975000, 58.283, 94.3649
2.000000, 58.679, 94.2257
2.030000, 59.145, 93.9921
2.060000, 59.601, 93.6845
2.090000, 60.048, 93.3017
2.120000, 60.485, 92.8432
2.140000, 60.771, 92.4955
2.180000, 61.329, 91.7020
2.200000, 61.601, 91.2632
2.240000, 62.130, 90.3446
2.270000, 62.514, 89.6406
2.300000, 62.886, 88.9263
2.330000, 63.248, 88.2000
2.360000, 63.601, 87.4597
2.400000, 64.058, 86.4475
2.430000, 64.392, 85.6669
2.470000, 64.827, 84.5937
2.500000, 65.146, 83.7618
2.540000, 65.565, 82.6139
2.580000, 65.974, 81.4258
2.620000, 66.372, 80.2162
2.650000, 66.661, 79.3033
2.690000, 67.036, 78.0828
2.720000, 67.310, 77.1662
2.760000, 67.666, 75.9434
2.800000, 68.013, 74.7197
2.850000, 68.435, 73.1867
2.900000, 68.846, 71.6465
2.950000, 69.246, 70.0936
3.000000, 69.633, 68.5278
3.040000, 69.933, 67.2724
3.070000, 70.152, 66.3329
