* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -22.8 dBFS, measurement signal peak level -13.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 10:57:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.4764 ms (-1.192 m, -(3 ft 10.9 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -1,409.9 ppm
* Measurement: Classical Ambient L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 37.822, 100.4491
1.015000, 38.186, 101.5197
1.030000, 38.545, 102.4909
1.044000, 38.873, 103.3117
1.060000, 39.239, 104.1535
1.075000, 39.571, 104.8545
1.090000, 39.890, 105.4767
1.106000, 40.221, 106.0716
1.120000, 40.507, 106.5586
1.138000, 40.876, 107.1536
1.150000, 41.123, 107.5307
1.172000, 41.576, 108.1778
1.180000, 41.741, 108.3981
1.206000, 42.278, 109.0553
1.220000, 42.567, 109.3706
1.241000, 42.999, 109.7910
1.250000, 43.184, 109.9516
1.265000, 43.491, 110.1928
1.280000, 43.796, 110.4008
1.315000, 44.503, 110.7565
1.320000, 44.603, 110.7926
1.340000, 45.000, 110.9004
1.360000, 45.393, 110.9505
1.380000, 45.780, 110.9440
1.400000, 46.161, 110.8822
1.430000, 46.720, 110.6896
1.450000, 47.083, 110.4990
1.475000, 47.526, 110.2144
1.500000, 47.959, 109.9288
1.525000, 48.382, 109.6572
1.550000, 48.797, 109.3897
1.575000, 49.203, 109.1156
1.600000, 49.601, 108.8261
1.625000, 49.992, 108.5138
1.650000, 50.377, 108.1727
1.675000, 50.755, 107.7979
1.700000, 51.128, 107.3856
1.725000, 51.495, 106.9329
1.750000, 51.858, 106.4373
1.775000, 52.216, 105.8974
1.800000, 52.571, 105.3126
1.825000, 52.923, 104.6873
1.850000, 53.271, 104.0433
1.875000, 53.613, 103.4073
1.900000, 53.949, 102.7842
1.925000, 54.280, 102.1693
1.950000, 54.605, 101.5569
1.975000, 54.925, 100.9421
2.000000, 55.241, 100.3204
2.030000, 55.614, 99.5597
2.060000, 55.981, 98.7775
2.090000, 56.342, 97.9687
2.120000, 56.699, 97.1289
2.140000, 56.933, 96.5500
2.180000, 57.397, 95.3450
2.200000, 57.627, 94.7230
2.240000, 58.078, 93.4733
2.270000, 58.409, 92.5463
2.300000, 58.735, 91.6277
2.330000, 59.055, 90.7139
2.360000, 59.370, 89.8014
2.400000, 59.783, 88.5803
2.430000, 60.086, 87.6568
2.470000, 60.485, 86.4090
2.500000, 60.778, 85.4568
2.540000, 61.164, 84.1612
2.580000, 61.543, 82.8398
2.620000, 61.913, 81.5130
2.650000, 62.186, 80.5220
2.690000, 62.542, 79.2078
2.720000, 62.805, 78.2270
2.760000, 63.148, 76.9243
2.800000, 63.484, 75.6248
2.850000, 63.895, 74.0001
