* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -12.0 dBFS, measurement signal peak level -8.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 9:07:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.6967 ms (-925 mm, -(3 ft 0.42 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,006.4 ppm
* Measurement: Electronic ANC R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 46.892, 171.3270
1.015000, 47.002, 170.3369
1.030000, 47.115, 169.3094
1.044000, 47.223, 168.3156
1.060000, 47.350, 167.1373
1.075000, 47.473, 165.9906
1.090000, 47.599, 164.8040
1.106000, 47.738, 163.5039
1.120000, 47.863, 162.3555
1.138000, 48.028, 160.8783
1.150000, 48.140, 159.8947
1.172000, 48.351, 158.0946
1.180000, 48.430, 157.4411
1.206000, 48.690, 155.3207
1.220000, 48.833, 154.1810
1.241000, 49.052, 152.4731
1.250000, 49.148, 151.7415
1.265000, 49.309, 150.5225
1.280000, 49.472, 149.3032
1.315000, 49.860, 146.4543
1.320000, 49.917, 146.0466
1.340000, 50.144, 144.4132
1.360000, 50.375, 142.7748
1.380000, 50.608, 141.1303
1.400000, 50.844, 139.4788
1.430000, 51.201, 136.9869
1.450000, 51.442, 135.3167
1.475000, 51.747, 133.2343
1.500000, 52.059, 131.1993
1.525000, 52.380, 129.2304
1.550000, 52.709, 127.3262
1.575000, 53.044, 125.4816
1.600000, 53.384, 123.6909
1.625000, 53.727, 121.9483
1.650000, 54.074, 120.2477
1.675000, 54.422, 118.5831
1.700000, 54.771, 116.9489
1.725000, 55.118, 115.3398
1.750000, 55.464, 113.7510
1.775000, 55.806, 112.1777
1.800000, 56.144, 110.6167
1.825000, 56.477, 109.0679
1.850000, 56.806, 107.5447
1.875000, 57.135, 106.0661
1.900000, 57.464, 104.6364
1.925000, 57.792, 103.2527
1.950000, 58.119, 101.9107
1.975000, 58.445, 100.6063
2.000000, 58.769, 99.3351
2.030000, 59.156, 97.8477
2.060000, 59.539, 96.3954
2.090000, 59.918, 94.9718
2.120000, 60.292, 93.5711
2.140000, 60.538, 92.6473
2.180000, 61.023, 90.8190
2.200000, 61.261, 89.9155
2.240000, 61.730, 88.1483
2.270000, 62.076, 86.8665
2.300000, 62.418, 85.6207
2.330000, 62.755, 84.4076
2.360000, 63.087, 83.2235
2.400000, 63.524, 81.6840
2.430000, 63.846, 80.5542
2.470000, 64.269, 79.0748
2.500000, 64.581, 77.9814
2.540000, 64.991, 76.5403
2.580000, 65.392, 75.1191
2.620000, 65.786, 73.7291
2.650000, 66.075, 72.7104
2.690000, 66.454, 71.3824
2.720000, 66.734, 70.4073
2.760000, 67.099, 69.1319
2.800000, 67.459, 67.8815
2.850000, 67.898, 66.3477
2.900000, 68.329, 64.8400
2.950000, 68.751, 63.3558
3.000000, 69.162, 61.9022
3.040000, 69.483, 60.7638
3.070000, 69.720, 59.9237
3.110000, 70.030, 58.8209
3.150000, 70.335, 57.7363
3.200000, 70.708, 56.4034
3.250000, 71.074, 55.0925
3.300000, 71.433, 53.8007
3.350000, 71.783, 52.5288
3.400000, 72.126, 51.2792
3.450000, 72.460, 50.0521
3.500000, 72.787, 48.8465
3.550000, 73.107, 47.6609
3.600000, 73.421, 46.4935
3.650000, 73.729, 45.3424
3.700000, 74.031, 44.2059
3.750000, 74.326, 43.0844
3.820000, 74.729, 41.5410
3.870000, 75.009, 40.4583
3.950000, 75.445, 38.7593
4.000000, 75.711, 37.7172
4.060000, 76.024, 36.4834
4.120000, 76.328, 35.2653
4.180000, 76.625, 34.0641
4.250000, 76.962, 32.6877
4.310000, 77.243, 31.5312
4.370000, 77.518, 30.3965
4.440000, 77.831, 29.0953
4.500000, 78.091, 27.9947
4.550000, 78.303, 27.0891
4.620000, 78.592, 25.8434
4.680000, 78.834, 24.7996
4.750000, 79.109, 23.6115
4.820000, 79.377, 22.4496
4.870000, 79.563, 21.6319
4.940000, 79.817, 20.5065
5.000000, 80.030, 19.5636
5.080000, 80.306, 18.3435
5.150000, 80.542, 17.3114
5.220000, 80.772, 16.3058
5.300000, 81.027, 15.1858
5.380000, 81.276, 14.1012
5.450000, 81.489, 13.1848
5.520000, 81.699, 12.2999
5.600000, 81.934, 11.3224
5.700000, 82.220, 10.1456
5.800000, 82.502, 9.0167
5.900000, 82.779, 7.9359
6.000000, 83.053, 6.9020
6.080000, 83.269, 6.1021
6.150000, 83.457, 5.4166
6.220000, 83.644, 4.7424
6.300000, 83.857, 3.9874
6.400000, 84.122, 3.0666
6.500000, 84.385, 2.1591
6.600000, 84.646, 1.2531
6.700000, 84.905, 0.3501
6.800000, 85.162, -0.5492
6.900000, 85.416, -1.4529
7.000000, 85.666, -2.3673
7.100000, 85.913, -3.2903
7.200000, 86.155, -4.2186
7.300000, 86.391, -5.1522
7.400000, 86.622, -6.0934
7.500000, 86.846, -7.0405
7.620000, 87.108, -8.1733
7.750000, 87.379, -9.3887
7.880000, 87.639, -10.5939
8.000000, 87.870, -11.6824
8.120000, 88.091, -12.7370
8.250000, 88.322, -13.8452
8.380000, 88.543, -14.9060
8.500000, 88.742, -15.8344
8.620000, 88.936, -16.7178
8.750000, 89.141, -17.6226
8.850000, 89.298, -18.2794
9.000000, 89.531, -19.2054
9.120000, 89.718, -19.9035
9.250000, 89.921, -20.6205
9.380000, 90.127, -21.3016
9.500000, 90.318, -21.9104
9.620000, 90.513, -22.5053
9.750000, 90.725, -23.1371
9.880000, 90.931, -23.7667
10.000000, 91.113, -24.3504
10.150000, 91.331, -25.0840
10.300000, 91.542, -25.8281
10.440000, 91.733, -26.5326
10.600000, 91.949, -27.3448
10.750000, 92.152, -28.1112
10.900000, 92.353, -28.8773
11.060000, 92.565, -29.6862
11.200000, 92.747, -30.3846
11.380000, 92.979, -31.2630
11.500000, 93.133, -31.8342
11.720000, 93.415, -32.8533
11.800000, 93.519, -33.2151
12.060000, 93.862, -34.3664
12.200000, 94.052, -34.9777
12.410000, 94.341, -35.8931
12.500000, 94.466, -36.2888
12.650000, 94.676, -36.9547
12.800000, 94.886, -37.6320
13.150000, 95.376, -39.2672
13.200000, 95.447, -39.5069
13.400000, 95.727, -40.4791
13.600000, 96.007, -41.4681
13.800000, 96.286, -42.4689
14.000000, 96.564, -43.4774
14.300000, 96.981, -45.0052
14.500000, 97.260, -46.0400
14.750000, 97.614, -47.3698
15.000000, 97.973, -48.7594
15.250000, 98.339, -50.2329
15.500000, 98.707, -51.8065
15.750000, 99.071, -53.4866
16.000000, 99.427, -55.2714
16.250000, 99.773, -57.1509
16.500000, 100.108, -59.1128
16.750000, 100.433, -61.1463
17.000000, 100.748, -63.2454
17.250000, 101.055, -65.4097
17.500000, 101.351, -67.6426
17.750000, 101.636, -69.9492
18.000000, 101.908, -72.3306
18.250000, 102.163, -74.7836
18.500000, 102.401, -77.2974
18.750000, 102.619, -79.8558
19.000000, 102.818, -82.4407
19.250000, 102.996, -85.0315
19.500000, 103.157, -87.6133
19.750000, 103.299, -90.1757
20.000000, 103.425, -92.7133
20.299999, 103.557, -95.7250
20.600000, 103.667, -98.7007
20.900000, 103.754, -101.6373
21.200001, 103.817, -104.5223
21.400000, 103.845, -106.4062
21.799999, 103.868, -110.0468
22.000000, 103.865, -111.7892
22.400000, 103.837, -115.0972
22.700001, 103.802, -117.4233
23.000000, 103.758, -119.6293
23.299999, 103.707, -121.7321
23.600000, 103.649, -123.7452
24.000000, 103.559, -126.2961
24.299999, 103.480, -128.1010
24.700001, 103.361, -130.3409
25.000000, 103.265, -131.8852
25.400000, 103.131, -133.7650
25.799999, 102.998, -135.4620
26.200001, 102.867, -137.0083
26.500000, 102.771, -138.0847
26.900000, 102.643, -139.4208
27.200001, 102.547, -140.3524
27.600000, 102.420, -141.5029
28.000000, 102.293, -142.5474
28.500000, 102.132, -143.6903
29.000000, 101.976, -144.6356
29.500000, 101.834, -145.4014
30.000000, 101.710, -146.0604
30.400000, 101.620, -146.5619
30.700001, 101.554, -146.9303
31.100000, 101.465, -147.3925
31.500000, 101.374, -147.7896
32.000000, 101.268, -148.1734
32.500000, 101.180, -148.4766
33.000000, 101.107, -148.7767
33.500000, 101.040, -149.1027
34.000000, 100.976, -149.4211
34.500000, 100.916, -149.6981
35.000000, 100.867, -149.9449
35.500000, 100.828, -150.1969
36.000000, 100.795, -150.4741
36.500000, 100.767, -150.7787
37.000000, 100.741, -151.1157
37.500000, 100.713, -151.4918
38.200001, 100.662, -152.0463
38.700001, 100.615, -152.3962
39.500000, 100.536, -152.7949
40.000000, 100.494, -152.9647
40.599998, 100.453, -153.1329
41.200001, 100.417, -153.2800
41.799999, 100.387, -153.4086
42.500000, 100.356, -153.5386
43.099998, 100.333, -153.6302
43.700001, 100.312, -153.6978
44.400002, 100.288, -153.7393
45.000000, 100.268, -153.7252
45.500000, 100.255, -153.6677
46.200001, 100.249, -153.5475
46.799999, 100.254, -153.4603
47.500000, 100.263, -153.3864
48.200001, 100.274, -153.2849
48.700001, 100.289, -153.1926
49.400002, 100.324, -153.0900
50.000000, 100.359, -153.0541
50.799999, 100.409, -153.0446
51.500000, 100.456, -153.0431
52.200001, 100.509, -153.0573
53.000000, 100.573, -153.0945
53.799999, 100.641, -153.1400
54.500000, 100.705, -153.2050
55.200001, 100.769, -153.3268
56.000000, 100.835, -153.5106
57.000000, 100.913, -153.7429
58.000000, 100.984, -154.0579
59.000000, 101.034, -154.2838
60.000000, 101.114, -154.3282
60.799999, 101.203, -154.4886
61.500000, 101.274, -154.6999
62.200001, 101.343, -154.8480
63.000000, 101.441, -154.9484
