* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -20.2 dBFS, measurement signal peak level -11.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 9:04:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.8839 ms (-989 mm, -(3 ft 2.94 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,104.9 ppm
* Measurement: Popularity Ambient R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 50.166, -159.9440
1.015000, 50.255, -160.6510
1.030000, 50.344, -161.3839
1.044000, 50.427, -162.0931
1.060000, 50.522, -162.9352
1.075000, 50.611, -163.7572
1.090000, 50.700, -164.6126
1.106000, 50.794, -165.5620
1.120000, 50.875, -166.4211
1.138000, 50.977, -167.5603
1.150000, 51.043, -168.3397
1.172000, 51.161, -169.8064
1.180000, 51.203, -170.3510
1.206000, 51.337, -172.1595
1.220000, 51.408, -173.1557
1.241000, 51.513, -174.6770
1.250000, 51.558, -175.3383
1.265000, 51.632, -176.4522
1.280000, 51.706, -177.5802
1.315000, 51.880, 179.7360
1.320000, 51.905, 179.3469
1.340000, 52.007, 177.7765
1.360000, 52.110, 176.1837
1.380000, 52.215, 174.5686
1.400000, 52.324, 172.9304
1.430000, 52.494, 170.4279
1.450000, 52.612, 168.7275
1.475000, 52.766, 166.5627
1.500000, 52.924, 164.3544
1.525000, 53.084, 162.1112
1.550000, 53.247, 159.8436
1.575000, 53.412, 157.5605
1.600000, 53.581, 155.2693
1.625000, 53.753, 152.9762
1.650000, 53.928, 150.6852
1.675000, 54.107, 148.3994
1.700000, 54.289, 146.1201
1.725000, 54.475, 143.8480
1.750000, 54.665, 141.5822
1.775000, 54.860, 139.3212
1.800000, 55.058, 137.0627
1.825000, 55.261, 134.8036
1.850000, 55.470, 132.5422
1.875000, 55.685, 130.2826
1.900000, 55.907, 128.0344
1.925000, 56.134, 125.8068
1.950000, 56.365, 123.6072
1.975000, 56.601, 121.4413
2.000000, 56.840, 119.3133
2.030000, 57.129, 116.8130
2.060000, 57.420, 114.3727
2.090000, 57.712, 111.9921
2.120000, 58.004, 109.6688
2.140000, 58.197, 108.1501
2.180000, 58.580, 105.1780
2.200000, 58.769, 103.7202
2.240000, 59.149, 100.8507
2.270000, 59.435, 98.7412
2.300000, 59.723, 96.6748
2.330000, 60.011, 94.6566
2.360000, 60.299, 92.6900
2.400000, 60.681, 90.1507
2.430000, 60.965, 88.3088
2.470000, 61.340, 85.9348
2.500000, 61.616, 84.2129
2.540000, 61.977, 81.9894
2.580000, 62.329, 79.8353
2.620000, 62.674, 77.7318
2.650000, 62.930, 76.1857
2.690000, 63.266, 74.1715
2.720000, 63.514, 72.6996
2.760000, 63.840, 70.7924
2.800000, 64.159, 68.9508
2.850000, 64.551, 66.7427
2.900000, 64.932, 64.6376
2.950000, 65.303, 62.6224
3.000000, 65.663, 60.6692
3.040000, 65.944, 59.1464
3.070000, 66.150, 58.0294
3.110000, 66.420, 56.5765
3.150000, 66.685, 55.1677
3.200000, 67.008, 53.4726
3.250000, 67.326, 51.8534
3.300000, 67.637, 50.3083
3.350000, 67.940, 48.8234
3.400000, 68.235, 47.3862
3.450000, 68.522, 45.9951
3.500000, 68.803, 44.6511
3.550000, 69.079, 43.3553
3.600000, 69.351, 42.1092
3.650000, 69.620, 40.9134
3.700000, 69.885, 39.7662
3.750000, 70.145, 38.6627
3.820000, 70.501, 37.1805
3.870000, 70.751, 36.1602
3.950000, 71.145, 34.5844
4.000000, 71.389, 33.6313
4.060000, 71.680, 32.5212
4.120000, 71.968, 31.4527
4.180000, 72.252, 30.4199
4.250000, 72.580, 29.2456
4.310000, 72.857, 28.2538
4.370000, 73.132, 27.2681
4.440000, 73.451, 26.1282
4.500000, 73.721, 25.1686
4.550000, 73.944, 24.3800
4.620000, 74.253, 23.2839
4.680000, 74.514, 22.3440
4.750000, 74.813, 21.2385
4.820000, 75.107, 20.1245
4.870000, 75.314, 19.3281
4.940000, 75.599, 18.2145
5.000000, 75.839, 17.2607
5.080000, 76.150, 15.9872
5.150000, 76.415, 14.8666
5.220000, 76.672, 13.7369
5.300000, 76.957, 12.4421
5.380000, 77.233, 11.1553
5.450000, 77.466, 10.0425
5.520000, 77.691, 8.9402
5.600000, 77.937, 7.6827
5.700000, 78.231, 6.1240
5.800000, 78.510, 4.6091
5.900000, 78.775, 3.1519
6.000000, 79.025, 1.7329
6.080000, 79.216, 0.6293
6.150000, 79.377, -0.3022
6.220000, 79.534, -1.1954
6.300000, 79.707, -2.1729
6.400000, 79.915, -3.3413
6.500000, 80.117, -4.4487
6.600000, 80.315, -5.4877
6.700000, 80.511, -6.4573
6.800000, 80.704, -7.3693
6.900000, 80.896, -8.2376
7.000000, 81.091, -9.0669
7.100000, 81.287, -9.8550
7.200000, 81.484, -10.6165
7.300000, 81.683, -11.3719
7.400000, 81.884, -12.1267
7.500000, 82.087, -12.8777
7.620000, 82.331, -13.7900
7.750000, 82.593, -14.8144
7.880000, 82.852, -15.8721
8.000000, 83.086, -16.8743
8.120000, 83.312, -17.9061
8.250000, 83.547, -19.0545
8.380000, 83.771, -20.2126
8.500000, 83.966, -21.2816
8.620000, 84.150, -22.3501
8.750000, 84.337, -23.4825
8.850000, 84.473, -24.3249
9.000000, 84.663, -25.5447
9.120000, 84.807, -26.4683
9.250000, 84.956, -27.4036
