* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -13.0 dBFS, measurement signal peak level -8.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:31:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.9859 ms (-1.024 m, -(3 ft 4.3 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,306.3 ppm
* Measurement: Electronic Passive R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 48.457, 177.2401
1.015000, 48.464, 176.9076
1.030000, 48.472, 176.5478
1.044000, 48.481, 176.1858
1.060000, 48.494, 175.7397
1.075000, 48.508, 175.2885
1.090000, 48.524, 174.8048
1.106000, 48.543, 174.2581
1.120000, 48.560, 173.7640
1.138000, 48.582, 173.1138
1.150000, 48.596, 172.6708
1.172000, 48.625, 171.8366
1.180000, 48.635, 171.5255
1.206000, 48.672, 170.4829
1.220000, 48.693, 169.8998
1.241000, 48.726, 168.9942
1.250000, 48.742, 168.5940
1.265000, 48.769, 167.9101
1.280000, 48.798, 167.2043
1.315000, 48.874, 165.4668
1.320000, 48.886, 165.2079
1.340000, 48.937, 164.1442
1.360000, 48.993, 163.0351
1.380000, 49.055, 161.8795
1.400000, 49.123, 160.6770
1.430000, 49.237, 158.7850
1.450000, 49.322, 157.4629
1.475000, 49.439, 155.7233
1.500000, 49.565, 153.9064
1.525000, 49.700, 152.0607
1.550000, 49.844, 150.1960
1.575000, 49.996, 148.3137
1.600000, 50.157, 146.4142
1.625000, 50.325, 144.4978
1.650000, 50.501, 142.5638
1.675000, 50.686, 140.6116
1.700000, 50.877, 138.6404
1.725000, 51.076, 136.6492
1.750000, 51.282, 134.6373
1.775000, 51.495, 132.6039
1.800000, 51.715, 130.5490
1.825000, 51.941, 128.4769
1.850000, 52.177, 126.4083
1.875000, 52.425, 124.3722
1.900000, 52.683, 122.3805
1.925000, 52.952, 120.4352
1.950000, 53.229, 118.5356
1.975000, 53.514, 116.6802
2.000000, 53.805, 114.8664
2.030000, 54.159, 112.7404
2.060000, 54.518, 110.6639
2.090000, 54.879, 108.6306
2.120000, 55.239, 106.6339
2.140000, 55.478, 105.3202
2.180000, 55.949, 102.7289
2.200000, 56.182, 101.4533
2.240000, 56.648, 98.9719
2.270000, 57.001, 97.1862
2.300000, 57.357, 95.4641
2.330000, 57.713, 93.8012
2.360000, 58.070, 92.1919
2.400000, 58.545, 90.1198
2.430000, 58.899, 88.6134
2.470000, 59.365, 86.6579
2.500000, 59.709, 85.2240
2.540000, 60.159, 83.3474
2.580000, 60.598, 81.5110
2.620000, 61.029, 79.7310
2.650000, 61.348, 78.4376
2.690000, 61.768, 76.7664
2.720000, 62.078, 75.5498
2.760000, 62.487, 73.9718
2.800000, 62.888, 72.4380
2.850000, 63.379, 70.5727
2.900000, 63.859, 68.7539
2.950000, 64.327, 66.9753
3.000000, 64.782, 65.2447
3.040000, 65.137, 63.8979
3.070000, 65.399, 62.9092
3.110000, 65.741, 61.6183
3.150000, 66.078, 60.3565
3.200000, 66.489, 58.8161
3.250000, 66.891, 57.3115
3.300000, 67.284, 55.8377
3.350000, 67.667, 54.3932
3.400000, 68.040, 52.9796
3.450000, 68.403, 51.5978
3.500000, 68.757, 50.2474
3.550000, 69.102, 48.9271
3.600000, 69.441, 47.6351
3.650000, 69.772, 46.3690
3.700000, 70.096, 45.1258
3.750000, 70.412, 43.9041
3.820000, 70.842, 42.2308
3.870000, 71.140, 41.0623
3.950000, 71.604, 39.2386
4.000000, 71.886, 38.1260
4.060000, 72.218, 36.8156
4.120000, 72.541, 35.5291
4.180000, 72.856, 34.2661
4.250000, 73.213, 32.8229
4.310000, 73.511, 31.6117
4.370000, 73.802, 30.4233
4.440000, 74.135, 29.0626
4.500000, 74.412, 27.9158
4.550000, 74.638, 26.9736
4.620000, 74.947, 25.6759
4.680000, 75.205, 24.5834
4.750000, 75.500, 23.3311
4.820000, 75.787, 22.0994
4.870000, 75.988, 21.2305
4.940000, 76.262, 20.0300
5.000000, 76.492, 19.0171
5.080000, 76.791, 17.6902
5.150000, 77.045, 16.5498
5.220000, 77.293, 15.4246
5.300000, 77.569, 14.1567
5.380000, 77.836, 12.9116
5.450000, 78.064, 11.8428
5.520000, 78.287, 10.7924
5.600000, 78.534, 9.6090
5.700000, 78.833, 8.1562
5.800000, 79.122, 6.7394
5.900000, 79.401, 5.3608
6.000000, 79.670, 4.0125
6.080000, 79.879, 2.9559
6.150000, 80.058, 2.0499
6.220000, 80.232, 1.1625
6.300000, 80.427, 0.1688
6.400000, 80.664, -1.0469
6.500000, 80.894, -2.2318
6.600000, 81.119, -3.3842
6.700000, 81.337, -4.5064
6.800000, 81.550, -5.6019
6.900000, 81.757, -6.6714
7.000000, 81.961, -7.7157
7.100000, 82.159, -8.7371
7.200000, 82.354, -9.7375
7.300000, 82.544, -10.7183
7.400000, 82.731, -11.6814
7.500000, 82.913, -12.6280
7.620000, 83.127, -13.7422
7.750000, 83.352, -14.9241
7.880000, 83.570, -16.0826
8.000000, 83.765, -17.1278
8.120000, 83.955, -18.1486
8.250000, 84.154, -19.2293
8.380000, 84.347, -20.2778
8.500000, 84.519, -21.2139
8.620000, 84.686, -22.1214
8.750000, 84.863, -23.0684
8.850000, 84.996, -23.7688
9.000000, 85.192, -24.7767
9.120000, 85.346, -25.5475
9.250000, 85.512, -26.3462
9.380000, 85.676, -27.1108
9.500000, 85.828, -27.7926
9.620000, 85.981, -28.4536
9.750000, 86.145, -29.1499
9.880000, 86.303, -29.8352
10.000000, 86.440, -30.4620
10.150000, 86.600, -31.2411
10.300000, 86.753, -32.0253
10.440000, 86.890, -32.7644
10.600000, 87.043, -33.6173
10.750000, 87.185, -34.4263
10.900000, 87.324, -35.2392
11.060000, 87.466, -36.1016
11.200000, 87.584, -36.8486
11.380000, 87.728, -37.7814
11.500000, 87.818, -38.3809
11.720000, 87.978, -39.4200
11.800000, 88.035, -39.7744
12.060000, 88.220, -40.8384
12.200000, 88.321, -41.3541
12.410000, 88.478, -42.0632
12.500000, 88.548, -42.3481
12.650000, 88.666, -42.8023
12.800000, 88.787, -43.2428
13.150000, 89.085, -44.2695
13.200000, 89.129, -44.4211
13.400000, 89.308, -45.0463
13.600000, 89.487, -45.7052
13.800000, 89.663, -46.3962
14.000000, 89.832, -47.1058
14.300000, 90.071, -48.1720
14.500000, 90.220, -48.8574
14.750000, 90.399, -49.6620
15.000000, 90.575, -50.3990
15.250000, 90.756, -51.0750
15.500000, 90.943, -51.7139
15.750000, 91.135, -52.3444
16.000000, 91.329, -52.9934
16.250000, 91.521, -53.6739
16.500000, 91.707, -54.3824
16.750000, 91.885, -55.1011
17.000000, 92.054, -55.8029
17.250000, 92.216, -56.4637
17.500000, 92.375, -57.0679
17.750000, 92.533, -57.6152
18.000000, 92.694, -58.1201
18.250000, 92.862, -58.6058
18.500000, 93.034, -59.0980
18.750000, 93.209, -59.6144
19.000000, 93.384, -60.1623
19.250000, 93.557, -60.7362
19.500000, 93.724, -61.3226
19.750000, 93.886, -61.9064
20.000000, 94.044, -62.4755
20.299999, 94.230, -63.1343
20.600000, 94.416, -63.7742
20.900000, 94.602, -64.4114
21.200001, 94.787, -65.0602
21.400000, 94.908, -65.5012
21.799999, 95.143, -66.3939
22.000000, 95.258, -66.8375
22.400000, 95.481, -67.7028
22.700001, 95.648, -68.3319
23.000000, 95.816, -68.9561
23.299999, 95.986, -69.5923
23.600000, 96.155, -70.2538
24.000000, 96.375, -71.1771
24.299999, 96.533, -71.8854
24.700001, 96.735, -72.8168
25.000000, 96.882, -73.4897
25.400000, 97.077, -74.3534
25.799999, 97.274, -75.2073
26.200001, 97.472, -76.0862
26.500000, 97.617, -76.7693
26.900000, 97.804, -77.6979
27.200001, 97.938, -78.3904
27.600000, 98.110, -79.2908
28.000000, 98.280, -80.1690
28.500000, 98.488, -81.2697
29.000000, 98.686, -82.3933
29.500000, 98.866, -83.4973
30.000000, 99.032, -84.5208
30.400000, 99.162, -85.2828
30.700001, 99.261, -85.8451
31.100000, 99.390, -86.6096
31.500000, 99.509, -87.3862
32.000000, 99.635, -88.2861
32.500000, 99.750, -88.9761
33.000000, 99.883, -89.4268
33.500000, 100.060, -89.7896
34.000000, 100.280, -90.2825
34.500000, 100.518, -91.0253
35.000000, 100.748, -91.9936
35.500000, 100.959, -93.0988
36.000000, 101.152, -94.2656
36.500000, 101.327, -95.4430
37.000000, 101.488, -96.5869
37.500000, 101.642, -97.6672
38.200001, 101.863, -99.1014
38.700001, 102.028, -100.1479
39.500000, 102.291, -101.9911
40.000000, 102.440, -103.2516
40.599998, 102.595, -104.8210
41.200001, 102.722, -106.3834
41.799999, 102.825, -107.8762
42.500000, 102.928, -109.4869
43.099998, 103.012, -110.7704
43.700001, 103.095, -112.0042
44.400002, 103.188, -113.4138
45.000000, 103.262, -114.5896
45.500000, 103.321, -115.5344
46.200001, 103.404, -116.8101
46.799999, 103.477, -117.8936
47.500000, 103.556, -119.1740
48.200001, 103.620, -120.4128
48.700001, 103.659, -121.2144
49.400002, 103.720, -122.2119
50.000000, 103.786, -123.0229
50.799999, 103.882, -124.1383
51.500000, 103.966, -125.1255
52.200001, 104.055, -126.1096
53.000000, 104.159, -127.2750
53.799999, 104.259, -128.4594
54.500000, 104.350, -129.4844
55.200001, 104.448, -130.5471
56.000000, 104.562, -131.8538
57.000000, 104.698, -133.6324
58.000000, 104.815, -135.5565
59.000000, 104.912, -137.5757
60.000000, 104.979, -139.7805
60.799999, 104.986, -141.5883
61.500000, 104.962, -143.0394
62.200001, 104.929, -144.3403
63.000000, 104.888, -145.6904
64.000000, 104.839, -147.2002
65.000000, 104.803, -148.5635
66.000000, 104.782, -149.8571
67.000000, 104.776, -151.1133
68.000000, 104.788, -152.3923
69.000000, 104.818, -153.7847
70.000000, 104.858, -155.3744
71.000000, 104.894, -157.2048
72.000000, 104.914, -159.2737
73.000000, 104.909, -161.5651
74.000000, 104.864, -164.0353
75.000000, 104.768, -166.5678
76.199997, 104.588, -169.4954
77.500000, 104.331, -172.3482
78.800003, 104.038, -174.7863
80.000000, 103.756, -176.6767
81.199997, 103.479, -178.3074
82.500000, 103.186, -179.8812
83.800003, 102.907, 178.7433
85.000000, 102.671, 177.5688
86.199997, 102.450, 176.4287
87.500000, 102.222, 175.2861
88.500000, 102.058, 174.4592
90.000000, 101.819, 173.1097
91.199997, 101.599, 171.9855
92.500000, 101.346, 170.8063
93.800003, 101.075, 169.4993
95.000000, 100.805, 168.2096
96.199997, 100.518, 166.7341
97.500000, 100.152, 164.9449
98.800003, 99.704, 163.1657
100.000000, 99.212, 161.6757
101.500000, 98.474, 160.1256
103.000000, 97.583, 159.2355
