* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -32.5 dBFS, measurement signal peak level -9.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 10:25:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.1233 ms (-1.071 m, -(3 ft 6.2 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -1,098.7 ppm
* Measurement: Spatial Passive L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 36.816, 12.9978
1.015000, 36.696, 12.7933
1.030000, 36.597, 12.8247
1.044000, 36.528, 13.0991
1.060000, 36.480, 13.7485
1.075000, 36.467, 14.7344
1.090000, 36.488, 16.1346
1.106000, 36.546, 18.0779
1.120000, 36.618, 20.0766
1.138000, 36.733, 23.0528
1.150000, 36.823, 25.3515
1.172000, 37.015, 30.4282
1.180000, 37.093, 32.6118
1.206000, 37.376, 41.2604
1.220000, 37.546, 47.0262
1.241000, 37.825, 57.1229
1.250000, 37.953, 61.8816
1.265000, 38.177, 70.1124
1.280000, 38.413, 78.3004
1.315000, 39.013, 94.8795
1.320000, 39.104, 96.8185
1.340000, 39.481, 103.4261
1.360000, 39.877, 108.3434
1.380000, 40.291, 111.8531
1.400000, 40.723, 114.2420
1.430000, 41.401, 116.2410
1.450000, 41.874, 116.7936
1.475000, 42.498, 116.9657
1.500000, 43.185, 116.9902
1.525000, 43.938, 116.9958
1.550000, 44.748, 116.9514
1.575000, 45.603, 116.8271
1.600000, 46.494, 116.6052
1.625000, 47.407, 116.2764
1.650000, 48.332, 115.8367
1.675000, 49.258, 115.2847
1.700000, 50.173, 114.6212
1.725000, 51.067, 113.8479
1.750000, 51.928, 112.9671
1.775000, 52.745, 111.9817
1.800000, 53.508, 110.8960
1.825000, 54.211, 109.7245
1.850000, 54.857, 108.5197
1.875000, 55.463, 107.3448
1.900000, 56.036, 106.2150
1.925000, 56.579, 105.1234
1.950000, 57.094, 104.0611
1.975000, 57.586, 103.0193
2.000000, 58.056, 101.9901
2.030000, 58.597, 100.7620
2.060000, 59.115, 99.5309
2.090000, 59.618, 98.2873
2.120000, 60.108, 97.0227
2.140000, 60.431, 96.1643
2.180000, 61.073, 94.4042
2.200000, 61.392, 93.5050
2.240000, 62.014, 91.7033
2.270000, 62.461, 90.3711
2.300000, 62.891, 89.0611
2.330000, 63.306, 87.7741
2.360000, 63.707, 86.5093
2.400000, 64.223, 84.8541
2.430000, 64.598, 83.6328
2.470000, 65.084, 82.0252
2.500000, 65.440, 80.8306
2.540000, 65.905, 79.2459
2.580000, 66.361, 77.6639
2.620000, 66.800, 76.0859
2.650000, 67.119, 74.9108
2.690000, 67.529, 73.3630
2.720000, 67.827, 72.2200
2.760000, 68.212, 70.7239
2.800000, 68.585, 69.2618
2.850000, 69.038, 67.4835
2.900000, 69.479, 65.7579
2.950000, 69.907, 64.0742
3.000000, 70.319, 62.4134
3.040000, 70.636, 61.1014
3.070000, 70.867, 60.1306
3.110000, 71.167, 58.8577
3.150000, 71.459, 57.6131
3.200000, 71.815, 56.1021
3.250000, 72.163, 54.6446
3.300000, 72.503, 53.2398
3.350000, 72.834, 51.8757
3.400000, 73.154, 50.5423
3.450000, 73.465, 49.2399
3.500000, 73.766, 47.9706
3.550000, 74.062, 46.7367
3.600000, 74.352, 45.5404
3.650000, 74.639, 44.3833
3.700000, 74.922, 43.2650
3.750000, 75.199, 42.1820
3.820000, 75.578, 40.7148
3.870000, 75.844, 39.6951
3.950000, 76.261, 38.1017
