* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of DT880 pads R, DT880 pads R, DT880 pads R, DT880 pads R
* Dated: Nov 16, 2024 10:39:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; 
* Measurement: DT880 pads R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB)
2.200000, 72.174
2.240000, 72.406
2.270000, 72.619
2.300000, 72.831
2.330000, 73.040
2.360000, 73.245
2.400000, 73.514
2.430000, 73.711
2.470000, 73.970
2.500000, 74.161
2.540000, 74.410
2.580000, 74.655
2.620000, 74.893
2.650000, 75.067
2.690000, 75.294
2.720000, 75.460
2.760000, 75.676
2.800000, 75.886
2.850000, 76.142
2.900000, 76.389
2.950000, 76.629
3.000000, 76.859
3.040000, 77.037
3.070000, 77.166
3.110000, 77.334
3.150000, 77.497
3.200000, 77.694
3.250000, 77.884
3.300000, 78.068
3.350000, 78.245
3.400000, 78.413
3.450000, 78.575
3.500000, 78.729
3.550000, 78.879
3.600000, 79.024
3.650000, 79.164
3.700000, 79.300
3.750000, 79.430
3.820000, 79.604
3.870000, 79.724
3.950000, 79.908
4.000000, 80.021
4.060000, 80.154
4.120000, 80.283
4.180000, 80.408
4.250000, 80.551
4.310000, 80.672
4.370000, 80.794
4.440000, 80.936
4.500000, 81.058
4.550000, 81.159
4.620000, 81.302
4.680000, 81.425
4.750000, 81.571
4.820000, 81.720
4.870000, 81.827
4.940000, 81.979
5.000000, 82.111
5.080000, 82.287
5.150000, 82.442
5.220000, 82.599
5.300000, 82.778
5.380000, 82.957
5.450000, 83.110
5.520000, 83.261
5.600000, 83.430
5.700000, 83.636
5.800000, 83.833
5.900000, 84.020
6.000000, 84.197
6.080000, 84.331
6.150000, 84.443
6.220000, 84.549
6.300000, 84.662
6.400000, 84.793
6.500000, 84.913
6.600000, 85.026
6.700000, 85.130
6.800000, 85.226
6.900000, 85.318
7.000000, 85.407
7.100000, 85.492
7.200000, 85.578
7.300000, 85.666
7.400000, 85.759
7.500000, 85.858
7.620000, 85.983
7.750000, 86.128
7.880000, 86.284
8.000000, 86.434
8.120000, 86.589
8.250000, 86.760
8.380000, 86.929
8.500000, 87.081
8.620000, 87.225
8.750000, 87.372
8.850000, 87.477
9.000000, 87.618
9.120000, 87.719
9.250000, 87.815
9.380000, 87.898
9.500000, 87.967
9.620000, 88.028
9.750000, 88.088
9.880000, 88.141
10.000000, 88.183
10.150000, 88.233
10.300000, 88.286
10.440000, 88.341
10.600000, 88.414
10.750000, 88.495
10.900000, 88.585
11.060000, 88.687
11.200000, 88.777
11.380000, 88.886
11.500000, 88.952
11.720000, 89.054
11.800000, 89.086
12.060000, 89.171
12.200000, 89.209
12.410000, 89.258
12.500000, 89.278
12.650000, 89.311
12.800000, 89.347
13.150000, 89.459
13.200000, 89.479
13.400000, 89.567
13.600000, 89.667
13.800000, 89.772
14.000000, 89.877
14.300000, 90.023
14.500000, 90.108
14.750000, 90.201
15.000000, 90.284
15.250000, 90.368
15.500000, 90.456
15.750000, 90.550
16.000000, 90.653
16.250000, 90.762
16.500000, 90.873
