* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -13.6 dBFS, measurement signal peak level -6.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 7, 2024 12:45:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.5735 ms (-883 mm, -(2 ft 10.75 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -1,300.2 ppm
* Measurement: Rock Ambient L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 40.804, 91.2355
1.015000, 40.932, 91.9611
1.030000, 41.066, 92.7045
1.044000, 41.199, 93.4127
1.060000, 41.359, 94.2365
1.075000, 41.519, 95.0204
1.090000, 41.690, 95.8139
1.106000, 41.883, 96.6744
1.120000, 42.060, 97.4478
1.138000, 42.298, 98.4708
1.150000, 42.462, 99.1663
1.172000, 42.775, 100.4559
1.180000, 42.892, 100.9263
1.206000, 43.283, 102.4440
1.220000, 43.500, 103.2461
1.241000, 43.834, 104.4165
1.250000, 43.979, 104.9030
1.265000, 44.224, 105.6894
1.280000, 44.472, 106.4414
1.315000, 45.060, 108.0398
1.320000, 45.145, 108.2485
1.340000, 45.486, 109.0293
1.360000, 45.828, 109.7204
1.380000, 46.170, 110.3179
1.400000, 46.511, 110.8190
1.430000, 47.019, 111.3882
1.450000, 47.353, 111.6495
1.475000, 47.767, 111.8794
1.500000, 48.186, 112.0846
1.525000, 48.611, 112.2897
1.550000, 49.041, 112.4792
1.575000, 49.475, 112.6363
1.600000, 49.911, 112.7478
1.625000, 50.349, 112.8031
1.650000, 50.786, 112.7943
1.675000, 51.221, 112.7154
1.700000, 51.653, 112.5620
1.725000, 52.080, 112.3314
1.750000, 52.501, 112.0217
1.775000, 52.914, 111.6321
1.800000, 53.319, 111.1634
1.825000, 53.713, 110.6234
1.850000, 54.098, 110.0441
1.875000, 54.477, 109.4644
1.900000, 54.851, 108.8927
1.925000, 55.219, 108.3234
1.950000, 55.581, 107.7503
1.975000, 55.939, 107.1675
2.000000, 56.291, 106.5699
2.030000, 56.708, 105.8272
