* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -12.3 dBFS, measurement signal peak level -8.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:09:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.3381 ms (-1.145 m, -(3 ft 9.1 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,207.0 ppm
* Measurement: Rock Passive R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 39.773, -172.1338
1.015000, 39.956, -172.7570
1.030000, 40.141, -173.4510
1.044000, 40.314, -174.1644
1.060000, 40.513, -175.0587
1.075000, 40.700, -175.9744
1.090000, 40.887, -176.9621
1.106000, 41.088, -178.0726
1.120000, 41.266, -179.0537
1.138000, 41.499, 179.6995
1.150000, 41.658, 178.8787
1.172000, 41.953, 177.3914
1.180000, 42.062, 176.8550
1.206000, 42.422, 175.1212
1.220000, 42.619, 174.1899
1.241000, 42.918, 172.7898
1.250000, 43.047, 172.1871
1.265000, 43.264, 171.1767
1.280000, 43.483, 170.1568
1.315000, 43.998, 167.7267
1.320000, 44.072, 167.3725
1.340000, 44.369, 165.9351
1.360000, 44.667, 164.4610
1.380000, 44.966, 162.9462
1.400000, 45.264, 161.3867
1.430000, 45.711, 158.9575
1.450000, 46.007, 157.2768
1.475000, 46.377, 155.1319
1.500000, 46.750, 153.0104
1.525000, 47.127, 150.9487
1.550000, 47.508, 148.9488
1.575000, 47.891, 147.0056
1.600000, 48.276, 145.1119
1.625000, 48.662, 143.2601
1.650000, 49.048, 141.4415
1.675000, 49.433, 139.6474
1.700000, 49.817, 137.8694
1.725000, 50.199, 136.0995
1.750000, 50.577, 134.3300
1.775000, 50.951, 132.5538
1.800000, 51.320, 130.7651
1.825000, 51.684, 128.9632
1.850000, 52.044, 127.1660
1.875000, 52.402, 125.4026
1.900000, 52.757, 123.6840
1.925000, 53.111, 122.0110
1.950000, 53.462, 120.3814
1.975000, 53.811, 118.7921
2.000000, 54.156, 117.2391
2.030000, 54.567, 115.4171
2.060000, 54.972, 113.6327
2.090000, 55.372, 111.8777
2.120000, 55.766, 110.1438
