* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -11.7 dBFS, measurement signal peak level -11.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 12:14:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.2934 ms (-1.130 m, -(3 ft 8.5 in)) using IR start time relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,240.6 ppm
* Measurement: Treble Passive R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 43.057, 176.0877
1.015000, 43.173, 175.2792
1.030000, 43.292, 174.4286
1.044000, 43.405, 173.5950
1.060000, 43.536, 172.5939
1.075000, 43.662, 171.6070
1.090000, 43.789, 170.5737
1.106000, 43.928, 169.4306
1.120000, 44.052, 168.4155
1.138000, 44.214, 167.1051
1.150000, 44.323, 166.2299
1.172000, 44.529, 164.6224
1.180000, 44.605, 164.0368
1.206000, 44.855, 162.1294
1.220000, 44.993, 161.0987
1.241000, 45.203, 159.5467
1.250000, 45.293, 158.8788
1.265000, 45.447, 157.7616
1.280000, 45.601, 156.6382
1.315000, 45.969, 153.9879
1.320000, 46.023, 153.6055
1.340000, 46.237, 152.0646
1.360000, 46.455, 150.5043
1.380000, 46.674, 148.9223
1.400000, 46.896, 147.3165
1.430000, 47.233, 144.8590
1.450000, 47.460, 143.1871
1.475000, 47.747, 141.0730
1.500000, 48.041, 138.9743
1.525000, 48.342, 136.9151
1.550000, 48.649, 134.8997
1.575000, 48.961, 132.9276
1.600000, 49.278, 130.9970
1.625000, 49.599, 129.1044
1.650000, 49.921, 127.2455
1.675000, 50.246, 125.4156
1.700000, 50.570, 123.6093
1.725000, 50.894, 121.8214
1.750000, 51.217, 120.0465
1.775000, 51.537, 118.2795
1.800000, 51.854, 116.5156
1.825000, 52.166, 114.7534
1.850000, 52.477, 113.0030
1.875000, 52.787, 111.2826
1.900000, 53.098, 109.6001
1.925000, 53.409, 107.9573
1.950000, 53.719, 106.3535
1.975000, 54.029, 104.7872
2.000000, 54.338, 103.2563
2.030000, 54.706, 101.4619
2.060000, 55.070, 99.7090
2.090000, 55.430, 97.9915
2.120000, 55.786, 96.3035
2.140000, 56.019, 95.1913
2.180000, 56.478, 92.9915
2.200000, 56.703, 91.9021
2.240000, 57.146, 89.7519
2.270000, 57.472, 88.1724
2.300000, 57.795, 86.6248
2.330000, 58.112, 85.1106
2.360000, 58.425, 83.6296
2.400000, 58.836, 81.7055
2.430000, 59.138, 80.2982
2.470000, 59.533, 78.4654
2.500000, 59.824, 77.1201
2.540000, 60.205, 75.3600
2.580000, 60.576, 73.6306
2.620000, 60.939, 71.9264
2.650000, 61.204, 70.6665
2.690000, 61.551, 69.0157
2.720000, 61.805, 67.8015
2.760000, 62.138, 66.2169
2.800000, 62.462, 64.6728
2.850000, 62.858, 62.7996
2.900000, 63.244, 60.9875
2.950000, 63.619, 59.2262
3.000000, 63.983, 57.4986
3.040000, 64.265, 56.1396
3.070000, 64.472, 55.1363
3.110000, 64.743, 53.8226
3.150000, 65.007, 52.5388
3.200000, 65.329, 50.9798
