* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -18.0 dBFS, measurement signal peak level -10.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 9:21:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.7993 ms (-960 mm, -(3 ft 1.8 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,036.6 ppm
* Measurement: Popularity ANC R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 41.809, 176.7318
1.015000, 42.135, 175.1916
1.030000, 42.460, 173.6139
1.044000, 42.763, 172.1067
1.060000, 43.109, 170.3430
1.075000, 43.433, 168.6506
1.090000, 43.756, 166.9265
1.106000, 44.100, 165.0843
1.120000, 44.403, 163.5216
1.138000, 44.794, 161.6118
1.150000, 45.056, 160.3990
1.172000, 45.539, 158.2872
1.180000, 45.715, 157.5513
1.206000, 46.289, 155.2593
1.220000, 46.599, 154.0789
1.241000, 47.063, 152.3644
1.250000, 47.261, 151.6467
1.265000, 47.592, 150.4690
1.280000, 47.922, 149.3099
1.315000, 48.687, 146.6530
1.320000, 48.795, 146.2769
1.340000, 49.228, 144.7756
1.360000, 49.656, 143.2748
1.380000, 50.079, 141.7686
1.400000, 50.497, 140.2525
1.430000, 51.113, 137.9517
1.450000, 51.515, 136.3989
1.475000, 52.008, 134.4636
1.500000, 52.494, 132.6064
1.525000, 52.973, 130.8531
1.550000, 53.445, 129.1919
1.575000, 53.912, 127.6071
1.600000, 54.372, 126.0838
1.625000, 54.825, 124.6085
1.650000, 55.273, 123.1687
1.675000, 55.714, 121.7536
1.700000, 56.149, 120.3535
1.725000, 56.577, 118.9599
1.750000, 56.999, 117.5655
1.775000, 57.415, 116.1640
1.800000, 57.825, 114.7504
1.825000, 58.228, 113.3254
1.850000, 58.624, 111.9081
1.875000, 59.013, 110.5257
1.900000, 59.395, 109.1855
1.925000, 59.771, 107.8847
1.950000, 60.139, 106.6188
1.975000, 60.502, 105.3830
2.000000, 60.858, 104.1725
2.030000, 61.278, 102.7470
2.060000, 61.690, 101.3435
2.090000, 62.094, 99.9549
2.120000, 62.492, 98.5744
2.140000, 62.754, 97.6555
2.180000, 63.269, 95.8150
2.200000, 63.522, 94.8943
2.240000, 64.018, 93.0718
2.270000, 64.381, 91.7340
2.300000, 64.736, 90.4229
2.330000, 65.083, 89.1376
2.360000, 65.424, 87.8762
2.400000, 65.868, 86.2278
2.430000, 66.194, 85.0131
2.470000, 66.620, 83.4170
2.500000, 66.933, 82.2336
2.540000, 67.344, 80.6686
2.580000, 67.746, 79.1155
2.620000, 68.137, 77.5798
2.650000, 68.424, 76.4435
2.690000, 68.797, 74.9518
2.720000, 69.071, 73.8515
2.760000, 69.428, 72.4096
2.800000, 69.776, 70.9958
2.850000, 70.202, 69.2658
2.900000, 70.617, 67.5729
2.950000, 71.023, 65.9105
3.000000, 71.416, 64.2726
3.040000, 71.722, 62.9818
3.070000, 71.946, 62.0268
3.110000, 72.239, 60.7725
3.150000, 72.526, 59.5411
3.200000, 72.876, 58.0353
3.250000, 73.219, 56.5669
3.300000, 73.555, 55.1332
3.350000, 73.883, 53.7272
3.400000, 74.202, 52.3450
3.450000, 74.512, 50.9885
3.500000, 74.814, 49.6597
3.550000, 75.110, 48.3602
3.600000, 75.400, 47.0908
3.650000, 75.686, 45.8513
3.700000, 75.966, 44.6387
3.750000, 76.240, 43.4492
3.820000, 76.613, 41.8206
3.870000, 76.873, 40.6834
3.950000, 77.279, 38.9085
4.000000, 77.529, 37.8265
4.060000, 77.823, 36.5544
4.120000, 78.111, 35.3091
4.180000, 78.393, 34.0885
4.250000, 78.715, 32.6935
4.310000, 78.986, 31.5203
4.370000, 79.252, 30.3661
4.440000, 79.556, 29.0418
4.500000, 79.812, 27.9253
4.550000, 80.022, 27.0078
4.620000, 80.310, 25.7419
4.680000, 80.552, 24.6732
4.750000, 80.829, 23.4429
4.820000, 81.100, 22.2275
4.870000, 81.290, 21.3681
4.940000, 81.551, 20.1786
5.000000, 81.770, 19.1732
5.080000, 82.055, 17.8544
5.150000, 82.298, 16.7186
5.220000, 82.535, 15.5953
5.300000, 82.798, 14.3275
5.380000, 83.054, 13.0837
5.450000, 83.273, 12.0195
5.520000, 83.486, 10.9770
5.600000, 83.722, 9.8051
5.700000, 84.008, 8.3714
5.800000, 84.284, 6.9849
5.900000, 84.551, 5.6519
6.000000, 84.810, 4.3623
6.080000, 85.010, 3.3613
6.150000, 85.182, 2.5117
6.220000, 85.352, 1.6887
6.300000, 85.542, 0.7787
6.400000, 85.775, -0.3182
6.500000, 86.003, -1.3727
6.600000, 86.228, -2.3842
6.700000, 86.451, -3.3533
6.800000, 86.670, -4.2855
6.900000, 86.888, -5.1880
7.000000, 87.105, -6.0641
7.100000, 87.321, -6.9136
7.200000, 87.536, -7.7418
7.300000, 87.750, -8.5566
7.400000, 87.963, -9.3605
7.500000, 88.174, -10.1525
7.620000, 88.426, -11.0927
7.750000, 88.696, -12.1057
7.880000, 88.962, -13.1125
8.000000, 89.204, -14.0356
8.120000, 89.442, -14.9542
8.250000, 89.694, -15.9438
8.380000, 89.942, -16.9222
8.500000, 90.165, -17.8133
8.620000, 90.384, -18.6929
8.750000, 90.616, -19.6268
8.850000, 90.790, -20.3293
9.000000, 91.048, -21.3581
9.120000, 91.249, -22.1558
9.250000, 91.465, -22.9919
9.380000, 91.677, -23.8002
9.500000, 91.872, -24.5208
9.620000, 92.066, -25.2166
9.750000, 92.274, -25.9441
9.880000, 92.474, -26.6473
10.000000, 92.649, -27.2756
10.150000, 92.858, -28.0365
10.300000, 93.063, -28.7772
10.440000, 93.251, -29.4523
10.600000, 93.468, -30.2125
10.750000, 93.677, -30.9197
10.900000, 93.891, -31.6244
11.060000, 94.121, -32.3806
11.200000, 94.325, -33.0470
11.380000, 94.588, -33.9156
11.500000, 94.765, -34.5029
11.720000, 95.092, -35.5997
11.800000, 95.213, -36.0057
12.060000, 95.612, -37.3533
12.200000, 95.830, -38.0992
12.410000, 96.159, -39.2472
12.500000, 96.301, -39.7518
12.650000, 96.537, -40.6096
12.800000, 96.773, -41.4913
13.150000, 97.321, -43.6474
13.200000, 97.399, -43.9670
13.400000, 97.710, -45.2732
13.600000, 98.019, -46.6201
13.800000, 98.324, -48.0020
14.000000, 98.624, -49.4103
14.300000, 99.064, -51.5584
14.500000, 99.353, -53.0071
14.750000, 99.713, -54.8385
