* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -23.7 dBFS, measurement signal peak level -13.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:27:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.9022 ms (-995 mm, -(3 ft 3.19 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,136.6 ppm
* Measurement: Classical Ambient R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 43.262, -137.7230
1.015000, 43.394, -136.6371
1.030000, 43.528, -135.6775
1.044000, 43.652, -134.8993
1.060000, 43.794, -134.1522
1.075000, 43.925, -133.5912
1.090000, 44.055, -133.1638
1.106000, 44.194, -132.8347
1.120000, 44.319, -132.6178
1.138000, 44.490, -132.4101
1.150000, 44.609, -132.3134
1.172000, 44.837, -132.2218
1.180000, 44.923, -132.2156
1.206000, 45.211, -132.2932
1.220000, 45.371, -132.3954
1.241000, 45.616, -132.6260
1.250000, 45.722, -132.7526
1.265000, 45.900, -133.0000
1.280000, 46.079, -133.2923
1.315000, 46.498, -134.1464
1.320000, 46.557, -134.2880
1.340000, 46.793, -134.9036
1.360000, 47.025, -135.5985
1.380000, 47.251, -136.3749
1.400000, 47.469, -137.2354
1.430000, 47.779, -138.6924
1.450000, 47.973, -139.7820
1.475000, 48.197, -141.2824
1.500000, 48.405, -142.9253
1.525000, 48.600, -144.6885
1.550000, 48.782, -146.5524
1.575000, 48.955, -148.5011
1.600000, 49.120, -150.5219
1.625000, 49.279, -152.6055
1.650000, 49.435, -154.7458
1.675000, 49.590, -156.9401
1.700000, 49.744, -159.1884
1.725000, 49.902, -161.4934
1.750000, 50.063, -163.8607
1.775000, 50.232, -166.2979
1.800000, 50.409, -168.8153
1.825000, 50.595, -171.4265
1.850000, 50.789, -174.1461
1.875000, 50.986, -176.9723
1.900000, 51.186, -179.8813
1.925000, 51.388, 177.1543
1.950000, 51.593, 174.1591
1.975000, 51.800, 171.1532
2.000000, 52.012, 168.1526
2.030000, 52.271, 164.5749
2.060000, 52.536, 161.0334
2.090000, 52.808, 157.5327
2.120000, 53.088, 154.0710
2.140000, 53.280, 151.7816
2.180000, 53.675, 147.2318
2.200000, 53.880, 144.9626
2.240000, 54.308, 140.4286
2.270000, 54.644, 137.0600
2.300000, 54.991, 133.7522
2.330000, 55.347, 130.5275
2.360000, 55.709, 127.4000
2.400000, 56.198, 123.3922
2.430000, 56.566, 120.5077
2.470000, 57.054, 116.8140
2.500000, 57.415, 114.1464
2.540000, 57.887, 110.7045
2.580000, 58.346, 107.3618
2.620000, 58.802, 104.0948
2.650000, 59.143, 101.7024
2.690000, 59.595, 98.6072
2.720000, 59.932, 96.3647
2.760000, 60.376, 93.4852
2.800000, 60.812, 90.7312
2.850000, 61.344, 87.4556
2.900000, 61.857, 84.3443
2.950000, 62.349, 81.3558
3.000000, 62.824, 78.4403
3.040000, 63.192, 76.1616
3.070000, 63.461, 74.4914
3.110000, 63.812, 72.3241
3.150000, 64.153, 70.2303
3.200000, 64.567, 67.7210
3.250000, 64.967, 65.3306
3.300000, 65.353, 63.0442
3.350000, 65.725, 60.8198
3.400000, 66.080, 58.6358
3.450000, 66.421, 56.5041
3.500000, 66.749, 54.4400
3.550000, 67.066, 52.4562
3.600000, 67.372, 50.5611
3.650000, 67.669, 48.7553
3.700000, 67.955, 47.0175
3.750000, 68.229, 45.3200
3.820000, 68.595, 43.0094
3.870000, 68.845, 41.4183
3.950000, 69.228, 39.0001
4.000000, 69.459, 37.5781
4.060000, 69.729, 35.9556
4.120000, 69.987, 34.3974
4.180000, 70.235, 32.8935
4.250000, 70.513, 31.2127
4.310000, 70.744, 29.8424
4.370000, 70.971, 28.5424
4.440000, 71.230, 27.1114
4.500000, 71.445, 25.9456
4.550000, 71.621, 25.0109
4.620000, 71.861, 23.7542
4.680000, 72.063, 22.7227
4.750000, 72.297, 21.5712
4.820000, 72.529, 20.4756
4.870000, 72.692, 19.7255
4.940000, 72.918, 18.7136
5.000000, 73.110, 17.8750
5.080000, 73.363, 16.7884
5.150000, 73.582, 15.8628
5.220000, 73.800, 14.9637
5.300000, 74.047, 13.9667
5.380000, 74.291, 12.9936
5.450000, 74.501, 12.1544
5.520000, 74.710, 11.3229
5.600000, 74.944, 10.3840
5.700000, 75.233, 9.2296
5.800000, 75.515, 8.0948
5.900000, 75.791, 6.9755
6.000000, 76.060, 5.8694
6.080000, 76.270, 4.9968
6.150000, 76.451, 4.2449
6.220000, 76.628, 3.5052
6.300000, 76.828, 2.6736
6.400000, 77.071, 1.6522
6.500000, 77.310, 0.6523
6.600000, 77.544, -0.3230
6.700000, 77.775, -1.2731
6.800000, 78.002, -2.2024
6.900000, 78.227, -3.1176
7.000000, 78.450, -4.0209
7.100000, 78.671, -4.9104
7.200000, 78.890, -5.7931
7.300000, 79.107, -6.6793
7.400000, 79.323, -7.5722
7.500000, 79.536, -8.4691
7.620000, 79.789, -9.5569
7.750000, 80.055, -10.7604
7.880000, 80.314, -11.9883
8.000000, 80.544, -13.1338
8.120000, 80.764, -14.2903
8.250000, 80.991, -15.5554
8.380000, 81.205, -16.8084
8.500000, 81.390, -17.9430
8.620000, 81.562, -19.0578
8.750000, 81.737, -20.2171
8.850000, 81.863, -21.0620
9.000000, 82.040, -22.2580
9.120000, 82.174, -23.1386
9.250000, 82.314, -24.0026
9.380000, 82.451, -24.7798
9.500000, 82.577, -25.4244
9.620000, 82.707, -25.9981
9.750000, 82.851, -26.5504
9.880000, 82.994, -27.0550
10.000000, 83.123, -27.4876
10.150000, 83.284, -28.0003
10.300000, 83.447, -28.5226
10.440000, 83.604, -29.0301
10.600000, 83.787, -29.6538
10.750000, 83.963, -30.2987
10.900000, 84.140, -30.9967
11.060000, 84.323, -31.7970
11.200000, 84.475, -32.5383
11.380000, 84.658, -33.5172
11.500000, 84.771, -34.1770
11.720000, 84.962, -35.3657
11.800000, 85.027, -35.7813
12.060000, 85.227, -37.0520
12.200000, 85.330, -37.6699
12.410000, 85.483, -38.5106
12.500000, 85.548, -38.8407
12.650000, 85.658, -39.3546
12.800000, 85.770, -39.8361
13.150000, 86.046, -40.8954
13.200000, 86.087, -41.0463
13.400000, 86.254, -41.6602
13.600000, 86.423, -42.3008
13.800000, 86.591, -42.9726
14.000000, 86.752, -43.6655
14.300000, 86.977, -44.7130
14.500000, 87.116, -45.3867
14.750000, 87.279, -46.1690
15.000000, 87.437, -46.8649
15.250000, 87.599, -47.4687
15.500000, 87.768, -47.9974
15.750000, 87.945, -48.4800
16.000000, 88.131, -48.9524
16.250000, 88.323, -49.4460
16.500000, 88.517, -49.9780
16.750000, 88.710, -50.5513
17.000000, 88.898, -51.1518
17.250000, 89.079, -51.7568
17.500000, 89.252, -52.3407
17.750000, 89.419, -52.8820
18.000000, 89.584, -53.3712
18.250000, 89.750, -53.8110
18.500000, 89.920, -54.2169
18.750000, 90.097, -54.6121
19.000000, 90.280, -55.0203
19.250000, 90.467, -55.4615
19.500000, 90.654, -55.9437
19.750000, 90.836, -56.4642
20.000000, 91.010, -57.0107
20.299999, 91.209, -57.6746
20.600000, 91.397, -58.3175
20.900000, 91.576, -58.9171
21.200001, 91.751, -59.4669
21.400000, 91.868, -59.8101
21.799999, 92.104, -60.4669
22.000000, 92.224, -60.7940
22.400000, 92.467, -61.4725
22.700001, 92.648, -62.0125
23.000000, 92.825, -62.5780
23.299999, 92.999, -63.1616
23.600000, 93.169, -63.7548
24.000000, 93.391, -64.5523
24.299999, 93.556, -65.1559
24.700001, 93.772, -65.9754
25.000000, 93.931, -66.6040
25.400000, 94.137, -67.4545
25.799999, 94.335, -68.2972
26.200001, 94.528, -69.1075
26.500000, 94.673, -69.6909
26.900000, 94.870, -70.4578
27.200001, 95.023, -71.0512
27.600000, 95.226, -71.9006
28.000000, 95.420, -72.8183
28.500000, 95.639, -73.9862
29.000000, 95.834, -75.0521
29.500000, 96.028, -75.9748
30.000000, 96.234, -76.8648
30.400000, 96.399, -77.6464
30.700001, 96.513, -78.2805
31.100000, 96.643, -79.1307
31.500000, 96.748, -79.8808
32.000000, 96.862, -80.5397
32.500000, 96.996, -80.8908
33.000000, 97.174, -81.1071
33.500000, 97.392, -81.3964
34.000000, 97.635, -81.8765
34.500000, 97.886, -82.5794
35.000000, 98.129, -83.4947
35.500000, 98.351, -84.5717
36.000000, 98.545, -85.7136
36.500000, 98.717, -86.8165
37.000000, 98.880, -87.8341
37.500000, 99.049, -88.7949
38.200001, 99.297, -90.1572
38.700001, 99.480, -91.2004
39.500000, 99.767, -93.0491
40.000000, 99.933, -94.3213
40.599998, 100.105, -95.9111
41.200001, 100.246, -97.4738
41.799999, 100.365, -98.9449
42.500000, 100.489, -100.5388
43.099998, 100.588, -101.8118
43.700001, 100.686, -103.0147
44.400002, 100.805, -104.4002
45.000000, 100.905, -105.6362
45.500000, 100.978, -106.6887
46.200001, 101.065, -108.1093
46.799999, 101.135, -109.2419
47.500000, 101.218, -110.5036
48.200001, 101.294, -111.6993
48.700001, 101.346, -112.4772
49.400002, 101.425, -113.4637
50.000000, 101.500, -114.2646
50.799999, 101.605, -115.3313
51.500000, 101.700, -116.3294
52.200001, 101.781, -117.4227
53.000000, 101.853, -118.6557
53.799999, 101.936, -119.8836
54.500000, 102.017, -121.1363
55.200001, 102.084, -122.4821
56.000000, 102.180, -124.0790
57.000000, 102.297, -126.6051
58.000000, 102.287, -128.9906
59.000000, 102.325, -130.5262
60.000000, 102.427, -132.4342
60.799999, 102.434, -134.0925
61.500000, 102.406, -135.2992
62.200001, 102.368, -136.3602
63.000000, 102.307, -137.4739
64.000000, 102.210, -138.7041
65.000000, 102.105, -139.8282
66.000000, 101.999, -140.8176
67.000000, 101.917, -141.6956
68.000000, 101.869, -142.5539
69.000000, 101.850, -143.4521
70.000000, 101.854, -144.4427
71.000000, 101.863, -145.5894
72.000000, 101.863, -146.8629
73.000000, 101.848, -148.3040
74.000000, 101.794, -149.8912
75.000000, 101.699, -151.4472
76.199997, 101.553, -153.2016
77.500000, 101.358, -154.8452
78.800003, 101.153, -156.1089
80.000000, 100.973, -156.9965
81.199997, 100.807, -157.7163
82.500000, 100.644, -158.3861
83.800003, 100.503, -159.0953
85.000000, 100.376, -159.8048
86.199997, 100.263, -160.4962
87.500000, 100.164, -161.2970
88.500000, 100.100, -162.0428
90.000000, 99.963, -163.3664
91.199997, 99.825, -164.2221
92.500000, 99.694, -165.1632
93.800003, 99.556, -166.3587
95.000000, 99.402, -167.7269
96.199997, 99.206, -169.2723
97.500000, 98.933, -171.1189
98.800003, 98.567, -172.9693
100.000000, 98.146, -174.4974
101.500000, 97.494, -176.1547
103.000000, 96.666, -177.0885
104.400002, 95.770, -176.7549
106.000000, 94.699, -174.3413
107.500000, 93.803, -169.9464
109.000000, 93.131, -163.9822
110.599998, 92.732, -156.8846
112.000000, 92.623, -151.2163
113.800003, 92.674, -145.2148
115.000000, 92.799, -141.8114
117.199997, 93.257, -136.6625
118.000000, 93.462, -135.3326
120.599998, 93.875, -131.4330
122.000000, 94.084, -128.4477
124.099998, 94.448, -125.0213
125.000000, 94.589, -124.0241
126.500000, 94.797, -122.7944
128.000000, 94.998, -121.8118
131.500000, 95.484, -119.8656
132.000000, 95.550, -119.6056
134.000000, 95.794, -118.7401
136.000000, 96.001, -118.2279
138.000000, 96.204, -117.7592
140.000000, 96.421, -117.4089
143.000000, 96.679, -116.7432
145.000000, 96.845, -116.4169
147.500000, 97.049, -116.3751
150.000000, 97.220, -116.6098
152.500000, 97.315, -116.8130
155.000000, 97.398, -117.2982
157.500000, 97.472, -117.8766
160.000000, 97.512, -117.6064
162.500000, 97.554, -117.3296
165.000000, 97.453, -118.3906
167.500000, 97.287, -119.3417
170.000000, 97.167, -119.5774
172.500000, 97.029, -119.3372
175.000000, 96.859, -118.9935
177.500000, 96.680, -118.9696
180.000000, 96.502, -118.8413
182.500000, 96.295, -118.5461
185.000000, 96.075, -117.9322
187.500000, 95.877, -117.2908
190.000000, 95.680, -116.5632
192.500000, 95.484, -115.6298
195.000000, 95.285, -114.5854
197.500000, 95.078, -113.4754
200.000000, 94.861, -112.2618
203.000000, 94.610, -110.7490
206.000000, 94.359, -109.1748
209.000000, 94.110, -107.4849
212.000000, 93.864, -105.6717
214.000000, 93.708, -104.3667
218.000000, 93.421, -101.5787
220.000000, 93.290, -100.1823
224.000000, 93.042, -97.6034
227.000000, 92.841, -95.7635
230.000000, 92.627, -93.8967
233.000000, 92.412, -91.8879
236.000000, 92.200, -89.6509
240.000000, 91.889, -86.6007
243.000000, 91.648, -84.2462
247.000000, 91.379, -80.8433
250.000000, 91.221, -78.2561
254.000000, 91.018, -74.9903
258.000000, 90.793, -71.7003
262.000000, 90.561, -68.3383
265.000000, 90.376, -65.7021
269.000000, 90.113, -62.1699
272.000000, 89.927, -59.5346
276.000000, 89.707, -55.8793
280.000000, 89.496, -52.0827
285.000000, 89.215, -47.2254
290.000000, 88.941, -42.0692
295.000000, 88.684, -36.6132
300.000000, 88.444, -30.8880
304.000000, 88.276, -26.0694
307.000000, 88.175, -22.2321
311.000000, 88.099, -16.8165
315.000000, 88.129, -11.2031
320.000000, 88.348, -4.6471
325.000000, 88.666, 0.4791
330.000000, 88.899, 4.2530
335.000000, 88.971, 7.6194
340.000000, 88.933, 11.4169
345.000000, 88.875, 15.7876
350.000000, 88.857, 20.4295
355.000000, 88.885, 25.0375
360.000000, 88.930, 29.5321
365.000000, 88.980, 33.9265
370.000000, 89.041, 38.0658
375.000000, 89.074, 41.9221
382.000000, 89.046, 47.3335
387.000000, 88.998, 51.4198
395.000000, 88.926, 58.2186
400.000000, 88.892, 62.5750
406.000000, 88.858, 67.8384
412.000000, 88.833, 73.1462
418.000000, 88.815, 78.4070
425.000000, 88.792, 84.4951
431.000000, 88.773, 89.7576
437.000000, 88.747, 95.0634
444.000000, 88.716, 101.3585
450.000000, 88.702, 106.9002
455.000000, 88.710, 111.5544
462.000000, 88.752, 117.9804
468.000000, 88.800, 123.3560
475.000000, 88.853, 129.3206
482.000000, 88.892, 135.2837
487.000000, 88.914, 139.6381
494.000000, 88.936, 145.7278
500.000000, 88.950, 150.9476
508.000000, 88.972, 157.9960
515.000000, 88.997, 164.1992
522.000000, 89.026, 170.4127
530.000000, 89.071, 177.5279
538.000000, 89.122, -175.4022
545.000000, 89.165, -169.2675
552.000000, 89.207, -163.1464
560.000000, 89.257, -156.1126
570.000000, 89.330, -147.2606
580.000000, 89.415, -138.3333
590.000000, 89.533, -129.5159
600.000000, 89.647, -120.9537
608.000000, 89.710, -114.2306
615.000000, 89.756, -108.3549
622.000000, 89.803, -102.4366
630.000000, 89.858, -95.5943
640.000000, 89.919, -87.0193
650.000000, 89.981, -78.4568
660.000000, 90.042, -69.8571
670.000000, 90.104, -61.2982
680.000000, 90.167, -52.8218
690.000000, 90.216, -44.2624
700.000000, 90.264, -35.5995
710.000000, 90.316, -27.0660
720.000000, 90.368, -18.4876
730.000000, 90.416, -9.8773
740.000000, 90.460, -1.2740
750.000000, 90.505, 7.3405
762.000000, 90.561, 17.7122
775.000000, 90.619, 28.9891
788.000000, 90.672, 40.2430
800.000000, 90.721, 50.7201
812.000000, 90.777, 61.2542
825.000000, 90.845, 72.6399
838.000000, 90.905, 83.9881
850.000000, 90.960, 94.4136
862.000000, 91.013, 104.7921
875.000000, 91.064, 116.0025
885.000000, 91.101, 124.6487
900.000000, 91.152, 137.7520
912.000000, 91.190, 148.2621
925.000000, 91.229, 159.6367
938.000000, 91.275, 171.0190
950.000000, 91.315, -178.4626
962.000000, 91.351, -167.9475
