* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -32.0 dBFS, measurement signal peak level -10.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.4 dBFS using an acoustic timing reference
* Dated: Nov 7, 2024 12:16:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.1446 ms (-1.079 m, -(3 ft 6.5 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -1,343.3 ppm
* Measurement: Spatial ANC L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 45.491, 168.5525
1.015000, 45.735, 168.1719
1.030000, 45.980, 167.7232
1.044000, 46.211, 167.2430
1.060000, 46.474, 166.6225
1.075000, 46.722, 165.9735
1.090000, 46.969, 165.2667
1.106000, 47.234, 164.4837
1.120000, 47.470, 163.8271
1.138000, 47.783, 163.0498
1.150000, 47.996, 162.5682
1.172000, 48.396, 161.7415
1.180000, 48.544, 161.4539
1.206000, 49.035, 160.5459
1.220000, 49.304, 160.0637
1.241000, 49.713, 159.3342
1.250000, 49.889, 159.0159
1.265000, 50.186, 158.4741
1.280000, 50.484, 157.9140
1.315000, 51.183, 156.5169
1.320000, 51.283, 156.3054
1.340000, 51.683, 155.4259
1.360000, 52.081, 154.4900
1.380000, 52.476, 153.4943
1.400000, 52.866, 152.4370
1.430000, 53.442, 150.7333
1.450000, 53.817, 149.5230
1.475000, 54.278, 147.9676
1.500000, 54.734, 146.4635
1.525000, 55.188, 145.0446
1.550000, 55.641, 143.6959
1.575000, 56.091, 142.3985
1.600000, 56.539, 141.1350
1.625000, 56.984, 139.8903
1.650000, 57.425, 138.6512
1.675000, 57.863, 137.4066
1.700000, 58.296, 136.1469
1.725000, 58.724, 134.8639
1.750000, 59.148, 133.5510
1.775000, 59.566, 132.2028
1.800000, 59.978, 130.8159
1.825000, 60.383, 129.3945
1.850000, 60.783, 127.9699
1.875000, 61.177, 126.5830
1.900000, 61.566, 125.2431
1.925000, 61.950, 123.9446
1.950000, 62.329, 122.6797
1.975000, 62.704, 121.4408
2.000000, 63.073, 120.2208
2.030000, 63.511, 118.7722
2.060000, 63.942, 117.3303
2.090000, 64.366, 115.8855
2.120000, 64.784, 114.4292
2.140000, 65.059, 113.4482
2.180000, 65.600, 111.4561
2.200000, 65.867, 110.4487
2.240000, 66.391, 108.4520
2.270000, 66.776, 106.9911
2.300000, 67.154, 105.5626
2.330000, 67.525, 104.1627
2.360000, 67.891, 102.7866
2.400000, 68.368, 100.9804
2.430000, 68.719, 99.6403
2.470000, 69.179, 97.8635
2.500000, 69.518, 96.5319
2.540000, 69.962, 94.7497
2.580000, 70.397, 92.9612
2.620000, 70.822, 91.1871
2.650000, 71.134, 89.8752
2.690000, 71.541, 88.1534
2.720000, 71.840, 86.8824
2.760000, 72.231, 85.2125
2.800000, 72.614, 83.5676
2.850000, 73.080, 81.5387
2.900000, 73.536, 79.5298
2.950000, 73.980, 77.5318
3.000000, 74.411, 75.5486
3.040000, 74.747, 73.9804
3.070000, 74.993, 72.8178
3.110000, 75.315, 71.2878
3.150000, 75.630, 69.7818
3.200000, 76.014, 67.9325
3.250000, 76.388, 66.1175
3.300000, 76.754, 64.3301
3.350000, 77.110, 62.5597
3.400000, 77.455, 60.8054
3.450000, 77.790, 59.0748
3.500000, 78.115, 57.3752
3.550000, 78.432, 55.7110
3.600000, 78.742, 54.0849
3.650000, 79.044, 52.4954
3.700000, 79.339, 50.9328
3.750000, 79.626, 49.3875
3.820000, 80.013, 47.2582
3.870000, 80.282, 45.7699
3.950000, 80.698, 43.4585
4.000000, 80.951, 42.0615
4.060000, 81.247, 40.4277
4.120000, 81.535, 38.8256
4.180000, 81.813, 37.2533
4.250000, 82.129, 35.4644
4.310000, 82.392, 33.9768
4.370000, 82.650, 32.5350
4.440000, 82.945, 30.9057
4.500000, 83.190, 29.5438
4.550000, 83.390, 28.4318
4.620000, 83.664, 26.9121
4.680000, 83.894, 25.6465
4.750000, 84.158, 24.2148
4.820000, 84.416, 22.8276
4.870000, 84.598, 21.8600
4.940000, 84.847, 20.5360
5.000000, 85.057, 19.4289
5.080000, 85.333, 17.9923
5.150000, 85.570, 16.7711
5.220000, 85.804, 15.5806
5.300000, 86.066, 14.2546
5.380000, 86.323, 12.9632
5.450000, 86.545, 11.8600
5.520000, 86.764, 10.7801
5.600000, 87.010, 9.5723
