* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -10.9 dBFS, measurement signal peak level -11.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:18:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.7399 ms (-1.283 m, -(4 ft 2.5 in)) using IR start time relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,141.5 ppm
* Measurement: Treble ANC R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 34.558, 76.6371
1.015000, 34.552, 78.0022
1.030000, 34.569, 79.5414
1.044000, 34.610, 81.1283
1.060000, 34.687, 83.1044
1.075000, 34.792, 85.0942
1.090000, 34.931, 87.1925
1.106000, 35.119, 89.5319
1.120000, 35.316, 91.6647
1.138000, 35.609, 94.5063
1.150000, 35.829, 96.4411
1.172000, 36.277, 100.0104
1.180000, 36.453, 101.2992
1.206000, 37.069, 105.3774
1.220000, 37.426, 107.4657
1.241000, 37.987, 110.4024
1.250000, 38.237, 111.5779
1.265000, 38.662, 113.4140
1.280000, 39.097, 115.0870
1.315000, 40.140, 118.3251
1.320000, 40.291, 118.7106
1.340000, 40.896, 120.0624
1.360000, 41.498, 121.1175
1.380000, 42.093, 121.8896
1.400000, 42.676, 122.3955
1.430000, 43.513, 122.6962
1.450000, 44.042, 122.6262
1.475000, 44.672, 122.3380
1.500000, 45.292, 122.0171
1.525000, 45.912, 121.7230
1.550000, 46.533, 121.4307
1.575000, 47.153, 121.1135
1.600000, 47.770, 120.7515
1.625000, 48.382, 120.3302
1.650000, 48.987, 119.8394
1.675000, 49.585, 119.2719
1.700000, 50.173, 118.6229
1.725000, 50.749, 117.8893
1.750000, 51.311, 117.0691
1.775000, 51.859, 116.1615
1.800000, 52.390, 115.1675
1.825000, 52.903, 114.0969
1.850000, 53.398, 112.9912
1.875000, 53.877, 111.9021
1.900000, 54.340, 110.8427
1.925000, 54.790, 109.8083
1.950000, 55.227, 108.7918
1.975000, 55.651, 107.7867
2.000000, 56.065, 106.7864
2.030000, 56.547, 105.5845
2.060000, 57.017, 104.3723
2.090000, 57.476, 103.1414
2.120000, 57.925, 101.8845
2.140000, 58.220, 101.0288
2.180000, 58.801, 99.2693
2.200000, 59.087, 98.3683
2.240000, 59.645, 96.5586
2.270000, 60.049, 95.2158
2.300000, 60.441, 93.8908
2.330000, 60.823, 92.5840
2.360000, 61.194, 91.2942
2.400000, 61.675, 89.5975
2.430000, 62.026, 88.3387
2.470000, 62.482, 86.6727
2.500000, 62.817, 85.4277
2.540000, 63.256, 83.7672
2.580000, 63.684, 82.1008
2.620000, 64.099, 80.4334
2.650000, 64.400, 79.1893
2.690000, 64.791, 77.5465
2.720000, 65.076, 76.3302
2.760000, 65.445, 74.7327
2.800000, 65.805, 73.1648
2.850000, 66.241, 71.2464
2.900000, 66.665, 69.3706
2.950000, 67.077, 67.5247
3.000000, 67.474, 65.6910
3.040000, 67.780, 64.2353
3.070000, 68.004, 63.1548
3.110000, 68.294, 61.7342
3.150000, 68.577, 60.3411
3.200000, 68.922, 58.6442
3.250000, 69.257, 57.0007
3.300000, 69.584, 55.4074
3.350000, 69.900, 53.8460
3.400000, 70.206, 52.3055
3.450000, 70.501, 50.7918
3.500000, 70.787, 49.3129
3.550000, 71.066, 47.8761
3.600000, 71.339, 46.4872
3.650000, 71.606, 45.1486
3.700000, 71.868, 43.8532
3.750000, 72.122, 42.5890
3.820000, 72.467, 40.8671
3.870000, 72.706, 39.6742
3.950000, 73.081, 37.8364
4.000000, 73.311, 36.7353
4.060000, 73.584, 35.4619
4.120000, 73.851, 34.2345
4.180000, 74.113, 33.0463
4.250000, 74.413, 31.7036
4.310000, 74.667, 30.5861
4.370000, 74.919, 29.4972
4.440000, 75.210, 28.2642
4.500000, 75.457, 27.2410
4.550000, 75.660, 26.4087
4.620000, 75.943, 25.2669
4.680000, 76.182, 24.3036
4.750000, 76.458, 23.1916
4.820000, 76.732, 22.0938
4.870000, 76.925, 21.3213
4.940000, 77.194, 20.2543
5.000000, 77.421, 19.3495
5.080000, 77.719, 18.1507
5.150000, 77.975, 17.1046
5.220000, 78.227, 16.0619
5.300000, 78.509, 14.8785
5.380000, 78.785, 13.7074
5.450000, 79.021, 12.6938
5.520000, 79.252, 11.6884
5.600000, 79.508, 10.5449
5.700000, 79.819, 9.1312
5.800000, 80.118, 7.7513
5.900000, 80.407, 6.4118
6.000000, 80.685, 5.1017
6.080000, 80.900, 4.0782
6.150000, 81.084, 3.2074
6.220000, 81.264, 2.3638
6.300000, 81.465, 1.4304
6.400000, 81.709, 0.3025
6.500000, 81.947, -0.7813
6.600000, 82.182, -1.8167
6.700000, 82.413, -2.8038
6.800000, 82.641, -3.7503
6.900000, 82.866, -4.6654
7.000000, 83.091, -5.5530
7.100000, 83.315, -6.4121
7.200000, 83.537, -7.2510
7.300000, 83.759, -8.0820
7.400000, 83.979, -8.9090
7.500000, 84.198, -9.7300
7.620000, 84.458, -10.7137
7.750000, 84.734, -11.7887
7.880000, 85.004, -12.8720
8.000000, 85.247, -13.8720
8.120000, 85.481, -14.8711
8.250000, 85.726, -15.9523
8.380000, 85.961, -17.0153
8.500000, 86.169, -17.9717
8.620000, 86.369, -18.9054
8.750000, 86.578, -19.8775
8.850000, 86.733, -20.5901
9.000000, 86.959, -21.6055
9.120000, 87.135, -22.3681
9.250000, 87.324, -23.1397
9.380000, 87.510, -23.8597
9.500000, 87.683, -24.4847
9.620000, 87.858, -25.0737
9.750000, 88.047, -25.6765
9.880000, 88.232, -26.2545
10.000000, 88.395, -26.7712
10.150000, 88.591, -27.3997
10.300000, 88.784, -28.0228
10.440000, 88.963, -28.6032
10.600000, 89.168, -29.2706
10.750000, 89.365, -29.9048
10.900000, 89.565, -30.5473
11.060000, 89.778, -31.2435
11.200000, 89.965, -31.8614
11.380000, 90.205, -32.6684
11.500000, 90.364, -33.2142
11.720000, 90.657, -34.2304
11.800000, 90.764, -34.6052
12.060000, 91.113, -35.8378
12.200000, 91.301, -36.5086
12.410000, 91.581, -37.5170
12.500000, 91.700, -37.9471
12.650000, 91.896, -38.6590
12.800000, 92.091, -39.3604
13.150000, 92.544, -40.9414
13.200000, 92.610, -41.1607
13.400000, 92.875, -42.0242
13.600000, 93.149, -42.8786
13.800000, 93.432, -43.7386
14.000000, 93.722, -44.6290
14.300000, 94.170, -46.0591
14.500000, 94.472, -47.0977
14.750000, 94.848, -48.4981
15.000000, 95.221, -50.0029
15.250000, 95.590, -51.5901
15.500000, 95.951, -53.2352
15.750000, 96.305, -54.9236
16.000000, 96.656, -56.6537
16.250000, 97.006, -58.4432
16.500000, 97.356, -60.3170
16.750000, 97.704, -62.3030
17.000000, 98.048, -64.4200
17.250000, 98.380, -66.6698
17.500000, 98.694, -69.0409
17.750000, 98.988, -71.5076
18.000000, 99.259, -74.0413
18.250000, 99.509, -76.6168
18.500000, 99.740, -79.2177
18.750000, 99.956, -81.8401
19.000000, 100.157, -84.4890
19.250000, 100.346, -87.1752
19.500000, 100.518, -89.9062
19.750000, 100.671, -92.6823
20.000000, 100.800, -95.4923
20.299999, 100.922, -98.8772
20.600000, 101.005, -102.2286
20.900000, 101.052, -105.4955
21.200001, 101.068, -108.6385
21.400000, 101.065, -110.6552
