* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -13.3 dBFS, measurement signal peak level -8.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 9:00:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.6626 ms (-913 mm, -(2 ft 11.96 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,011.0 ppm
* Measurement: Rock Passive R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 50.403, 173.2439
1.015000, 50.440, 173.3201
1.030000, 50.480, 173.3665
1.044000, 50.522, 173.3803
1.060000, 50.575, 173.3584
1.075000, 50.628, 173.2991
1.090000, 50.687, 173.2022
1.106000, 50.755, 173.0697
1.120000, 50.819, 172.9521
1.138000, 50.910, 172.8125
1.150000, 50.974, 172.7251
1.172000, 51.101, 172.5692
1.180000, 51.150, 172.5118
1.206000, 51.317, 172.3132
1.220000, 51.412, 172.1936
1.241000, 51.561, 171.9900
1.250000, 51.626, 171.8918
1.265000, 51.738, 171.7112
1.280000, 51.853, 171.5067
1.315000, 52.129, 170.9217
1.320000, 52.169, 170.8243
1.340000, 52.332, 170.3971
1.360000, 52.497, 169.9052
1.380000, 52.664, 169.3436
1.400000, 52.831, 168.7076
1.430000, 53.081, 167.6044
1.450000, 53.246, 166.7653
1.475000, 53.452, 165.6136
1.500000, 53.661, 164.3982
1.525000, 53.875, 163.1486
1.550000, 54.093, 161.8708
1.575000, 54.316, 160.5668
1.600000, 54.541, 159.2372
1.625000, 54.770, 157.8814
1.650000, 55.001, 156.4980
1.675000, 55.233, 155.0845
1.700000, 55.467, 153.6377
1.725000, 55.701, 152.1539
1.750000, 55.935, 150.6286
1.775000, 56.168, 149.0571
1.800000, 56.400, 147.4344
1.825000, 56.631, 145.7574
1.850000, 56.861, 144.0327
1.875000, 57.092, 142.2782
1.900000, 57.324, 140.5082
1.925000, 57.557, 138.7320
1.950000, 57.791, 136.9561
1.975000, 58.025, 135.1854
2.000000, 58.259, 133.4224
2.030000, 58.539, 131.3189
2.060000, 58.819, 129.2281
2.090000, 59.098, 127.1471
2.120000, 59.375, 125.0715
2.140000, 59.558, 123.6877
2.180000, 59.922, 120.9099
2.200000, 60.102, 119.5109
2.240000, 60.462, 116.6885
2.270000, 60.730, 114.5623
2.300000, 60.998, 112.4431
2.330000, 61.265, 110.3421
2.360000, 61.531, 108.2672
2.400000, 61.881, 105.5501
2.430000, 62.141, 103.5524
2.470000, 62.483, 100.9424
2.500000, 62.736, 99.0226
2.540000, 63.067, 96.5048
2.580000, 63.390, 94.0142
2.620000, 63.709, 91.5234
2.650000, 63.944, 89.6583
2.690000, 64.254, 87.1925
2.720000, 64.482, 85.3691
2.760000, 64.782, 82.9847
2.800000, 65.075, 80.6625
2.850000, 65.432, 77.8557
2.900000, 65.779, 75.1558
2.950000, 66.114, 72.5358
3.000000, 66.437, 69.9385
3.040000, 66.689, 67.8741
3.070000, 66.873, 66.3427
3.110000, 67.113, 64.3347
3.150000, 67.346, 62.3759
3.200000, 67.629, 60.0112
3.250000, 67.902, 57.7510
3.300000, 68.166, 55.5907
3.350000, 68.420, 53.4864
3.400000, 68.663, 51.4089
3.450000, 68.896, 49.3693
3.500000, 69.120, 47.3860
3.550000, 69.336, 45.4771
3.600000, 69.545, 43.6577
3.650000, 69.747, 41.9355
3.700000, 69.943, 40.2926
3.750000, 70.130, 38.6985
3.820000, 70.379, 36.5408
3.870000, 70.549, 35.0631
3.950000, 70.812, 32.8359
4.000000, 70.973, 31.5432
4.060000, 71.162, 30.0932
4.120000, 71.345, 28.7313
4.180000, 71.521, 27.4429
4.250000, 71.723, 26.0285
4.310000, 71.894, 24.8925
4.370000, 72.066, 23.8293
4.440000, 72.268, 22.6851
4.500000, 72.441, 21.7833
4.550000, 72.584, 21.0789
4.620000, 72.786, 20.1492
4.680000, 72.960, 19.3925
4.750000, 73.167, 18.5464
4.820000, 73.379, 17.7460
4.870000, 73.532, 17.2069
4.940000, 73.748, 16.4875
5.000000, 73.935, 15.8900
5.080000, 74.186, 15.0995
5.150000, 74.407, 14.4047
5.220000, 74.629, 13.7162
5.300000, 74.885, 12.9408
5.380000, 75.140, 12.1683
5.450000, 75.361, 11.4851
5.520000, 75.579, 10.7901
5.600000, 75.825, 9.9849
5.700000, 76.128, 8.9727
5.800000, 76.424, 7.9637
5.900000, 76.710, 6.9591
6.000000, 76.986, 5.9537
6.080000, 77.200, 5.1564
6.150000, 77.384, 4.4721
6.220000, 77.563, 3.8047
6.300000, 77.764, 3.0605
6.400000, 78.006, 2.1528
6.500000, 78.243, 1.2753
6.600000, 78.475, 0.4360
6.700000, 78.704, -0.3637
6.800000, 78.929, -1.1318
6.900000, 79.152, -1.8768
7.000000, 79.374, -2.6013
7.100000, 79.596, -3.3033
7.200000, 79.818, -3.9934
7.300000, 80.038, -4.6867
7.400000, 80.259, -5.3870
7.500000, 80.479, -6.0914
7.620000, 80.740, -6.9528
7.750000, 81.018, -7.9216
7.880000, 81.290, -8.9239
8.000000, 81.534, -9.8721
8.120000, 81.768, -10.8437
8.250000, 82.010, -11.9208
8.380000, 82.240, -13.0015
8.500000, 82.440, -13.9926
8.620000, 82.628, -14.9778
8.750000, 82.821, -16.0155
8.850000, 82.960, -16.7826
9.000000, 83.156, -17.8858
9.120000, 83.305, -18.7145
9.250000, 83.460, -19.5470
