* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -23.8 dBFS, measurement signal peak level -13.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:05:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.5883 ms (-1.231 m, -(4 ft 0.5 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,464.2 ppm
* Measurement: Classical Passive R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 45.819, 20.1569
1.015000, 45.795, 20.8054
1.030000, 45.776, 21.4914
1.044000, 45.761, 22.1672
1.060000, 45.748, 22.9837
1.075000, 45.742, 23.7939
1.090000, 45.740, 24.6481
1.106000, 45.741, 25.6024
1.120000, 45.743, 26.4636
1.138000, 45.745, 27.6005
1.150000, 45.745, 28.3778
1.172000, 45.746, 29.8464
1.180000, 45.746, 30.3951
1.206000, 45.750, 32.2359
1.220000, 45.754, 33.2645
1.241000, 45.764, 34.8574
1.250000, 45.770, 35.5583
1.265000, 45.783, 36.7506
1.280000, 45.800, 37.9720
1.315000, 45.858, 40.9258
1.320000, 45.869, 41.3584
1.340000, 45.919, 43.1112
1.360000, 45.982, 44.8935
1.380000, 46.057, 46.6956
1.400000, 46.148, 48.5070
1.430000, 46.314, 51.2160
1.450000, 46.448, 52.9999
1.475000, 46.642, 55.1955
1.500000, 46.870, 57.3630
1.525000, 47.129, 59.4959
1.550000, 47.416, 61.5732
1.575000, 47.728, 63.5741
1.600000, 48.060, 65.4801
1.625000, 48.409, 67.2755
1.650000, 48.772, 68.9473
1.675000, 49.145, 70.4860
1.700000, 49.524, 71.8847
1.725000, 49.906, 73.1392
1.750000, 50.287, 74.2478
1.775000, 50.663, 75.2108
1.800000, 51.031, 76.0310
1.825000, 51.390, 76.7189
1.850000, 51.744, 77.3095
1.875000, 52.101, 77.8432
1.900000, 52.463, 78.3289
1.925000, 52.830, 78.7622
1.950000, 53.199, 79.1384
1.975000, 53.570, 79.4537
2.000000, 53.942, 79.7056
2.030000, 54.386, 79.9216
2.060000, 54.827, 80.0421
2.090000, 55.261, 80.0664
2.120000, 55.687, 79.9947
2.140000, 55.966, 79.8941
2.180000, 56.506, 79.5709
2.200000, 56.767, 79.3565
2.240000, 57.277, 78.8701
2.270000, 57.649, 78.4770
2.300000, 58.015, 78.0616
2.330000, 58.373, 77.6219
2.360000, 58.724, 77.1557
2.400000, 59.181, 76.4897
2.430000, 59.517, 75.9547
2.470000, 59.955, 75.1910
2.500000, 60.276, 74.5787
2.540000, 60.696, 73.7080
2.580000, 61.105, 72.7820
2.620000, 61.502, 71.8234
2.650000, 61.791, 71.0924
2.690000, 62.167, 70.1058
2.720000, 62.442, 69.3582
2.760000, 62.800, 68.3521
2.800000, 63.148, 67.3354
2.850000, 63.571, 66.0487
2.900000, 63.983, 64.7415
2.950000, 64.383, 63.4100
3.000000, 64.769, 62.0562
3.040000, 65.067, 60.9641
3.070000, 65.285, 60.1438
3.110000, 65.569, 59.0521
3.150000, 65.846, 57.9659
3.200000, 66.182, 56.6199
3.250000, 66.509, 55.2891
3.300000, 66.827, 53.9712
3.350000, 67.135, 52.6547
3.400000, 67.433, 51.3359
3.450000, 67.720, 50.0230
3.500000, 67.998, 48.7249
3.550000, 68.268, 47.4492
3.600000, 68.532, 46.2016
3.650000, 68.789, 44.9840
3.700000, 69.040, 43.7889
3.750000, 69.282, 42.6056
3.820000, 69.610, 40.9710
3.870000, 69.836, 39.8264
3.950000, 70.188, 38.0486
4.000000, 70.403, 36.9770
4.060000, 70.656, 35.7301
4.120000, 70.902, 34.5151
4.180000, 71.141, 33.3273
4.250000, 71.413, 31.9768
4.310000, 71.642, 30.8515
4.370000, 71.869, 29.7578
4.440000, 72.131, 28.5228
4.500000, 72.351, 27.4967
4.550000, 72.532, 26.6609
4.620000, 72.783, 25.5144
4.680000, 72.995, 24.5491
4.750000, 73.241, 23.4396
4.820000, 73.486, 22.3510
4.870000, 73.660, 21.5881
4.940000, 73.901, 20.5361
5.000000, 74.105, 19.6435
5.080000, 74.375, 18.4568
5.150000, 74.608, 17.4172
5.220000, 74.839, 16.3801
5.300000, 75.099, 15.2009
5.380000, 75.355, 14.0261
5.450000, 75.574, 12.9978
5.520000, 75.788, 11.9650
5.600000, 76.027, 10.7774
5.700000, 76.318, 9.2930
5.800000, 76.597, 7.8245
5.900000, 76.863, 6.3736
6.000000, 77.117, 4.9265
6.080000, 77.311, 3.7827
6.150000, 77.474, 2.8056
6.220000, 77.632, 1.8566
6.300000, 77.804, 0.7997
6.400000, 78.008, -0.4889
6.500000, 78.203, -1.7210
6.600000, 78.389, -2.8734
6.700000, 78.568, -3.9496
6.800000, 78.739, -4.9600
6.900000, 78.908, -5.8983
7.000000, 79.076, -6.7558
7.100000, 79.243, -7.5354
7.200000, 79.411, -8.2533
7.300000, 79.584, -8.9244
7.400000, 79.762, -9.5491
7.500000, 79.945, -10.1295
7.620000, 80.172, -10.8040
7.750000, 80.428, -11.5437
7.880000, 80.694, -12.2891
8.000000, 80.943, -13.0103
8.120000, 81.195, -13.7902
8.250000, 81.469, -14.6930
8.380000, 81.738, -15.6556
8.500000, 81.980, -16.6053
8.620000, 82.214, -17.6059
8.750000, 82.456, -18.7233
8.850000, 82.632, -19.5997
9.000000, 82.881, -20.9379
9.120000, 83.066, -21.9994
9.250000, 83.253, -23.1224
9.380000, 83.427, -24.2169
9.500000, 83.578, -25.1823
9.620000, 83.721, -26.0943
9.750000, 83.868, -27.0266
9.880000, 84.003, -27.8970
10.000000, 84.116, -28.6429
10.150000, 84.244, -29.5081
10.300000, 84.367, -30.3135
10.440000, 84.479, -31.0174
10.600000, 84.610, -31.7854
10.750000, 84.738, -32.4854
10.900000, 84.869, -33.1719
11.060000, 85.010, -33.9008
11.200000, 85.133, -34.5375
11.380000, 85.288, -35.3504
11.500000, 85.388, -35.8879
11.720000, 85.570, -36.8534
11.800000, 85.636, -37.1951
12.060000, 85.848, -38.2663
12.200000, 85.964, -38.8146
12.410000, 86.137, -39.6028
12.500000, 86.212, -39.9300
12.650000, 86.337, -40.4631
12.800000, 86.462, -40.9863
13.150000, 86.754, -42.1891
13.200000, 86.796, -42.3603
13.400000, 86.964, -43.0451
13.600000, 87.130, -43.7272
13.800000, 87.293, -44.4027
14.000000, 87.452, -45.0643
14.300000, 87.682, -46.0196
14.500000, 87.831, -46.6256
14.750000, 88.014, -47.3459
15.000000, 88.195, -48.0243
15.250000, 88.378, -48.6608
15.500000, 88.560, -49.2541
15.750000, 88.741, -49.8039
16.000000, 88.922, -50.3127
16.250000, 89.106, -50.7905
