* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -16.6 dBFS, measurement signal peak level -11.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 9:09:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.1301 ms (-1.074 m, -(3 ft 6.3 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,287.5 ppm
* Measurement: Jazz Ambient R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 38.109, -165.2105
1.015000, 38.034, -165.9004
1.030000, 37.958, -166.6212
1.044000, 37.885, -167.3236
1.060000, 37.800, -168.1634
1.075000, 37.718, -168.9892
1.090000, 37.636, -169.8552
1.106000, 37.542, -170.8287
1.120000, 37.449, -171.7296
1.138000, 37.311, -172.9624
1.150000, 37.209, -173.8341
1.172000, 37.005, -175.5430
1.180000, 36.925, -176.2018
1.206000, 36.654, -178.4913
1.220000, 36.502, -179.8233
1.241000, 36.270, 178.0394
1.250000, 36.170, 177.0699
1.265000, 36.005, 175.3801
1.280000, 35.843, 173.5945
1.315000, 35.487, 169.0423
1.320000, 35.440, 168.3471
1.340000, 35.262, 165.4536
1.360000, 35.106, 162.3829
1.380000, 34.977, 159.1434
1.400000, 34.878, 155.7496
1.430000, 34.798, 150.4165
1.450000, 34.796, 146.7415
1.475000, 34.855, 142.0730
1.500000, 34.976, 137.3744
1.525000, 35.152, 132.6844
1.550000, 35.376, 128.0419
1.575000, 35.644, 123.4900
1.600000, 35.949, 119.0732
1.625000, 36.287, 114.8341
1.650000, 36.651, 110.8103
1.675000, 37.037, 107.0318
1.700000, 37.438, 103.5201
1.725000, 37.850, 100.2879
1.750000, 38.267, 97.3395
1.775000, 38.683, 94.6727
1.800000, 39.093, 92.2797
1.825000, 39.496, 90.1500
1.850000, 39.899, 88.2702
1.875000, 40.315, 86.6166
1.900000, 40.747, 85.1555
1.925000, 41.193, 83.8562
