* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -12.6 dBFS, measurement signal peak level -7.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 7, 2024 12:01:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.9197 ms (-1.001 m, -(3 ft 3.4 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -1,377.1 ppm
* Measurement: Rock Passive L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 47.597, -177.4558
1.015000, 47.637, -177.4936
1.030000, 47.680, -177.5259
1.044000, 47.721, -177.5504
1.060000, 47.772, -177.5712
1.075000, 47.822, -177.5871
1.090000, 47.874, -177.6301
1.106000, 47.933, -177.8498
1.120000, 47.987, -178.2053
1.138000, 48.059, -178.7184
1.150000, 48.109, -179.0706
1.172000, 48.205, -179.7332
1.180000, 48.241, -179.9806
1.206000, 48.363, 179.1868
1.220000, 48.432, 178.7175
1.241000, 48.539, 177.9813
1.250000, 48.586, 177.6527
1.265000, 48.666, 177.0861
1.280000, 48.749, 176.4940
1.315000, 48.951, 175.0028
1.320000, 48.981, 174.7762
1.340000, 49.104, 173.8333
1.360000, 49.230, 172.8287
1.380000, 49.360, 171.7584
1.400000, 49.495, 170.6185
1.430000, 49.704, 168.7704
1.450000, 49.849, 167.4430
1.475000, 50.036, 165.6915
1.500000, 50.231, 163.8887
1.525000, 50.434, 162.0645
1.550000, 50.644, 160.2256
1.575000, 50.861, 158.3740
1.600000, 51.085, 156.5103
1.625000, 51.315, 154.6339
1.650000, 51.550, 152.7433
1.675000, 51.791, 150.8362
1.700000, 52.037, 148.9097
1.725000, 52.287, 146.9605
1.750000, 52.542, 144.9852
1.775000, 52.800, 142.9803
1.800000, 53.061, 140.9430
1.825000, 53.325, 138.8744
1.850000, 53.595, 136.7933
1.875000, 53.872, 134.7299
