* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -12.9 dBFS, measurement signal peak level -8.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:24:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.1445 ms (-1.079 m, -(3 ft 6.5 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,347.0 ppm
* Measurement: Rock Passive R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 41.859, -158.7355
1.015000, 41.990, -160.6654
1.030000, 42.125, -162.5958
1.044000, 42.254, -164.4016
1.060000, 42.407, -166.4748
1.075000, 42.555, -168.4323
1.090000, 42.708, -170.4079
1.106000, 42.877, -172.5388
1.120000, 43.029, -174.4215
1.138000, 43.229, -176.8587
1.150000, 43.366, -178.4888
1.172000, 43.623, 178.5231
1.180000, 43.719, 177.4394
1.206000, 44.035, 173.9397
1.220000, 44.208, 172.0748
1.241000, 44.473, 169.3110
1.250000, 44.588, 168.1404
1.265000, 44.781, 166.2098
1.280000, 44.976, 164.3062
1.315000, 45.437, 159.9756
1.320000, 45.503, 159.3700
1.340000, 45.770, 156.9805
1.360000, 46.038, 154.6432
1.380000, 46.307, 152.3567
1.400000, 46.576, 150.1191
1.430000, 46.979, 146.8485
1.450000, 47.246, 144.7213
1.475000, 47.581, 142.1196
1.500000, 47.919, 139.5885
1.525000, 48.262, 137.1353
1.550000, 48.610, 134.7627
1.575000, 48.962, 132.4705
1.600000, 49.316, 130.2566
1.625000, 49.671, 128.1178
1.650000, 50.027, 126.0496
1.675000, 50.382, 124.0469
1.700000, 50.735, 122.1044
1.725000, 51.086, 120.2164
1.750000, 51.432, 118.3773
1.775000, 51.773, 116.5815
1.800000, 52.109, 114.8237
1.825000, 52.438, 113.0999
1.850000, 52.761, 111.4109
1.875000, 53.080, 109.7617
1.900000, 53.397, 108.1548
1.925000, 53.710, 106.5909
1.950000, 54.020, 105.0693
1.975000, 54.327, 103.5890
2.000000, 54.631, 102.1486
2.030000, 54.991, 100.4701
2.060000, 55.347, 98.8430
2.090000, 55.697, 97.2637
2.120000, 56.042, 95.7281
2.140000, 56.269, 94.7267
2.180000, 56.716, 92.7725
2.200000, 56.935, 91.8180
2.240000, 57.367, 89.9543
2.270000, 57.683, 88.5969
2.300000, 57.994, 87.2737
2.330000, 58.300, 85.9840
2.360000, 58.601, 84.7264
2.400000, 58.995, 83.0974
2.430000, 59.285, 81.9096
2.470000, 59.666, 80.3682
2.500000, 59.948, 79.2416
2.540000, 60.318, 77.7762
2.580000, 60.681, 76.3507
2.620000, 61.038, 74.9658
2.650000, 61.300, 73.9534
2.690000, 61.642, 72.6364
2.720000, 61.895, 71.6716
2.760000, 62.226, 70.4137
2.800000, 62.551, 69.1859
2.850000, 62.951, 67.6892
2.900000, 63.345, 66.2309
2.950000, 63.732, 64.8103
3.000000, 64.111, 63.4330
3.040000, 64.408, 62.3615
3.070000, 64.627, 61.5735
3.110000, 64.916, 60.5411
3.150000, 65.201, 59.5264
3.200000, 65.551, 58.2785
3.250000, 65.896, 57.0489
3.300000, 66.236, 55.8356
3.350000, 66.570, 54.6450
3.400000, 66.899, 53.4817
3.450000, 67.222, 52.3415
3.500000, 67.540, 51.2189
3.550000, 67.852, 50.1084
3.600000, 68.159, 49.0049
3.650000, 68.462, 47.9052
3.700000, 68.760, 46.8111
3.750000, 69.053, 45.7285
3.820000, 69.454, 44.2337
3.870000, 69.735, 43.1783
3.950000, 70.173, 41.5041
4.000000, 70.441, 40.4622
4.060000, 70.755, 39.2132
4.120000, 71.061, 37.9669
4.180000, 71.360, 36.7283
4.250000, 71.700, 35.2980
4.310000, 71.983, 34.0873
4.370000, 72.258, 32.8904
4.440000, 72.570, 31.5040
4.500000, 72.829, 30.3188
4.550000, 73.038, 29.3371
4.620000, 73.323, 27.9810
4.680000, 73.560, 26.8429
4.750000, 73.828, 25.5476
4.820000, 74.086, 24.2780
4.870000, 74.264, 23.3802
4.940000, 74.506, 22.1411
5.000000, 74.706, 21.1040
5.080000, 74.966, 19.7695
5.150000, 75.186, 18.6500
5.220000, 75.398, 17.5648
5.300000, 75.632, 16.3605
5.380000, 75.859, 15.2014
5.450000, 76.053, 14.2311
5.520000, 76.245, 13.3048
5.600000, 76.459, 12.2943
5.700000, 76.720, 11.0912
5.800000, 76.978, 9.9457
5.900000, 77.235, 8.8563
6.000000, 77.491, 7.8251
6.080000, 77.695, 7.0303
6.150000, 77.873, 6.3463
6.220000, 78.051, 5.6673
6.300000, 78.255, 4.9000
6.400000, 78.511, 3.9569
6.500000, 78.765, 3.0172
6.600000, 79.016, 2.0637
6.700000, 79.264, 1.0952
6.800000, 79.508, 0.1184
6.900000, 79.747, -0.8653
7.000000, 79.979, -1.8600
7.100000, 80.203, -2.8680
7.200000, 80.419, -3.8762
7.300000, 80.627, -4.8693
7.400000, 80.825, -5.8469
7.500000, 81.014, -6.8121
7.620000, 81.230, -7.9315
7.750000, 81.453, -9.0712
7.880000, 81.664, -10.1418
8.000000, 81.853, -11.0630
8.120000, 82.039, -11.9066
8.250000, 82.237, -12.7400
8.380000, 82.437, -13.5094
8.500000, 82.626, -14.1694
8.620000, 82.818, -14.7864
