* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -13.1 dBFS, measurement signal peak level -7.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 9:58:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.9386 ms (-1.008 m, -(3 ft 3.7 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -1,313.7 ppm
* Measurement: Electronic Ambient L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 57.770, 73.2311
1.015000, 57.902, 74.0045
1.030000, 58.035, 74.7548
1.044000, 58.158, 75.4341
1.060000, 58.298, 76.1858
1.075000, 58.428, 76.8666
1.090000, 58.557, 77.5246
1.106000, 58.694, 78.2029
1.120000, 58.815, 78.7795
1.138000, 58.970, 79.5002
1.150000, 59.075, 79.9685
1.172000, 59.267, 80.8025
1.180000, 59.337, 81.0982
1.206000, 59.567, 82.0323
1.220000, 59.691, 82.5187
1.241000, 59.877, 83.2274
1.250000, 59.957, 83.5235
1.265000, 60.091, 84.0073
1.280000, 60.224, 84.4789
1.315000, 60.536, 85.5333
1.320000, 60.581, 85.6787
1.340000, 60.758, 86.2478
1.360000, 60.935, 86.7967
1.380000, 61.112, 87.3258
1.400000, 61.288, 87.8352
1.430000, 61.549, 88.5631
1.450000, 61.722, 89.0247
1.475000, 61.936, 89.5785
1.500000, 62.148, 90.1142
1.525000, 62.360, 90.6340
1.550000, 62.572, 91.1361
1.575000, 62.782, 91.6185
1.600000, 62.991, 92.0794
1.625000, 63.200, 92.5170
1.650000, 63.408, 92.9299
1.675000, 63.615, 93.3167
1.700000, 63.821, 93.6763
1.725000, 64.026, 94.0077
1.750000, 64.230, 94.3100
1.775000, 64.434, 94.5826
1.800000, 64.636, 94.8251
1.825000, 64.838, 95.0392
1.850000, 65.039, 95.2337
1.875000, 65.239, 95.4193
1.900000, 65.439, 95.5972
1.925000, 65.637, 95.7645
1.950000, 65.835, 95.9181
1.975000, 66.032, 96.0550
2.000000, 66.228, 96.1725
2.030000, 66.462, 96.2846
2.060000, 66.694, 96.3616
2.090000, 66.926, 96.4003
2.120000, 67.155, 96.3980
2.140000, 67.308, 96.3725
2.180000, 67.610, 96.2636
2.200000, 67.761, 96.1838
2.240000, 68.060, 96.0003
2.270000, 68.283, 95.8516
2.300000, 68.505, 95.6905
2.330000, 68.726, 95.5118
2.360000, 68.945, 95.3110
2.400000, 69.234, 95.0013
2.430000, 69.450, 94.7328
2.470000, 69.734, 94.3200
2.500000, 69.944, 93.9658
2.540000, 70.222, 93.4306
2.580000, 70.495, 92.8328
2.620000, 70.766, 92.2017
2.650000, 70.966, 91.7139
2.690000, 71.231, 91.0413
2.720000, 71.427, 90.5167
2.760000, 71.686, 89.7853
2.800000, 71.941, 89.0116
2.850000, 72.253, 87.9763
2.900000, 72.559, 86.8558
2.950000, 72.858, 85.6517
3.000000, 73.150, 84.3904
3.040000, 73.379, 83.3511
3.070000, 73.548, 82.5549
3.110000, 73.770, 81.4706
3.150000, 73.988, 80.3589
3.200000, 74.254, 78.9271
3.250000, 74.513, 77.4431
3.300000, 74.766, 75.9007
3.350000, 75.011, 74.3000
3.400000, 75.250, 72.6516
3.450000, 75.482, 70.9665
3.500000, 75.707, 69.2524
3.550000, 75.925, 67.5135
