* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -32.9 dBFS, measurement signal peak level -11.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.4 dBFS using an acoustic timing reference
* Dated: Nov 7, 2024 12:11:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.7264 ms (-935 mm, -(3 ft 0.82 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -1,001.9 ppm
* Measurement: Spatial Ambient L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 44.231, -164.6947
1.015000, 44.336, -165.4164
1.030000, 44.444, -166.2162
1.044000, 44.548, -167.0362
1.060000, 44.672, -168.0635
1.075000, 44.792, -169.1166
1.090000, 44.917, -170.2561
1.106000, 45.054, -171.5479
1.120000, 45.178, -172.7071
1.138000, 45.342, -174.2103
1.150000, 45.454, -175.2179
1.172000, 45.666, -177.0772
1.180000, 45.744, -177.7576
1.206000, 46.007, -179.9873
1.220000, 46.153, 178.7987
1.241000, 46.378, 176.9571
1.250000, 46.476, 176.1595
1.265000, 46.642, 174.8177
1.280000, 46.812, 173.4591
1.315000, 47.221, 170.2163
1.320000, 47.281, 169.7441
1.340000, 47.524, 167.8307
1.360000, 47.773, 165.8770
1.380000, 48.028, 163.8810
1.400000, 48.288, 161.8417
1.430000, 48.690, 158.7010
1.450000, 48.964, 156.5567
1.475000, 49.317, 153.8555
1.500000, 49.686, 151.2213
1.525000, 50.070, 148.6969
1.550000, 50.469, 146.2810
1.575000, 50.881, 143.9644
1.600000, 51.302, 141.7354
1.625000, 51.731, 139.5820
1.650000, 52.165, 137.4919
1.675000, 52.603, 135.4534
1.700000, 53.041, 133.4554
1.725000, 53.479, 131.4882
1.750000, 53.913, 129.5429
1.775000, 54.342, 127.6121
1.800000, 54.764, 125.6901
1.825000, 55.176, 123.7789
1.850000, 55.583, 121.9054
1.875000, 55.989, 120.1065
1.900000, 56.395, 118.3896
1.925000, 56.800, 116.7482
1.950000, 57.204, 115.1731
1.975000, 57.607, 113.6552
2.000000, 58.007, 112.1860
2.030000, 58.483, 110.4753
2.060000, 58.954, 108.8097
2.090000, 59.418, 107.1771
2.120000, 59.875, 105.5670
2.140000, 60.175, 104.5016
2.180000, 60.761, 102.3818
2.200000, 61.047, 101.3298
2.240000, 61.609, 99.2759
2.270000, 62.020, 97.7953
2.300000, 62.425, 96.3643
2.330000, 62.823, 94.9772
2.360000, 63.213, 93.6281
2.400000, 63.723, 91.8778
2.430000, 64.098, 90.5939
2.470000, 64.588, 88.9099
2.500000, 64.949, 87.6611
2.540000, 65.420, 86.0072
2.580000, 65.881, 84.3662
2.620000, 66.329, 82.7559
2.650000, 66.657, 81.5748
2.690000, 67.085, 80.0354
2.720000, 67.398, 78.9056
2.760000, 67.806, 77.4290
2.800000, 68.205, 75.9821
2.850000, 68.692, 74.2071
2.900000, 69.165, 72.4598
2.950000, 69.627, 70.7333
3.000000, 70.073, 69.0323
3.040000, 70.420, 67.6948
3.070000, 70.674, 66.7065
3.110000, 71.006, 65.4091
3.150000, 71.329, 64.1346
3.200000, 71.724, 62.5721
3.250000, 72.109, 61.0406
3.300000, 72.485, 59.5350
3.350000, 72.849, 58.0493
3.400000, 73.203, 56.5832
3.450000, 73.546, 55.1407
3.500000, 73.878, 53.7252
3.550000, 74.202, 52.3388
3.600000, 74.519, 50.9820
3.650000, 74.828, 49.6535
3.700000, 75.130, 48.3478
3.750000, 75.423, 47.0594
3.820000, 75.820, 45.2869
3.870000, 76.094, 44.0468
3.950000, 76.520, 42.1133
4.000000, 76.780, 40.9378
4.060000, 77.084, 39.5573
4.120000, 77.380, 38.2025
4.180000, 77.667, 36.8714
4.250000, 77.992, 35.3507
4.310000, 78.263, 34.0768
4.370000, 78.530, 32.8310
4.440000, 78.834, 31.4103
4.500000, 79.088, 30.2166
4.550000, 79.294, 29.2373
4.620000, 79.578, 27.8890
4.680000, 79.816, 26.7537
4.750000, 80.089, 25.4520
4.820000, 80.356, 24.1737
4.870000, 80.544, 23.2739
4.940000, 80.801, 22.0310
5.000000, 81.017, 20.9796
5.080000, 81.300, 19.5948
5.150000, 81.543, 18.3969
5.220000, 81.781, 17.2114
5.300000, 82.048, 15.8715
5.380000, 82.308, 14.5463
