* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -31.8 dBFS, measurement signal peak level -10.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 12:19:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.1696 ms (-1.087 m, -(3 ft 6.8 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,182.3 ppm
* Measurement: Spatial Ambient R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 40.241, 77.7855
1.015000, 40.453, 79.4213
1.030000, 40.669, 80.9873
1.044000, 40.875, 82.3831
1.060000, 41.114, 83.8982
1.075000, 41.342, 85.2398
1.090000, 41.573, 86.5056
1.106000, 41.826, 87.7811
1.120000, 42.055, 88.8495
1.138000, 42.364, 90.1677
1.150000, 42.578, 91.0118
1.172000, 42.985, 92.4843
1.180000, 43.137, 92.9951
1.206000, 43.646, 94.5611
1.220000, 43.928, 95.3436
1.241000, 44.359, 96.4360
1.250000, 44.546, 96.8740
1.265000, 44.861, 97.5637
1.280000, 45.179, 98.2028
1.315000, 45.924, 99.4990
1.320000, 46.031, 99.6620
1.340000, 46.456, 100.2598
1.360000, 46.878, 100.7721
1.380000, 47.295, 101.2010
1.400000, 47.704, 101.5491
1.430000, 48.300, 101.9261
1.450000, 48.682, 102.0874
1.475000, 49.144, 102.2153
1.500000, 49.597, 102.3180
1.525000, 50.043, 102.4130
1.550000, 50.485, 102.4912
1.575000, 50.921, 102.5424
1.600000, 51.353, 102.5585
1.625000, 51.779, 102.5332
1.650000, 52.199, 102.4615
1.675000, 52.614, 102.3399
1.700000, 53.024, 102.1657
1.725000, 53.428, 101.9372
1.750000, 53.826, 101.6533
1.775000, 54.219, 101.3138
1.800000, 54.605, 100.9193
1.825000, 54.986, 100.4757
1.850000, 55.361, 100.0068
1.875000, 55.729, 99.5409
1.900000, 56.090, 99.0831
1.925000, 56.446, 98.6284
1.950000, 56.795, 98.1711
1.975000, 57.139, 97.7063
2.000000, 57.478, 97.2299
2.030000, 57.877, 96.6376
2.060000, 58.270, 96.0181
2.090000, 58.657, 95.3668
2.120000, 59.037, 94.6804
2.140000, 59.288, 94.2019
2.180000, 59.784, 93.1945
2.200000, 60.028, 92.6704
2.240000, 60.508, 91.6165
2.270000, 60.860, 90.8360
2.300000, 61.206, 90.0627
2.330000, 61.546, 89.2925
2.360000, 61.879, 88.5213
2.400000, 62.315, 87.4852
2.430000, 62.637, 86.6978
2.470000, 63.058, 85.6287
2.500000, 63.368, 84.8091
2.540000, 63.777, 83.6891
2.580000, 64.178, 82.5450
2.620000, 64.570, 81.4001
2.650000, 64.858, 80.5481
2.690000, 65.235, 79.4201
2.720000, 65.513, 78.5782
2.760000, 65.876, 77.4583
2.800000, 66.232, 76.3378
2.850000, 66.668, 74.9302
2.900000, 67.094, 73.5087
2.950000, 67.512, 72.0732
3.000000, 67.918, 70.6389
3.040000, 68.236, 69.4991
3.070000, 68.470, 68.6493
3.110000, 68.776, 67.5228
3.150000, 69.076, 66.4029
3.200000, 69.444, 65.0104
3.250000, 69.804, 63.6231
3.300000, 70.157, 62.2379
3.350000, 70.501, 60.8555
3.400000, 70.837, 59.4806
3.450000, 71.164, 58.1172
3.500000, 71.483, 56.7675
3.550000, 71.795, 55.4324
3.600000, 72.101, 54.1117
3.650000, 72.400, 52.8040
3.700000, 72.693, 51.5056
3.750000, 72.979, 50.2149
3.820000, 73.368, 48.4259
3.870000, 73.638, 47.1655
3.950000, 74.058, 45.1848
4.000000, 74.314, 43.9707
4.060000, 74.615, 42.5339
4.120000, 74.907, 41.1123
4.180000, 75.192, 39.7073
4.250000, 75.514, 38.0953
4.310000, 75.784, 36.7416
4.370000, 76.048, 35.4158
4.440000, 76.348, 33.8995
4.500000, 76.599, 32.6189
