* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -23.9 dBFS, measurement signal peak level -14.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 12:09:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.4984 ms (-857 mm, -(2 ft 9.74 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,032.2 ppm
* Measurement: Classical Passive R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 33.283, 16.1520
1.015000, 33.088, 20.0206
1.030000, 32.932, 24.2786
1.044000, 32.825, 28.5708
1.060000, 32.752, 33.7768
1.075000, 32.737, 38.8435
1.090000, 32.778, 43.9634
1.106000, 32.885, 49.3470
1.120000, 33.035, 53.9108
1.138000, 33.299, 59.4814
1.150000, 33.517, 62.9649
1.172000, 33.996, 68.8022
1.180000, 34.193, 70.7399
1.206000, 34.909, 76.3572
1.220000, 35.336, 78.9679
1.241000, 36.021, 82.3852
1.250000, 36.329, 83.6804
1.265000, 36.857, 85.6329
1.280000, 37.400, 87.3486
1.315000, 38.705, 90.5551
1.320000, 38.893, 90.9329
1.340000, 39.644, 92.2703
1.360000, 40.384, 93.3560
1.380000, 41.104, 94.2216
1.400000, 41.793, 94.8942
1.430000, 42.748, 95.5907
1.450000, 43.320, 95.8767
1.475000, 43.966, 96.0849
1.500000, 44.568, 96.2059
1.525000, 45.148, 96.2719
1.550000, 45.708, 96.2842
1.575000, 46.249, 96.2417
1.600000, 46.773, 96.1436
1.625000, 47.281, 95.9901
1.650000, 47.774, 95.7815
1.675000, 48.254, 95.5186
1.700000, 48.721, 95.2022
1.725000, 49.177, 94.8335
1.750000, 49.623, 94.4134
1.775000, 50.060, 93.9431
1.800000, 50.490, 93.4241
1.825000, 50.912, 92.8613
1.850000, 51.324, 92.2714
1.875000, 51.723, 91.6756
1.900000, 52.108, 91.0800
1.925000, 52.480, 90.4839
1.950000, 52.840, 89.8857
1.975000, 53.189, 89.2839
2.000000, 53.528, 88.6771
2.030000, 53.924, 87.9405
2.060000, 54.309, 87.1927
2.090000, 54.686, 86.4318
2.120000, 55.055, 85.6560
2.140000, 55.298, 85.1297
2.180000, 55.780, 84.0547
2.200000, 56.018, 83.5079
2.240000, 56.485, 82.4112
2.270000, 56.824, 81.5942
2.300000, 57.154, 80.7831
2.330000, 57.475, 79.9770
2.360000, 57.789, 79.1752
2.400000, 58.197, 78.1110
2.430000, 58.496, 77.3153
2.470000, 58.887, 76.2557
2.500000, 59.176, 75.4606
2.540000, 59.555, 74.3987
2.580000, 59.929, 73.3367
2.620000, 60.293, 72.2833
2.650000, 60.560, 71.5015
2.690000, 60.907, 70.4696
2.720000, 61.162, 69.7029
2.760000, 61.496, 68.6887
2.800000, 61.823, 67.6826
2.850000, 62.224, 66.4336
2.900000, 62.617, 65.1919
2.950000, 63.004, 63.9592
3.000000, 63.383, 62.7447
3.040000, 63.678, 61.7878
3.070000, 63.896, 61.0773
3.110000, 64.182, 60.1379
3.150000, 64.464, 59.2054
3.200000, 64.810, 58.0465
3.250000, 65.151, 56.8917
3.300000, 65.487, 55.7408
3.350000, 65.818, 54.6017
3.400000, 66.143, 53.4797
3.450000, 66.462, 52.3714
3.500000, 66.775, 51.2715
3.550000, 67.083, 50.1750
3.600000, 67.386, 49.0774
3.650000, 67.686, 47.9759
3.700000, 67.981, 46.8748
3.750000, 68.271, 45.7814
3.820000, 68.670, 44.2642
3.870000, 68.950, 43.1857
3.950000, 69.387, 41.4593
4.000000, 69.655, 40.3743
4.060000, 69.970, 39.0648
4.120000, 70.278, 37.7534
4.180000, 70.581, 36.4449
4.250000, 70.925, 34.9230
4.310000, 71.212, 33.6214
4.370000, 71.492, 32.3197
4.440000, 71.810, 30.7950
4.500000, 72.075, 29.4821
4.550000, 72.290, 28.3881
4.620000, 72.583, 26.8647
4.680000, 72.827, 25.5714
4.750000, 73.101, 24.0784
4.820000, 73.365, 22.5914
4.870000, 73.548, 21.5281
4.940000, 73.795, 20.0460
5.000000, 73.999, 18.7923
5.080000, 74.260, 17.1587
5.150000, 74.479, 15.7651
5.220000, 74.688, 14.3883
5.300000, 74.916, 12.8341
5.380000, 75.132, 11.3203
5.450000, 75.314, 10.0442
5.520000, 75.489, 8.8161
5.600000, 75.679, 7.4539
5.700000, 75.903, 5.8096
5.800000, 76.118, 4.2533
5.900000, 76.324, 2.8019
6.000000, 76.522, 1.4401
6.080000, 76.674, 0.4077
6.150000, 76.806, -0.4529
6.220000, 76.938, -1.2714
6.300000, 77.087, -2.1548
6.400000, 77.272, -3.1894
6.500000, 77.458, -4.1638
6.600000, 77.645, -5.0905
6.700000, 77.836, -5.9676
6.800000, 78.029, -6.8020
6.900000, 78.224, -7.6153
7.000000, 78.422, -8.4207
7.100000, 78.622, -9.2140
7.200000, 78.823, -10.0004
7.300000, 79.024, -10.7924
7.400000, 79.224, -11.5957
7.500000, 79.423, -12.4061
7.620000, 79.658, -13.3854
7.750000, 79.907, -14.4570
7.880000, 80.149, -15.5390
8.000000, 80.365, -16.5347
8.120000, 80.575, -17.5201
8.250000, 80.794, -18.5774
8.380000, 81.006, -19.6135
8.500000, 81.197, -20.5438
8.620000, 81.381, -21.4513
8.750000, 81.577, -22.4074
8.850000, 81.724, -23.1222
9.000000, 81.942, -24.1638
9.120000, 82.113, -24.9755
9.250000, 82.296, -25.8361
9.380000, 82.476, -26.6791
9.500000, 82.640, -27.4450
9.620000, 82.802, -28.2020
9.750000, 82.973, -29.0113
9.880000, 83.133, -29.8074
10.000000, 83.267, -30.5308
10.150000, 83.418, -31.4165
10.300000, 83.557, -32.2732
10.440000, 83.678, -33.0449
10.600000, 83.812, -33.8889
10.750000, 83.936, -34.6388
10.900000, 84.061, -35.3515
11.060000, 84.194, -36.0734
11.200000, 84.311, -36.6760
11.380000, 84.464, -37.4256
11.500000, 84.566, -37.9146
11.720000, 84.759, -38.8050
11.800000, 84.830, -39.1314
12.060000, 85.064, -40.2082
12.200000, 85.190, -40.8020
12.410000, 85.375, -41.7054
12.500000, 85.451, -42.0942
12.650000, 85.574, -42.7412
12.800000, 85.691, -43.3784
13.150000, 85.944, -44.7904
13.200000, 85.979, -44.9803
13.400000, 86.116, -45.7062
13.600000, 86.251, -46.3775
13.800000, 86.387, -46.9972
14.000000, 86.524, -47.5766
14.300000, 86.732, -48.3948
14.500000, 86.873, -48.9244
14.750000, 87.049, -49.5822
15.000000, 87.225, -50.2398
15.250000, 87.401, -50.8927
15.500000, 87.575, -51.5296
15.750000, 87.743, -52.1395
16.000000, 87.910, -52.7146
16.250000, 88.075, -53.2551
16.500000, 88.242, -53.7678
16.750000, 88.413, -54.2652
17.000000, 88.588, -54.7622
17.250000, 88.767, -55.2713
17.500000, 88.946, -55.8010
17.750000, 89.124, -56.3536
18.000000, 89.299, -56.9255
18.250000, 89.470, -57.5097
18.500000, 89.636, -58.0976
18.750000, 89.798, -58.6821
19.000000, 89.959, -59.2588
19.250000, 90.118, -59.8268
19.500000, 90.275, -60.3881
19.750000, 90.430, -60.9447
20.000000, 90.583, -61.4973
20.299999, 90.763, -62.1525
20.600000, 90.939, -62.7926
20.900000, 91.113, -63.4128
21.200001, 91.286, -64.0163
21.400000, 91.402, -64.4162
21.799999, 91.635, -65.2389
22.000000, 91.750, -65.6733
22.400000, 91.973, -66.5949
22.700001, 92.126, -67.3076
23.000000, 92.265, -67.9929
23.299999, 92.394, -68.6034
