* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -11.6 dBFS, measurement signal peak level -11.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:17:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.3938 ms (-1.164 m, -(3 ft 9.8 in)) using IR start time relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,053.9 ppm
* Measurement: Treble Passive R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 49.848, 38.1728
1.015000, 49.861, 39.1387
1.030000, 49.878, 40.1078
1.044000, 49.897, 41.0137
1.060000, 49.923, 42.0489
1.075000, 49.952, 43.0178
1.090000, 49.986, 43.9835
1.106000, 50.027, 45.0093
1.120000, 50.066, 45.9041
1.138000, 50.122, 47.0513
1.150000, 50.162, 47.8140
1.172000, 50.241, 49.2069
1.180000, 50.272, 49.7114
1.206000, 50.378, 51.3427
1.220000, 50.438, 52.2149
1.241000, 50.535, 53.5133
1.250000, 50.578, 54.0659
1.265000, 50.652, 54.9808
1.280000, 50.728, 55.8875
1.315000, 50.917, 57.9671
1.320000, 50.945, 58.2596
1.340000, 51.060, 59.4168
1.360000, 51.178, 60.5521
1.380000, 51.301, 61.6634
1.400000, 51.426, 62.7490
1.430000, 51.621, 64.3250
1.450000, 51.754, 65.3387
1.475000, 51.926, 66.5662
1.500000, 52.107, 67.7590
1.525000, 52.297, 68.9189
1.550000, 52.496, 70.0418
1.575000, 52.703, 71.1234
1.600000, 52.916, 72.1596
1.625000, 53.135, 73.1469
1.650000, 53.358, 74.0823
1.675000, 53.584, 74.9631
1.700000, 53.812, 75.7871
1.725000, 54.042, 76.5526
1.750000, 54.272, 77.2583
1.775000, 54.500, 77.9033
1.800000, 54.727, 78.4873
1.825000, 54.951, 79.0129
1.850000, 55.174, 79.4926
1.875000, 55.398, 79.9418
1.900000, 55.624, 80.3635
1.925000, 55.852, 80.7555
1.950000, 56.081, 81.1148
1.975000, 56.311, 81.4391
2.000000, 56.541, 81.7263
2.030000, 56.818, 82.0193
2.060000, 57.093, 82.2536
2.090000, 57.367, 82.4273
2.120000, 57.639, 82.5388
2.140000, 57.819, 82.5782
2.180000, 58.174, 82.5742
2.200000, 58.349, 82.5357
2.240000, 58.696, 82.4161
2.270000, 58.955, 82.3016
2.300000, 59.212, 82.1639
2.330000, 59.467, 81.9992
2.360000, 59.720, 81.8039
2.400000, 60.055, 81.4905
2.430000, 60.304, 81.2121
2.470000, 60.632, 80.7789
2.500000, 60.876, 80.4052
2.540000, 61.196, 79.8405
2.580000, 61.513, 79.2110
2.620000, 61.825, 78.5466
2.650000, 62.056, 78.0333
2.690000, 62.361, 77.3265
2.720000, 62.587, 76.7769
2.760000, 62.886, 76.0139
2.800000, 63.180, 75.2124
2.850000, 63.542, 74.1495
2.900000, 63.899, 73.0131
2.950000, 64.249, 71.8083
3.000000, 64.594, 70.5630
3.040000, 64.865, 69.5480
3.070000, 65.066, 68.7762
3.110000, 65.331, 67.7326
3.150000, 65.592, 66.6710
3.200000, 65.913, 65.3161
3.250000, 66.228, 63.9265
3.300000, 66.538, 62.4999
3.350000, 66.843, 61.0419
3.400000, 67.142, 59.5636
3.450000, 67.435, 58.0726
3.500000, 67.722, 56.5736
3.550000, 68.004, 55.0692
3.600000, 68.281, 53.5599
3.650000, 68.553, 52.0438
3.700000, 68.819, 50.5155
3.750000, 69.080, 48.9735
3.820000, 69.436, 46.8066
3.870000, 69.684, 45.2651
3.950000, 70.070, 42.8274
4.000000, 70.304, 41.3266
4.060000, 70.579, 39.5408
4.120000, 70.847, 37.7561
4.180000, 71.107, 35.9782
4.250000, 71.401, 33.9336
4.310000, 71.647, 32.2226
4.370000, 71.886, 30.5585
4.440000, 72.157, 28.6654
4.500000, 72.381, 27.0650
4.550000, 72.564, 25.7493
4.620000, 72.812, 23.9496
4.680000, 73.019, 22.4594
4.750000, 73.256, 20.7931
4.820000, 73.486, 19.1942
4.870000, 73.646, 18.0821
4.940000, 73.864, 16.5682
5.000000, 74.047, 15.3174
5.080000, 74.287, 13.7291
5.150000, 74.494, 12.4188
5.220000, 74.698, 11.1735
5.300000, 74.926, 9.8187
5.380000, 75.151, 8.5338
5.450000, 75.348, 7.4669
5.520000, 75.544, 6.4551
5.600000, 75.769, 5.3649
5.700000, 76.048, 4.0853
5.800000, 76.328, 2.8744
5.900000, 76.610, 1.7195
6.000000, 76.893, 0.6256
6.080000, 77.120, -0.2153
6.150000, 77.318, -0.9378
6.220000, 77.516, -1.6545
6.300000, 77.741, -2.4659
6.400000, 78.022, -3.4635
6.500000, 78.299, -4.4492
6.600000, 78.570, -5.4336
6.700000, 78.836, -6.4201
6.800000, 79.095, -7.4026
6.900000, 79.348, -8.3747
7.000000, 79.592, -9.3360
7.100000, 79.827, -10.2898
7.200000, 80.055, -11.2300
7.300000, 80.274, -12.1465
7.400000, 80.487, -13.0374
7.500000, 80.691, -13.9069
7.620000, 80.929, -14.9207
7.750000, 81.179, -15.9772
7.880000, 81.421, -16.9945
8.000000, 81.639, -17.9142
8.120000, 81.854, -18.8239
8.250000, 82.082, -19.8001
8.380000, 82.304, -20.7869
8.500000, 82.504, -21.7226
8.620000, 82.698, -22.6809
8.750000, 82.898, -23.7463
8.850000, 83.043, -24.5913
9.000000, 83.246, -25.8962
9.120000, 83.392, -26.9475
9.250000, 83.531, -28.0857
9.380000, 83.651, -29.2146
9.500000, 83.745, -30.2071
9.620000, 83.823, -31.1343
9.750000, 83.889, -32.0593
9.880000, 83.935, -32.8586
10.000000, 83.959, -33.4626
10.150000, 83.973, -34.0410
10.300000, 83.989, -34.4091
10.440000, 84.012, -34.5623
10.600000, 84.066, -34.5817
10.750000, 84.156, -34.4987
10.900000, 84.286, -34.3848
11.060000, 84.466, -34.3551
11.200000, 84.656, -34.4441
11.380000, 84.927, -34.8155
11.500000, 85.119, -35.2502
11.720000, 85.474, -36.4168
11.800000, 85.599, -36.9596
12.060000, 85.972, -39.0583
12.200000, 86.143, -40.3358
12.410000, 86.356, -42.3444
12.500000, 86.430, -43.1987
12.650000, 86.532, -44.5939
12.800000, 86.612, -45.9065
13.150000, 86.739, -48.4730
13.200000, 86.755, -48.7752
13.400000, 86.820, -49.8204
13.600000, 86.900, -50.6455
13.800000, 87.004, -51.3041
14.000000, 87.134, -51.8877
14.300000, 87.370, -52.7687
14.500000, 87.543, -53.4370
14.750000, 87.758, -54.3800
15.000000, 87.962, -55.4107
15.250000, 88.147, -56.4537
15.500000, 88.312, -57.4302
15.750000, 88.461, -58.2869
16.000000, 88.604, -59.0019
16.250000, 88.751, -59.5982
16.500000, 88.907, -60.1204
16.750000, 89.072, -60.6231
17.000000, 89.244, -61.1484
17.250000, 89.415, -61.7144
17.500000, 89.580, -62.3176
17.750000, 89.735, -62.9362
18.000000, 89.880, -63.5449
18.250000, 90.017, -64.1228
18.500000, 90.151, -64.6608
18.750000, 90.285, -65.1639
19.000000, 90.423, -65.6474
19.250000, 90.568, -66.1338
19.500000, 90.716, -66.6443
19.750000, 90.868, -67.1946
20.000000, 91.018, -67.7922
20.299999, 91.195, -68.5671
20.600000, 91.362, -69.3848
20.900000, 91.519, -70.2140
21.200001, 91.666, -71.0208
21.400000, 91.760, -71.5323
21.799999, 91.944, -72.4730
22.000000, 92.037, -72.9020
22.400000, 92.229, -73.6945
22.700001, 92.379, -74.2539
23.000000, 92.536, -74.8026
23.299999, 92.696, -75.3540
23.600000, 92.859, -75.9176
24.000000, 93.079, -76.7027
24.299999, 93.244, -77.3277
24.700001, 93.457, -78.2208
25.000000, 93.609, -78.9357
25.400000, 93.795, -79.9371
25.799999, 93.962, -80.9743
26.200001, 94.106, -82.0297
26.500000, 94.197, -82.8195
26.900000, 94.295, -83.8284
27.200001, 94.349, -84.5005
27.600000, 94.406, -85.1911
28.000000, 94.471, -85.5911
28.500000, 94.616, -85.8240
29.000000, 94.856, -86.2357
29.500000, 95.138, -87.2968
30.000000, 95.362, -88.9765
30.400000, 95.460, -90.4287
30.700001, 95.493, -91.3733
31.100000, 95.513, -92.2886
31.500000, 95.546, -92.8183
32.000000, 95.641, -93.2131
32.500000, 95.777, -93.6397
33.000000, 95.906, -94.1319
33.500000, 96.014, -94.4411
34.000000, 96.141, -94.3862
34.500000, 96.340, -94.1128
35.000000, 96.626, -94.0418
35.500000, 96.957, -94.5530
36.000000, 97.266, -95.7317
36.500000, 97.501, -97.3535
37.000000, 97.649, -99.0598
37.500000, 97.737, -100.5608
38.200001, 97.842, -102.2167
38.700001, 97.936, -103.2743
39.500000, 98.093, -105.0711
40.000000, 98.174, -106.2079
40.599998, 98.257, -107.4403
41.200001, 98.344, -108.5061
41.799999, 98.445, -109.4947
42.500000, 98.570, -110.6542
43.099998, 98.672, -111.6542
43.700001, 98.764, -112.6309
44.400002, 98.864, -113.7435
45.000000, 98.939, -114.6887
45.500000, 98.993, -115.4452
46.200001, 99.069, -116.3994
46.799999, 99.155, -117.1929
47.500000, 99.277, -118.3470
48.200001, 99.373, -119.7890
48.700001, 99.412, -120.8159
