* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -10.4 dBFS, measurement signal peak level -10.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:16:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.1059 ms (-1.065 m, -(3 ft 5.9 in)) using IR start time relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,074.5 ppm
* Measurement: Treble ANC R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 42.283, -161.4621
1.015000, 42.456, -162.7166
1.030000, 42.632, -164.0324
1.044000, 42.799, -165.3185
1.060000, 42.994, -166.8600
1.075000, 43.181, -168.3770
1.090000, 43.371, -169.9630
1.106000, 43.579, -171.7136
1.120000, 43.764, -173.2616
1.138000, 44.006, -175.2460
1.150000, 44.169, -176.5607
1.172000, 44.473, -178.9501
1.180000, 44.585, -179.8117
1.206000, 44.953, 177.4151
1.220000, 45.154, 175.9385
1.241000, 45.459, 173.7435
1.250000, 45.591, 172.8093
1.265000, 45.812, 171.2597
1.280000, 46.035, 169.7179
1.315000, 46.561, 166.1402
1.320000, 46.637, 165.6304
1.340000, 46.941, 163.5910
1.360000, 47.247, 161.5486
1.380000, 47.555, 159.4990
1.400000, 47.865, 157.4384
1.430000, 48.330, 154.3196
1.450000, 48.642, 152.2204
1.475000, 49.034, 149.5966
1.500000, 49.432, 147.0407
1.525000, 49.837, 144.5867
1.550000, 50.249, 142.2344
1.575000, 50.666, 139.9767
1.600000, 51.086, 137.8035
1.625000, 51.508, 135.7042
1.650000, 51.931, 133.6673
1.675000, 52.354, 131.6819
1.700000, 52.775, 129.7369
1.725000, 53.192, 127.8226
1.750000, 53.605, 125.9297
1.775000, 54.013, 124.0497
1.800000, 54.412, 122.1757
1.825000, 54.805, 120.3063
1.850000, 55.190, 118.4588
1.875000, 55.572, 116.6607
1.900000, 55.951, 114.9210
1.925000, 56.326, 113.2383
1.950000, 56.699, 111.6085
1.975000, 57.067, 110.0269
2.000000, 57.432, 108.4882
2.030000, 57.865, 106.6908
2.060000, 58.291, 104.9378
2.090000, 58.710, 103.2199
2.120000, 59.123, 101.5282
2.140000, 59.393, 100.4108
2.180000, 59.924, 98.1920
2.200000, 60.184, 97.0900
2.240000, 60.694, 94.9182
2.270000, 61.067, 93.3298
2.300000, 61.434, 91.7792
2.330000, 61.793, 90.2659
2.360000, 62.145, 88.7881
2.400000, 62.605, 86.8687
2.430000, 62.942, 85.4633
2.470000, 63.383, 83.6282
2.500000, 63.707, 82.2761
2.540000, 64.130, 80.4981
2.580000, 64.544, 78.7420
2.620000, 64.946, 77.0083
2.650000, 65.240, 75.7266
2.690000, 65.622, 74.0475
2.720000, 65.902, 72.8124
2.760000, 66.266, 71.1996
2.800000, 66.622, 69.6260
2.850000, 67.054, 67.7122
2.900000, 67.475, 65.8529
2.950000, 67.884, 64.0363
3.000000, 68.280, 62.2464
3.040000, 68.586, 60.8350
3.070000, 68.810, 59.7916
3.110000, 69.101, 58.4245
3.150000, 69.386, 57.0880
3.200000, 69.733, 55.4641
3.250000, 70.070, 53.8944
3.300000, 70.400, 52.3756
3.350000, 70.719, 50.8914
3.400000, 71.028, 49.4325
3.450000, 71.327, 48.0033
3.500000, 71.617, 46.6104
3.550000, 71.900, 45.2597
3.600000, 72.176, 43.9557
3.650000, 72.447, 42.6999
3.700000, 72.712, 41.4855
3.750000, 72.969, 40.3015
3.820000, 73.318, 38.6918
3.870000, 73.560, 37.5789
3.950000, 73.939, 35.8688
4.000000, 74.171, 34.8470
4.060000, 74.445, 33.6678
4.120000, 74.714, 32.5331
4.180000, 74.977, 31.4365
4.250000, 75.277, 30.2006
4.310000, 75.531, 29.1756
4.370000, 75.783, 28.1809
4.440000, 76.073, 27.0605
4.500000, 76.320, 26.1350
4.550000, 76.523, 25.3845
4.620000, 76.804, 24.3575
4.680000, 77.043, 23.4925
4.750000, 77.319, 22.4954
4.820000, 77.594, 21.5149
4.870000, 77.789, 20.8278
4.940000, 78.059, 19.8804
5.000000, 78.289, 19.0753
5.080000, 78.591, 18.0023
5.150000, 78.852, 17.0598
5.220000, 79.110, 16.1187
5.300000, 79.402, 15.0481
5.380000, 79.688, 13.9792
5.450000, 79.933, 13.0413
5.520000, 80.174, 12.0978
5.600000, 80.443, 11.0138
5.700000, 80.772, 9.6581
5.800000, 81.089, 8.3094
5.900000, 81.396, 6.9677
6.000000, 81.690, 5.6267
6.080000, 81.918, 4.5617
6.150000, 82.112, 3.6431
6.220000, 82.300, 2.7399
6.300000, 82.509, 1.7226
6.400000, 82.760, 0.4689
6.500000, 83.002, -0.7521
6.600000, 83.235, -1.9270
6.700000, 83.460, -3.0601
6.800000, 83.677, -4.1560
6.900000, 83.889, -5.2076
7.000000, 84.095, -6.2095
7.100000, 84.298, -7.1660
7.200000, 84.496, -8.0824
7.300000, 84.693, -8.9609
7.400000, 84.889, -9.8011
7.500000, 85.083, -10.6061
7.620000, 85.316, -11.5380
7.750000, 85.569, -12.5173
7.880000, 85.823, -13.4658
8.000000, 86.056, -14.3273
8.120000, 86.290, -15.1865
8.250000, 86.542, -16.1136
8.380000, 86.792, -17.0416
8.500000, 87.020, -17.9048
8.620000, 87.245, -18.7721
8.750000, 87.484, -19.7108
8.850000, 87.663, -20.4312
9.000000, 87.926, -21.5070
9.120000, 88.131, -22.3533
9.250000, 88.348, -23.2496
9.380000, 88.559, -24.1239
9.500000, 88.750, -24.9039
9.620000, 88.940, -25.6539
9.750000, 89.141, -26.4349
9.880000, 89.333, -27.1830
10.000000, 89.501, -27.8439
10.150000, 89.701, -28.6359
10.300000, 89.897, -29.4011
10.440000, 90.078, -30.0950
10.600000, 90.288, -30.8777
10.750000, 90.491, -31.6118
10.900000, 90.698, -32.3500
11.060000, 90.919, -33.1509
11.200000, 91.113, -33.8629
11.380000, 91.361, -34.7905
11.500000, 91.524, -35.4151
11.720000, 91.822, -36.5603
11.800000, 91.930, -36.9735
12.060000, 92.282, -38.2954
12.200000, 92.473, -38.9872
12.410000, 92.763, -40.0001
12.500000, 92.889, -40.4264
12.650000, 93.100, -41.1289
12.800000, 93.315, -41.8311
13.150000, 93.833, -43.5098
13.200000, 93.909, -43.7595
13.400000, 94.217, -44.7912
13.600000, 94.529, -45.8857
13.800000, 94.843, -47.0477
14.000000, 95.153, -48.2734
14.300000, 95.610, -50.2128
14.500000, 95.908, -51.5564
14.750000, 96.275, -53.2775
15.000000, 96.639, -55.0396
15.250000, 97.007, -56.8511
15.500000, 97.378, -58.7350
15.750000, 97.749, -60.7179
16.000000, 98.118, -62.8264
16.250000, 98.479, -65.0768
16.500000, 98.829, -67.4702
16.750000, 99.161, -69.9965
17.000000, 99.475, -72.6338
17.250000, 99.768, -75.3579
17.500000, 100.039, -78.1459
17.750000, 100.288, -80.9802
18.000000, 100.517, -83.8514
18.250000, 100.726, -86.7559
18.500000, 100.917, -89.6938
18.750000, 101.088, -92.6643
19.000000, 101.238, -95.6636
19.250000, 101.366, -98.6803
19.500000, 101.468, -101.6977
19.750000, 101.545, -104.6955
20.000000, 101.595, -107.6494
20.299999, 101.622, -111.1056
20.600000, 101.617, -114.4359
20.900000, 101.585, -117.6196
21.200001, 101.528, -120.6452
21.400000, 101.479, -122.5723
21.799999, 101.358, -126.2104
22.000000, 101.288, -127.9222
22.400000, 101.131, -131.1351
22.700001, 101.003, -133.3670
23.000000, 100.868, -135.4560
23.299999, 100.727, -137.4124
23.600000, 100.579, -139.2444
24.000000, 100.374, -141.4962
24.299999, 100.213, -143.0352
24.700001, 99.992, -144.8728
25.000000, 99.825, -146.0886
25.400000, 99.608, -147.5137
25.799999, 99.399, -148.7618
26.200001, 99.199, -149.8810
26.500000, 99.051, -150.6478
26.900000, 98.854, -151.5651
27.200001, 98.708, -152.1647
27.600000, 98.520, -152.8481
28.000000, 98.340, -153.4265
28.500000, 98.126, -154.0491
29.000000, 97.913, -154.5510
29.500000, 97.703, -154.8602
30.000000, 97.513, -154.9673
30.400000, 97.385, -154.9877
30.700001, 97.301, -155.0193
31.100000, 97.193, -155.1091
31.500000, 97.079, -155.2159
32.000000, 96.925, -155.2388
32.500000, 96.779, -155.0319
33.000000, 96.671, -154.6472
33.500000, 96.610, -154.2666
34.000000, 96.588, -154.0557
34.500000, 96.584, -154.0880
35.000000, 96.576, -154.3575
35.500000, 96.546, -154.7980
36.000000, 96.484, -155.2898
36.500000, 96.394, -155.6964
37.000000, 96.292, -155.9352
37.500000, 96.193, -156.0146
38.200001, 96.072, -155.9672
38.700001, 95.997, -155.8671
39.500000, 95.894, -155.6025
40.000000, 95.845, -155.4005
40.599998, 95.799, -155.1693
41.200001, 95.761, -154.9611
41.799999, 95.728, -154.7632
42.500000, 95.696, -154.5511
43.099998, 95.674, -154.4000
43.700001, 95.650, -154.2640
44.400002, 95.620, -154.0757
45.000000, 95.600, -153.8636
45.500000, 95.593, -153.6693
46.200001, 95.599, -153.4485
46.799999, 95.608, -153.3554
47.500000, 95.610, -153.3123
48.200001, 95.601, -153.2262
48.700001, 95.596, -153.1186
49.400002, 95.598, -152.9622
50.000000, 95.602, -152.8661
50.799999, 95.599, -152.7490
51.500000, 95.595, -152.6052
52.200001, 95.598, -152.4737
