* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -31.9 dBFS, measurement signal peak level -9.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:14:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.7959 ms (-959 mm, -(3 ft 1.76 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,030.5 ppm
* Measurement: Spatial Ambient R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 41.887, 174.9526
1.015000, 41.993, 174.8315
1.030000, 42.104, 174.7417
1.044000, 42.213, 174.6884
1.060000, 42.344, 174.6657
1.075000, 42.473, 174.6740
1.090000, 42.609, 174.6365
1.106000, 42.760, 174.2025
1.120000, 42.901, 173.4596
1.138000, 43.093, 172.4174
1.150000, 43.228, 171.7280
1.172000, 43.488, 170.4841
1.180000, 43.586, 170.0359
1.206000, 43.920, 168.5819
1.220000, 44.107, 167.7938
1.241000, 44.397, 166.5945
1.250000, 44.525, 166.0717
1.265000, 44.741, 165.1852
1.280000, 44.962, 164.2767
1.315000, 45.492, 162.0531
1.320000, 45.569, 161.7220
1.340000, 45.879, 160.3602
1.360000, 46.193, 158.9352
1.380000, 46.510, 157.4430
1.400000, 46.827, 155.8806
1.430000, 47.304, 153.4020
1.450000, 47.620, 151.6626
1.475000, 48.015, 149.4326
1.500000, 48.419, 147.2475
1.525000, 48.833, 145.1549
1.550000, 49.257, 143.1507
1.575000, 49.688, 141.2230
1.600000, 50.125, 139.3586
1.625000, 50.567, 137.5442
1.650000, 51.011, 135.7672
1.675000, 51.456, 134.0160
1.700000, 51.899, 132.2797
1.725000, 52.341, 130.5489
1.750000, 52.778, 128.8152
1.775000, 53.209, 127.0714
1.800000, 53.632, 125.3123
1.825000, 54.047, 123.5401
1.850000, 54.455, 121.7831
1.875000, 54.860, 120.0806
1.900000, 55.263, 118.4430
1.925000, 55.663, 116.8661
1.950000, 56.061, 115.3432
1.975000, 56.455, 113.8671
2.000000, 56.847, 112.4304
2.030000, 57.311, 110.7486
2.060000, 57.769, 109.1020
2.090000, 58.220, 107.4799
2.120000, 58.663, 105.8724
2.140000, 58.955, 104.8045
2.180000, 59.525, 102.6697
2.200000, 59.805, 101.6045
2.240000, 60.352, 99.5091
2.270000, 60.754, 97.9853
2.300000, 61.148, 96.5037
2.330000, 61.534, 95.0614
2.360000, 61.914, 93.6547
2.400000, 62.410, 91.8268
2.430000, 62.774, 90.4859
2.470000, 63.249, 88.7292
2.500000, 63.599, 87.4293
2.540000, 64.057, 85.7118
2.580000, 64.504, 84.0101
2.620000, 64.939, 82.3352
2.650000, 65.257, 81.1025
2.690000, 65.672, 79.4923
2.720000, 65.975, 78.3097
2.760000, 66.371, 76.7652
2.800000, 66.758, 75.2551
2.850000, 67.229, 73.4107
2.900000, 67.689, 71.6070
2.950000, 68.136, 69.8360
3.000000, 68.570, 68.0954
3.040000, 68.907, 66.7280
3.070000, 69.154, 65.7184
3.110000, 69.476, 64.3949
3.150000, 69.791, 63.0976
3.200000, 70.175, 61.5127
3.250000, 70.550, 59.9669
3.300000, 70.917, 58.4565
3.350000, 71.275, 56.9748
3.400000, 71.622, 55.5191
3.450000, 71.959, 54.0916
3.500000, 72.287, 52.6945
3.550000, 72.607, 51.3287
3.600000, 72.921, 49.9948
3.650000, 73.229, 48.6917
3.700000, 73.530, 47.4156
3.750000, 73.824, 46.1628
3.820000, 74.223, 44.4466
3.870000, 74.501, 43.2484
3.950000, 74.933, 41.3792
4.000000, 75.198, 40.2403
4.060000, 75.509, 38.9013
4.120000, 75.813, 37.5889
4.180000, 76.109, 36.3019
4.250000, 76.447, 34.8313
4.310000, 76.729, 33.5962
4.370000, 77.006, 32.3832
4.440000, 77.323, 30.9933
4.500000, 77.588, 29.8217
4.550000, 77.804, 28.8591
4.620000, 78.101, 27.5324
4.680000, 78.350, 26.4144
4.750000, 78.634, 25.1307
4.820000, 78.911, 23.8657
4.870000, 79.106, 22.9724
4.940000, 79.371, 21.7373
5.000000, 79.594, 20.6948
5.080000, 79.884, 19.3295
5.150000, 80.132, 18.1564
5.220000, 80.373, 16.9985
5.300000, 80.641, 15.6939
5.380000, 80.901, 14.4145
5.450000, 81.123, 13.3193
5.520000, 81.340, 12.2463
5.600000, 81.582, 11.0409
5.700000, 81.874, 9.5657
5.800000, 82.157, 8.1337
5.900000, 82.431, 6.7490
6.000000, 82.698, 5.4038
6.080000, 82.905, 4.3545
6.150000, 83.083, 3.4573
6.220000, 83.259, 2.5806
6.300000, 83.456, 1.6027
6.400000, 83.697, 0.4119
6.500000, 83.933, -0.7472
6.600000, 84.166, -1.8770
6.700000, 84.395, -2.9785
6.800000, 84.620, -4.0547
6.900000, 84.841, -5.1110
7.000000, 85.059, -6.1511
7.100000, 85.274, -7.1753
7.200000, 85.485, -8.1849
7.300000, 85.692, -9.1825
7.400000, 85.896, -10.1707
7.500000, 86.095, -11.1495
7.620000, 86.328, -12.3081
7.750000, 86.573, -13.5426
7.880000, 86.810, -14.7582
8.000000, 87.022, -15.8555
8.120000, 87.227, -16.9238
8.250000, 87.441, -18.0514
8.380000, 87.649, -19.1401
8.500000, 87.835, -20.1049
8.620000, 88.017, -21.0340
8.750000, 88.209, -21.9983
8.850000, 88.355, -22.7081
9.000000, 88.571, -23.7245
9.120000, 88.743, -24.5008
9.250000, 88.928, -25.3067
9.380000, 89.113, -26.0800
9.500000, 89.285, -26.7728
9.620000, 89.458, -27.4492
9.750000, 89.644, -28.1659
9.880000, 89.823, -28.8740
