* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Gizaudio Chopin (R) 1, Gizaudio Chopin (R) 2, Gizaudio Chopin (R) 3
* Dated: Aug 8, 2024 8:15:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Gizaudio Chopin (R) 1, Gizaudio Chopin (R) 2, Gizaudio Chopin (R) 3
* Measurement: Gizaudio Chopin R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB)
2.200000, 83.143
2.240000, 83.405
2.270000, 83.643
2.300000, 83.879
2.330000, 84.109
2.360000, 84.333
2.400000, 84.625
2.430000, 84.838
2.470000, 85.115
2.500000, 85.318
2.540000, 85.583
2.580000, 85.841
2.620000, 86.091
2.650000, 86.274
2.690000, 86.510
2.720000, 86.683
2.760000, 86.907
2.800000, 87.125
2.850000, 87.390
2.900000, 87.647
2.950000, 87.896
3.000000, 88.136
3.040000, 88.322
3.070000, 88.458
3.110000, 88.635
3.150000, 88.808
3.200000, 89.019
3.250000, 89.224
3.300000, 89.423
3.350000, 89.618
3.400000, 89.806
3.450000, 89.990
3.500000, 90.168
3.550000, 90.343
3.600000, 90.514
3.650000, 90.682
3.700000, 90.846
3.750000, 91.008
3.820000, 91.229
3.870000, 91.383
3.950000, 91.625
4.000000, 91.774
4.060000, 91.950
4.120000, 92.123
4.180000, 92.294
4.250000, 92.490
4.310000, 92.655
4.370000, 92.818
4.440000, 93.005
4.500000, 93.163
4.550000, 93.293
4.620000, 93.473
4.680000, 93.624
4.750000, 93.797
4.820000, 93.967
4.870000, 94.087
4.940000, 94.251
5.000000, 94.389
5.080000, 94.568
5.150000, 94.721
5.220000, 94.871
5.300000, 95.037
5.380000, 95.199
5.450000, 95.336
5.520000, 95.470
5.600000, 95.619
5.700000, 95.799
5.800000, 95.973
5.900000, 96.141
6.000000, 96.304
6.080000, 96.431
6.150000, 96.539
6.220000, 96.647
6.300000, 96.767
6.400000, 96.915
6.500000, 97.059
6.600000, 97.202
6.700000, 97.343
6.800000, 97.481
6.900000, 97.618
7.000000, 97.753
7.100000, 97.886
7.200000, 98.017
7.300000, 98.146
7.400000, 98.272
7.500000, 98.395
7.620000, 98.539
7.750000, 98.691
7.880000, 98.837
8.000000, 98.967
8.120000, 99.093
8.250000, 99.223
8.380000, 99.350
8.500000, 99.462
8.620000, 99.571
8.750000, 99.686
8.850000, 99.772
9.000000, 99.899
9.120000, 99.999
9.250000, 100.106
9.380000, 100.211
9.500000, 100.307
9.620000, 100.402
9.750000, 100.504
9.880000, 100.605
10.000000, 100.697
10.150000, 100.809
10.300000, 100.918
10.440000, 101.017
10.600000, 101.127
10.750000, 101.226
10.900000, 101.321
11.060000, 101.418
11.200000, 101.499
11.380000, 101.600
11.500000, 101.665
11.720000, 101.781
11.800000, 101.823
12.060000, 101.955
12.200000, 102.025
12.410000, 102.129
12.500000, 102.173
12.650000, 102.246
12.800000, 102.319
13.150000, 102.483
13.200000, 102.506
13.400000, 102.595
13.600000, 102.681
13.800000, 102.763
14.000000, 102.841
14.300000, 102.953
14.500000, 103.025
