* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Gizaudio DaVinci (R) 1, Gizaudio DaVinci (R) 2, Gizaudio DaVinci (R) 3
* Dated: Aug 8, 2024 7:29:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Gizaudio DaVinci (R) 1, Gizaudio DaVinci (R) 2, Gizaudio DaVinci (R) 3
* Measurement: Gizaudio DaVinci S&S R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB)
136.000000, 101.781
138.000000, 101.673
140.000000, 101.564
143.000000, 101.396
145.000000, 101.282
147.500000, 101.141
150.000000, 101.014
152.500000, 100.915
155.000000, 100.850
157.500000, 100.805
160.000000, 100.756
162.500000, 100.689
165.000000, 100.604
167.500000, 100.509
170.000000, 100.410
172.500000, 100.311
175.000000, 100.212
177.500000, 100.117
180.000000, 100.026
182.500000, 99.938
185.000000, 99.854
187.500000, 99.773
190.000000, 99.694
192.500000, 99.617
195.000000, 99.543
197.500000, 99.472
200.000000, 99.403
203.000000, 99.323
206.000000, 99.247
209.000000, 99.174
212.000000, 99.104
214.000000, 99.059
218.000000, 98.975
220.000000, 98.935
224.000000, 98.859
227.000000, 98.805
230.000000, 98.756
233.000000, 98.709
236.000000, 98.665
240.000000, 98.611
243.000000, 98.573
247.000000, 98.527
250.000000, 98.495
254.000000, 98.456
258.000000, 98.421
262.000000, 98.390
265.000000, 98.368
269.000000, 98.342
272.000000, 98.324
276.000000, 98.303
280.000000, 98.285
285.000000, 98.265
290.000000, 98.249
295.000000, 98.235
300.000000, 98.225
304.000000, 98.218
307.000000, 98.214
311.000000, 98.209
315.000000, 98.205
320.000000, 98.201
325.000000, 98.199
330.000000, 98.198
335.000000, 98.198
340.000000, 98.198
345.000000, 98.199
350.000000, 98.201
355.000000, 98.203
360.000000, 98.205
365.000000, 98.207
370.000000, 98.209
375.000000, 98.211
382.000000, 98.214
387.000000, 98.216
395.000000, 98.218
400.000000, 98.219
406.000000, 98.219
412.000000, 98.220
418.000000, 98.219
425.000000, 98.219
431.000000, 98.218
437.000000, 98.216
444.000000, 98.214
450.000000, 98.212
455.000000, 98.211
462.000000, 98.208
468.000000, 98.204
475.000000, 98.200
482.000000, 98.194
487.000000, 98.189
494.000000, 98.181
500.000000, 98.173
508.000000, 98.160
515.000000, 98.148
522.000000, 98.134
530.000000, 98.117
538.000000, 98.099
545.000000, 98.083
552.000000, 98.067
560.000000, 98.048
570.000000, 98.024
580.000000, 98.000
590.000000, 97.975
600.000000, 97.950
608.000000, 97.928
615.000000, 97.909
622.000000, 97.889
630.000000, 97.865
640.000000, 97.834
650.000000, 97.803
660.000000, 97.772
670.000000, 97.742
680.000000, 97.713
690.000000, 97.685
700.000000, 97.658
710.000000, 97.632
720.000000, 97.607
730.000000, 97.583
740.000000, 97.562
750.000000, 97.541
762.000000, 97.519
775.000000, 97.499
788.000000, 97.482
800.000000, 97.469
812.000000, 97.460
825.000000, 97.453
838.000000, 97.451
850.000000, 97.454
862.000000, 97.461
875.000000, 97.473
885.000000, 97.486
900.000000, 97.512
912.000000, 97.537
925.000000, 97.571
938.000000, 97.609
950.000000, 97.650
962.000000, 97.696
975.000000, 97.752
988.000000, 97.813
1000.000000, 97.875
1015.000000, 97.958
1030.000000, 98.049
1044.000000, 98.139
1060.000000, 98.249
1075.000000, 98.356
1090.000000, 98.465
1106.000000, 98.583
1120.000000, 98.685
1138.000000, 98.812
1150.000000, 98.894
1172.000000, 99.035
1180.000000, 99.083
1206.000000, 99.227
1220.000000, 99.298
1241.000000, 99.397
1250.000000, 99.436
1265.000000, 99.499
1280.000000, 99.559
1315.000000, 99.690
1320.000000, 99.708
1340.000000, 99.777
1360.000000, 99.845
1380.000000, 99.911
1400.000000, 99.977
1430.000000, 100.075
1450.000000, 100.142
1475.000000, 100.226
1500.000000, 100.313
1525.000000, 100.403
1550.000000, 100.496
1575.000000, 100.594
1600.000000, 100.696
1625.000000, 100.802
1650.000000, 100.913
1675.000000, 101.029
1700.000000, 101.150
1725.000000, 101.275
1750.000000, 101.405
1775.000000, 101.540
