* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Aful MagicOne, L Aful MagicOne, L Aful MagicOne
* Dated: Aug 8, 2024 7:43:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of L Aful MagicOne, L Aful MagicOne, L Aful MagicOne
* Measurement: AFUL MagicOne L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB)
2.200000, 85.141
2.240000, 85.266
2.270000, 85.378
2.300000, 85.488
2.330000, 85.594
2.360000, 85.696
2.400000, 85.827
2.430000, 85.922
2.470000, 86.043
2.500000, 86.132
2.540000, 86.246
2.580000, 86.356
2.620000, 86.461
2.650000, 86.536
2.690000, 86.632
2.720000, 86.701
2.760000, 86.790
2.800000, 86.875
2.850000, 86.977
2.900000, 87.075
2.950000, 87.169
3.000000, 87.259
3.040000, 87.327
3.070000, 87.377
3.110000, 87.441
3.150000, 87.503
3.200000, 87.578
3.250000, 87.651
3.300000, 87.722
3.350000, 87.792
3.400000, 87.860
3.450000, 87.925
3.500000, 87.990
3.550000, 88.053
3.600000, 88.115
3.650000, 88.177
3.700000, 88.239
3.750000, 88.300
3.820000, 88.385
3.870000, 88.445
3.950000, 88.539
4.000000, 88.598
4.060000, 88.668
4.120000, 88.738
4.180000, 88.806
4.250000, 88.886
4.310000, 88.953
4.370000, 89.019
4.440000, 89.094
4.500000, 89.157
4.550000, 89.209
4.620000, 89.280
4.680000, 89.339
4.750000, 89.405
4.820000, 89.470
4.870000, 89.514
4.940000, 89.574
5.000000, 89.624
5.080000, 89.689
5.150000, 89.742
5.220000, 89.794
5.300000, 89.850
5.380000, 89.905
5.450000, 89.951
5.520000, 89.995
5.600000, 90.044
5.700000, 90.104
5.800000, 90.162
5.900000, 90.219
6.000000, 90.275
6.080000, 90.320
6.150000, 90.359
6.220000, 90.398
6.300000, 90.442
6.400000, 90.497
6.500000, 90.552
6.600000, 90.607
6.700000, 90.662
6.800000, 90.716
6.900000, 90.769
7.000000, 90.821
7.100000, 90.871
7.200000, 90.920
7.300000, 90.968
7.400000, 91.013
7.500000, 91.057
7.620000, 91.106
7.750000, 91.157
7.880000, 91.204
8.000000, 91.245
8.120000, 91.283
8.250000, 91.322
8.380000, 91.359
8.500000, 91.392
8.620000, 91.423
8.750000, 91.457
8.850000, 91.482
9.000000, 91.520
9.120000, 91.551
9.250000, 91.585
9.380000, 91.620
9.500000, 91.652
9.620000, 91.685
9.750000, 91.720
9.880000, 91.754
10.000000, 91.785
10.150000, 91.822
10.300000, 91.855
10.440000, 91.882
10.600000, 91.908
10.750000, 91.927
10.900000, 91.942
11.060000, 91.953
11.200000, 91.960
11.380000, 91.968
11.500000, 91.974
11.720000, 91.991
11.800000, 92.000
12.060000, 92.047
12.200000, 92.084
12.410000, 92.155
12.500000, 92.191
12.650000, 92.257
12.800000, 92.329
13.150000, 92.500
13.200000, 92.524
13.400000, 92.611
13.600000, 92.683
13.800000, 92.737
14.000000, 92.771
14.300000, 92.787
14.500000, 92.780
14.750000, 92.760
15.000000, 92.736
15.250000, 92.717
15.500000, 92.708
