* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Mega5-EST, L Mega5-EST, L Mega5-EST
* Dated: Aug 8, 2024 9:43:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of L Mega5-EST, L Mega5-EST, L Mega5-EST
* Measurement: Hisenior Mega5-EST L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB)
2.200000, 84.027
2.240000, 84.266
2.270000, 84.484
2.300000, 84.698
2.330000, 84.908
2.360000, 85.112
2.400000, 85.376
2.430000, 85.570
2.470000, 85.820
2.500000, 86.004
2.540000, 86.243
2.580000, 86.474
2.620000, 86.698
2.650000, 86.861
2.690000, 87.072
2.720000, 87.225
2.760000, 87.424
2.800000, 87.616
2.850000, 87.849
2.900000, 88.074
2.950000, 88.291
3.000000, 88.499
3.040000, 88.660
3.070000, 88.776
3.110000, 88.928
3.150000, 89.075
3.200000, 89.254
3.250000, 89.428
3.300000, 89.596
3.350000, 89.759
3.400000, 89.917
3.450000, 90.069
3.500000, 90.217
3.550000, 90.361
3.600000, 90.502
3.650000, 90.641
3.700000, 90.776
3.750000, 90.909
3.820000, 91.091
3.870000, 91.218
3.950000, 91.418
4.000000, 91.541
4.060000, 91.687
4.120000, 91.831
4.180000, 91.974
4.250000, 92.139
4.310000, 92.278
4.370000, 92.416
4.440000, 92.576
4.500000, 92.712
4.550000, 92.824
4.620000, 92.979
4.680000, 93.110
4.750000, 93.261
4.820000, 93.409
4.870000, 93.513
4.940000, 93.657
5.000000, 93.778
5.080000, 93.936
5.150000, 94.070
5.220000, 94.201
5.300000, 94.347
5.380000, 94.488
5.450000, 94.607
5.520000, 94.724
5.600000, 94.852
5.700000, 95.007
5.800000, 95.156
5.900000, 95.299
6.000000, 95.436
6.080000, 95.543
6.150000, 95.634
6.220000, 95.723
6.300000, 95.823
6.400000, 95.944
6.500000, 96.063
6.600000, 96.179
6.700000, 96.293
6.800000, 96.404
6.900000, 96.513
7.000000, 96.620
7.100000, 96.725
7.200000, 96.827
7.300000, 96.926
7.400000, 97.023
7.500000, 97.117
7.620000, 97.225
7.750000, 97.338
7.880000, 97.446
8.000000, 97.541
8.120000, 97.633
8.250000, 97.728
8.380000, 97.820
8.500000, 97.903
8.620000, 97.984
8.750000, 98.070
8.850000, 98.135
9.000000, 98.232
9.120000, 98.309
9.250000, 98.392
9.380000, 98.475
9.500000, 98.550
9.620000, 98.623
9.750000, 98.702
9.880000, 98.778
10.000000, 98.845
10.150000, 98.927
10.300000, 99.004
10.440000, 99.072
10.600000, 99.145
10.750000, 99.210
10.900000, 99.272
11.060000, 99.335
11.200000, 99.389
11.380000, 99.458
11.500000, 99.503
11.720000, 99.588
11.800000, 99.619
12.060000, 99.720
12.200000, 99.774
12.410000, 99.854
12.500000, 99.887
12.650000, 99.939
12.800000, 99.989
13.150000, 100.087
13.200000, 100.099
13.400000, 100.143
13.600000, 100.179
13.800000, 100.209
14.000000, 100.234
14.300000, 100.270
14.500000, 100.295
14.750000, 100.329
15.000000, 100.368
15.250000, 100.412
15.500000, 100.459
