* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Dusk Analog (L) 1, Dusk Analog (L) 2, Dusk Analog (L) 3
* Dated: Aug 8, 2024 9:10:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Dusk Analog (L) 1, Dusk Analog (L) 2, Dusk Analog (L) 3
* Measurement: Moondrop Dusk Analog L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB)
140.000000, 95.501
143.000000, 95.418
145.000000, 95.367
147.500000, 95.308
150.000000, 95.246
152.500000, 95.183
155.000000, 95.123
157.500000, 95.066
160.000000, 95.013
162.500000, 94.964
165.000000, 94.919
167.500000, 94.874
170.000000, 94.831
172.500000, 94.789
175.000000, 94.748
177.500000, 94.708
180.000000, 94.670
182.500000, 94.632
185.000000, 94.595
187.500000, 94.559
190.000000, 94.523
192.500000, 94.489
195.000000, 94.456
197.500000, 94.426
200.000000, 94.400
203.000000, 94.377
206.000000, 94.363
209.000000, 94.362
212.000000, 94.371
214.000000, 94.381
218.000000, 94.406
220.000000, 94.418
224.000000, 94.435
227.000000, 94.440
230.000000, 94.439
233.000000, 94.433
236.000000, 94.425
240.000000, 94.411
243.000000, 94.399
247.000000, 94.383
250.000000, 94.370
254.000000, 94.354
258.000000, 94.340
262.000000, 94.327
265.000000, 94.317
269.000000, 94.306
272.000000, 94.299
276.000000, 94.290
280.000000, 94.282
285.000000, 94.273
290.000000, 94.266
295.000000, 94.259
300.000000, 94.254
304.000000, 94.251
307.000000, 94.249
311.000000, 94.247
315.000000, 94.245
320.000000, 94.243
325.000000, 94.241
330.000000, 94.239
335.000000, 94.238
340.000000, 94.238
345.000000, 94.238
350.000000, 94.239
355.000000, 94.239
360.000000, 94.240
365.000000, 94.241
370.000000, 94.242
375.000000, 94.243
382.000000, 94.245
387.000000, 94.246
395.000000, 94.248
400.000000, 94.249
406.000000, 94.250
412.000000, 94.251
418.000000, 94.252
425.000000, 94.254
431.000000, 94.255
437.000000, 94.255
444.000000, 94.256
450.000000, 94.258
455.000000, 94.259
462.000000, 94.261
468.000000, 94.262
475.000000, 94.265
482.000000, 94.267
487.000000, 94.269
494.000000, 94.272
500.000000, 94.273
508.000000, 94.275
515.000000, 94.277
522.000000, 94.277
530.000000, 94.278
538.000000, 94.279
545.000000, 94.279
552.000000, 94.280
560.000000, 94.281
570.000000, 94.281
580.000000, 94.282
590.000000, 94.283
600.000000, 94.285
608.000000, 94.286
615.000000, 94.288
622.000000, 94.289
630.000000, 94.291
640.000000, 94.294
650.000000, 94.298
660.000000, 94.302
670.000000, 94.308
680.000000, 94.314
690.000000, 94.321
700.000000, 94.329
710.000000, 94.338
720.000000, 94.348
730.000000, 94.360
740.000000, 94.372
750.000000, 94.386
762.000000, 94.404
775.000000, 94.425
788.000000, 94.450
800.000000, 94.475
812.000000, 94.503
825.000000, 94.536
838.000000, 94.572
850.000000, 94.609
862.000000, 94.649
875.000000, 94.696
885.000000, 94.734
900.000000, 94.797
912.000000, 94.851
925.000000, 94.913
938.000000, 94.979
950.000000, 95.044
962.000000, 95.111
975.000000, 95.188
988.000000, 95.267
1000.000000, 95.343
1015.000000, 95.441
1030.000000, 95.541
1044.000000, 95.637
1060.000000, 95.748
1075.000000, 95.853
1090.000000, 95.958
1106.000000, 96.070
1120.000000, 96.166
1138.000000, 96.287
1150.000000, 96.367
1172.000000, 96.508
1180.000000, 96.557
1206.000000, 96.712
1220.000000, 96.791
1241.000000, 96.903
1250.000000, 96.949
1265.000000, 97.023
1280.000000, 97.094
1315.000000, 97.247
1320.000000, 97.267
1340.000000, 97.348
1360.000000, 97.427
1380.000000, 97.505
1400.000000, 97.581
1430.000000, 97.690
1450.000000, 97.757
1475.000000, 97.833
1500.000000, 97.901
1525.000000, 97.963
1550.000000, 98.022
1575.000000, 98.078
1600.000000, 98.133
1625.000000, 98.186
1650.000000, 98.240
1675.000000, 98.294
1700.000000, 98.347
1725.000000, 98.402
1750.000000, 98.457
1775.000000, 98.514
1800.000000, 98.573
1825.000000, 98.633
1850.000000, 98.695
1875.000000, 98.757
1900.000000, 98.819
1925.000000, 98.880
1950.000000, 98.941
1975.000000, 99.001
2000.000000, 99.061
2030.000000, 99.133
2060.000000, 99.204
2090.000000, 99.275
2120.000000, 99.348
2140.000000, 99.397
2180.000000, 99.500
2200.000000, 99.555
2240.000000, 99.672
2270.000000, 99.767
2300.000000, 99.870
2330.000000, 99.976
2360.000000, 100.084
2400.000000, 100.221
2430.000000, 100.314
2470.000000, 100.419
2500.000000, 100.483
2540.000000, 100.552
2580.000000, 100.603
