f [Hz],USOUND1V1 (Flat bass)
10,1.052149389
10.15348872,1.052149389
10.30933332,1.052149389
10.46756995,1.052149389
10.62823534,1.052149389
10.79136676,1.052149389
10.95700207,1.052149389
11.12517969,1.052149389
11.29593864,1.052149389
11.46931856,1.052149389
11.64535966,1.052149389
11.82410279,1.052149389
12.00558943,1.052149389
12.18986168,1.052149389
12.37696231,1.052149389
12.56693471,1.052149389
12.75982298,1.052149389
12.95567187,1.052149389
13.15452682,1.052149389
13.35643396,1.052149389
13.56144016,1.052149389
13.76959296,1.052149389
13.98094068,1.052149389
14.19553235,1.052149389
14.41341775,1.052149389
14.63464745,1.052149389
14.85927278,1.052149389
15.08734585,1.052149389
15.31891959,1.052149389
15.55404772,1.052149389
15.79278481,1.052149389
16.03518624,1.052149389
16.28130826,1.052149389
16.53120797,1.052149389
16.78494336,1.052149389
17.0425733,1.052149389
17.30415758,1.052149389
17.56975687,1.052149389
17.83943282,1.052149389
18.11324799,1.052149389
18.39126591,1.052149389
18.67355109,1.052149389
18.96016903,1.052149389
19.25118624,1.052149389
19.54667023,1.052149389
19.84668956,1.052149389
20.15131386,1.052149389
20.46061379,1.052149389
20.77466113,1.052149389
21.09352874,1.052149389
21.41729061,1.052149389
21.74602185,1.052149389
22.07979876,1.052149389
22.41869876,1.052149389
22.76280049,1.052149389
23.1121838,1.052149389
23.46692974,1.052149389
23.82712064,1.052149389
24.19284006,1.052149389
24.56417286,1.052149389
24.9412052,1.052149389
25.32402456,1.052149389
25.71271977,1.052149389
26.10738101,1.052149389
26.50809985,1.052149389
26.91496928,1.052149389
27.32808369,1.052149389
27.74753894,1.052149389
28.17343236,1.052149389
28.60586276,1.052149389
29.04493048,1.052149389
29.4907374,1.052149389
29.94338695,1.052149389
30.40298415,1.052149389
30.86963566,1.052149389
31.34344974,1.052149389
31.82453633,1.052149389
32.31300706,1.052149389
32.80897526,1.052149389
33.31255602,1.052149389
33.82386617,1.052149389
34.34302436,1.052149389
34.87015103,1.052149389
35.40536851,1.052149389
35.94880098,1.052149389
36.50057451,1.052149389
37.06081715,1.052149389
37.62965888,1.052149389
38.20723169,1.052149389
38.79366959,1.052149389
39.38910866,1.052149389
39.99368704,1.052149389
40.60754501,1.052149389
41.23082501,1.052149389
41.86367166,1.052149389
42.50623179,1.052149389
43.15865449,1.052149389
43.82109115,1.052149389
44.49369546,1.052149389
45.17662349,1.052149389
45.87003369,1.052149389
46.57408696,1.052149389
47.28894665,1.052149389
48.01477862,1.052149389
48.75175131,1.052149389
49.50003569,1.052149389
50.25980539,1.052149389
51.0312367,1.052149389
51.81450861,1.052149389
52.60980286,1.052149389
53.41730398,1.052149389
54.23719933,1.052149389
55.06967915,1.052149389
55.9149366,1.052149389
56.77316779,1.052149389
57.64457186,1.052149389
58.52935101,1.052149389
