* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Nov 20, 2024 9:41:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Trace Arithmetic A times B A = OB_INM11 L B = calib
* Measurement: INM11 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
20.000000, 99.721
20.299999, 99.813
20.600000, 99.853
20.900000, 99.896
21.200001, 99.924
21.400000, 99.947
21.799999, 99.977
22.000000, 99.972
22.400000, 99.944
22.700001, 99.887
23.000000, 99.846
23.299999, 99.864
23.600000, 99.900
24.000000, 99.907
24.299999, 99.938
24.700001, 100.029
25.000000, 100.097
25.400000, 100.195
25.799999, 100.291
26.200001, 100.331
26.500000, 100.330
26.900000, 100.321
27.200001, 100.314
27.600000, 100.305
28.000000, 100.296
28.500000, 100.286
29.000000, 100.294
29.500000, 100.442
30.000000, 100.701
30.400000, 100.811
30.700001, 100.828
31.100000, 100.788
31.500000, 100.703
32.000000, 100.589
32.500000, 100.523
33.000000, 100.508
33.500000, 100.509
34.000000, 100.548
34.500000, 100.571
35.000000, 100.514
35.500000, 100.415
36.000000, 100.319
36.500000, 100.275
37.000000, 100.308
37.500000, 100.386
38.200001, 100.505
38.700001, 100.583
39.500000, 100.585
40.000000, 100.492
40.599998, 100.430
41.200001, 100.436
41.799999, 100.503
42.500000, 100.656
43.099998, 100.825
43.700001, 100.828
44.400002, 100.633
45.000000, 100.476
45.500000, 100.355
46.200001, 100.242
46.799999, 100.272
47.500000, 100.396
48.200001, 100.427
48.700001, 100.334
49.400002, 100.200
50.000000, 100.207
50.799999, 100.301
51.500000, 100.420
52.200001, 100.522
53.000000, 100.502
53.799999, 100.374
54.500000, 100.276
55.200001, 100.276
56.000000, 100.354
57.000000, 100.469
58.000000, 100.528
59.000000, 100.533
60.000000, 100.548
60.799999, 100.594
61.500000, 100.620
62.200001, 100.613
63.000000, 100.550
64.000000, 100.440
65.000000, 100.369
66.000000, 100.277
67.000000, 100.215
68.000000, 100.152
69.000000, 100.076
70.000000, 100.077
71.000000, 100.123
72.000000, 100.204
73.000000, 100.239
74.000000, 100.172
75.000000, 100.116
76.199997, 100.064
77.500000, 100.026
78.800003, 100.101
80.000000, 100.221
81.199997, 100.172
82.500000, 99.923
83.800003, 99.839
85.000000, 99.910
86.199997, 100.009
87.500000, 100.155
88.500000, 100.286
90.000000, 100.212
91.199997, 99.951
92.500000, 99.850
93.800003, 99.927
95.000000, 99.949
96.199997, 99.975
97.500000, 100.049
98.800003, 100.084
100.000000, 100.031
101.500000, 99.928
103.000000, 99.910
104.400002, 99.936
106.000000, 99.982
107.500000, 99.968
109.000000, 99.886
110.599998, 99.750
112.000000, 99.655
113.800003, 99.654
115.000000, 99.671
117.199997, 99.628
118.000000, 99.618
120.599998, 99.612
122.000000, 99.593
124.099998, 99.470
125.000000, 99.396
126.500000, 99.349
128.000000, 99.389
131.500000, 99.491
132.000000, 99.474
134.000000, 99.309
136.000000, 99.130
138.000000, 99.025
140.000000, 98.948
143.000000, 99.018
145.000000, 99.125
147.500000, 99.082
150.000000, 98.971
