20,	5.349
20.299999,	5.355
20.6,	5.362
20.9,	5.369
21.200001,	5.376
21.4,	5.38
21.799999,	5.388
22,	5.393
22.4,	5.402
22.700001,	5.408
23,	5.415
23.299999,	5.421
23.6,	5.428
24,	5.437
24.299999,	5.443
24.700001,	5.452
25,	5.459
25.4,	5.468
25.799999,	5.477
26.200001,	5.486
26.5,	5.493
26.9,	5.503
27.200001,	5.51
27.6,	5.519
28,	5.528
28.5,	5.541
29,	5.553
29.5,	5.565
30,	5.577
30.4,	5.586
30.700001,	5.594
31.1,	5.604
31.5,	5.614
32,	5.627
32.5,	5.638
33,	5.65
33.5,	5.662
34,	5.675
34.5,	5.687
35,	5.699
35.5,	5.711
36,	5.724
36.5,	5.736
37,	5.749
37.5,	5.761
38.200001,	5.778
38.700001,	5.789
39.5,	5.808
40,	5.82
40.599998,	5.834
41.200001,	5.848
41.799999,	5.862
42.5,	5.877
43.099998,	5.891
43.700001,	5.904
44.400002,	5.919
45,	5.932
45.5,	5.942
46.200001,	5.956
46.799999,	5.968
47.5,	5.982
48.200001,	5.995
48.700001,	6.004
49.400002,	6.017
50,	6.027
50.799999,	6.041
51.5,	6.052
52.200001,	6.063
53,	6.075
53.799999,	6.086
54.5,	6.095
55.200001,	6.104
56,	6.112
57,	6.124
58,	6.134
59,	6.143
60,	6.151
60.799999,	6.157
61.5,	6.162
62.200001,	6.167
63,	6.171
64,	6.177
65,	6.18
66,	6.184
67,	6.188
68,	6.192
69,	6.194
70,	6.196
71,	6.199
72,	6.202
73,	6.204
74,	6.207
75,	6.21
76.199997,	6.213
77.5,	6.217
78.800003,	6.222
80,	6.228
81.199997,	6.234
82.5,	6.24
83.800003,	6.247
85,	6.254
86.199997,	6.262
87.5,	6.27
88.5,	6.276
90,	6.284
91.199997,	6.291
92.5,	6.297
93.800003,	6.305
95,	6.31
96.199997,	6.315
97.5,	6.32
98.800003,	6.325
100,	6.328
101.5,	6.331
103,	6.334
104.400002,	6.335
106,	6.336
107.5,	6.336
109,	6.335
110.599998,	6.333
112,	6.331
113.800003,	6.328
115,	6.326
117.199997,	6.32
118,	6.317
120.599998,	6.308
122,	6.303
124.099998,	6.294
125,	6.291
126.5,	6.284
128,	6.278
131.5,	6.262
132,	6.259
134,	6.25
136,	6.241
138,	6.231
140,	6.22
143,	6.205
145,	6.195
147.5,	6.184
150,	6.172
152.5,	6.162
155,	6.152
157.5,	6.142
160,	6.133
162.5,	6.125
165,	6.118
167.5,	6.111
170,	6.105
172.5,	6.1
175,	6.095
177.5,	6.092
180,	6.088
182.5,	6.086
185,	6.084
187.5,	6.083
190,	6.083
192.5,	6.083
195,	6.084
197.5,	6.086
200,	6.088
203,	6.092
206,	6.096
209,	6.1
212,	6.106
214,	6.112
218,	6.121
220,	6.127
224,	6.14
227,	6.151
230,	6.162
233,	6.173
236,	6.185
240,	6.202
243,	6.215
247,	6.233
250,	6.247
254,	6.267
258,	6.287
262,	6.309
265,	6.324
269,	6.347
272,	6.364
276,	6.386
280,	6.408
285,	6.436
290,	6.464
295,	6.494
300,	6.524
304,	6.549
307,	6.568
311,	6.594
315,	6.619
320,	6.651
325,	6.681
330,	6.712
335,	6.743
340,	6.774
345,	6.807
350,	6.838
355,	6.871
360,	6.903
365,	6.937
370,	6.971
375,	7.007
382,	7.058
387,	7.093
395,	7.15
400,	7.185
406,	7.225
412,	7.264
418,	7.297
425,	7.331
431,	7.356
437,	7.374
444,	7.388
450,	7.395
455,	7.397
462,	7.397
468,	7.394
475,	7.389
482,	7.382
487,	7.377
494,	7.368
500,	7.362
508,	7.352
515,	7.342
522,	7.329
530,	7.314
538,	7.298
545,	7.28
552,	7.261
560,	7.236
570,	7.202
580,	7.164
590,	7.123
600,	7.078
608,	7.042
615,	7.01
622,	6.977
630,	6.939
640,	6.892
650,	6.845
660,	6.799
670,	6.756
680,	6.714
690,	6.675
700,	6.638
710,	6.604
720,	6.573
730,	6.547
740,	6.523
750,	6.504
762,	6.486
775,	6.471
788,	6.462
800,	6.46
812,	6.461
825,	6.467
838,	6.478
850,	6.492
862,	6.51
875,	6.532
885,	6.553
900,	6.587
912,	6.617
925,	6.653
938,	6.693
950,	6.732
962,	6.774
975,	6.822
988,	6.873
1000,	6.923
1015,	6.988
1030,	7.058
1044,	7.124
1060,	7.202
1075,	7.278
1090,	7.356
1106,	7.44
1120,	7.515
1138,	7.612
1150,	7.678
1172,	7.798
1180,	7.842
1206,	7.983
1220,	8.06
1241,	8.173
1250,	8.222
1265,	8.302
1280,	8.382
1315,	8.565
1320,	8.591
1340,	8.693
1360,	8.795
1380,	8.896
1400,	8.994
1430,	9.142
1450,	9.239
1475,	9.361
1500,	9.482
1525,	9.604
1550,	9.727
1575,	9.851
1600,	9.978
1625,	10.106
1650,	10.238
1675,	10.374
1700,	10.512
1725,	10.654
1750,	10.801
1775,	10.953
1800,	11.109
1825,	11.27
1850,	11.436
1875,	11.609
1900,	11.786
1925,	11.968
1950,	12.154
1975,	12.345
2000,	12.539
2030,	12.775
2060,	13.015
2090,	13.254
2120,	13.495
2140,	13.653
2180,	13.967
2200,	14.122
2240,	14.424
2270,	14.645
2300,	14.858
2330,	15.063
2360,	15.261
2400,	15.511
2430,	15.689
2470,	15.913
2500,	16.071
2540,	16.269
2580,	16.45
2620,	16.616
2650,	16.732
2690,	16.872
2720,	16.967
2760,	17.081
2800,	17.178
2850,	17.28
2900,	17.358
2950,	17.412
3000,	17.442
3040,	17.45
3070,	17.446
3110,	17.428
3150,	17.396
3200,	17.34
3250,	17.266
3300,	17.177
3350,	17.074
3400,	16.959
3450,	16.833
3500,	16.7
3550,	16.561
3600,	16.416
3650,	16.266
3700,	16.113
3750,	15.959
3820,	15.741
3870,	15.586
3950,	15.338
4000,	15.185
4060,	15.003
4120,	14.825
4180,	14.65
4250,	14.451
4310,	14.286
4370,	14.124
4440,	13.941
4500,	13.791
4550,	13.669
4620,	13.505
4680,	13.369
4750,	13.218
4820,	13.074
4870,	12.974
4940,	12.841
5000,	12.733
5080,	12.595
5150,	12.48
5220,	12.372
5300,	12.255
5380,	12.144
5450,	12.052
5520,	11.966
5600,	11.872
5700,	11.763
5800,	11.662
5900,	11.569
6000,	11.484
6080,	11.421
6150,	11.371
6220,	11.326
6300,	11.279
6400,	11.227
6500,	11.183
6600,	11.149
6700,	11.123
6800,	11.104
6900,	11.094
7000,	11.091
7100,	11.095
7200,	11.104
7300,	11.117
7400,	11.131
7500,	11.146
7620,	11.159
7750,	11.163
7880,	11.152
8000,	11.125
8120,	11.079
8250,	11.01
8380,	10.923
8500,	10.828
8620,	10.723
8750,	10.597
8850,	10.497
9000,	10.341
9120,	10.211
9250,	10.067
9380,	9.92
9500,	9.784
9620,	9.645
9750,	9.492
9880,	9.337
10000,	9.194
10150,	9.013
10300,	8.831
10440,	8.662
10600,	8.469
10750,	8.289
10900,	8.111
11060,	7.924
11200,	7.763
11380,	7.563
11500,	7.434
11720,	7.207
11800,	7.127
12060,	6.881
12200,	6.756
12410,	6.58
12500,	6.51
12650,	6.397
12800,	6.291
13150,	6.062
13200,	6.031
13400,	5.911
13600,	5.796
13800,	5.686
14000,	5.578
14300,	5.419
14500,	5.312
14750,	5.178
15000,	5.04
15250,	4.898
15500,	4.75
15750,	4.598
16000,	4.44
