* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Nov 20, 2024 9:41:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Trace Arithmetic A times B A = OB_INM8 R B = calib
* Measurement: INM8 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
20.000000, 95.624
20.299999, 95.738
20.600000, 95.830
20.900000, 95.896
21.200001, 95.943
21.400000, 95.999
21.799999, 96.099
22.000000, 96.161
22.400000, 96.333
22.700001, 96.457
23.000000, 96.528
23.299999, 96.565
23.600000, 96.606
24.000000, 96.650
24.299999, 96.679
24.700001, 96.673
25.000000, 96.636
25.400000, 96.564
25.799999, 96.505
26.200001, 96.501
26.500000, 96.563
26.900000, 96.719
27.200001, 96.875
27.600000, 97.014
28.000000, 97.076
28.500000, 97.085
29.000000, 97.067
29.500000, 96.987
30.000000, 96.883
30.400000, 96.850
30.700001, 96.843
31.100000, 96.841
31.500000, 96.866
32.000000, 96.917
32.500000, 96.965
33.000000, 97.059
33.500000, 97.189
34.000000, 97.424
34.500000, 97.632
35.000000, 97.729
35.500000, 97.737
36.000000, 97.595
36.500000, 97.420
37.000000, 97.269
37.500000, 97.101
38.200001, 97.046
38.700001, 97.194
39.500000, 97.400
40.000000, 97.425
40.599998, 97.406
41.200001, 97.335
41.799999, 97.270
42.500000, 97.384
43.099998, 97.606
43.700001, 97.712
44.400002, 97.738
45.000000, 97.603
45.500000, 97.357
46.200001, 97.072
46.799999, 97.039
47.500000, 97.243
48.200001, 97.460
48.700001, 97.605
49.400002, 97.792
50.000000, 97.886
50.799999, 97.944
51.500000, 97.914
52.200001, 97.829
53.000000, 97.716
53.799999, 97.575
54.500000, 97.476
55.200001, 97.476
56.000000, 97.554
57.000000, 97.669
58.000000, 97.728
59.000000, 97.733
60.000000, 97.751
60.799999, 97.841
61.500000, 97.991
62.200001, 98.075
63.000000, 97.972
64.000000, 97.727
65.000000, 97.639
66.000000, 97.670
67.000000, 97.710
68.000000, 97.707
69.000000, 97.671
70.000000, 97.686
71.000000, 97.761
72.000000, 97.797
73.000000, 97.763
74.000000, 97.726
75.000000, 97.759
76.199997, 97.857
77.500000, 97.942
78.800003, 97.837
80.000000, 97.584
81.199997, 97.364
82.500000, 97.260
83.800003, 97.307
85.000000, 97.356
86.199997, 97.308
87.500000, 97.258
88.500000, 97.294
90.000000, 97.358
91.199997, 97.333
92.500000, 97.325
93.800003, 97.376
95.000000, 97.414
96.199997, 97.451
97.500000, 97.435
98.800003, 97.319
100.000000, 97.194
101.500000, 97.085
103.000000, 96.971
104.400002, 96.874
106.000000, 96.932
107.500000, 97.090
109.000000, 97.231
110.599998, 97.194
112.000000, 97.112
113.800003, 97.191
115.000000, 97.251
117.199997, 97.228
118.000000, 97.218
120.599998, 97.214
122.000000, 97.212
124.099998, 97.147
125.000000, 97.088
126.500000, 97.048
128.000000, 97.089
131.500000, 97.159
132.000000, 97.131
134.000000, 96.965
136.000000, 96.823
138.000000, 96.731
140.000000, 96.682
143.000000, 96.592
145.000000, 96.509
147.500000, 96.510
150.000000, 96.698
