Freq[Hz]     dBSPL  Phase[Deg]
5.00000    121.376    -3.146
5.07273    121.375    -3.151
5.14651    121.372    -3.157
5.22137    121.369    -3.165
5.29732    121.366    -3.174
5.37437    121.362    -3.184
5.45254    121.359    -3.194
5.53185    121.355    -3.205
5.61231    121.352    -3.216
5.69394    121.348    -3.227
5.77676    121.345    -3.238
5.86079    121.341    -3.249
5.94604    121.338    -3.261
6.03252    121.335    -3.272
6.12027    121.331    -3.284
6.20929    121.328    -3.296
6.29961    121.324    -3.308
6.39124    121.321    -3.321
6.48420    121.317    -3.333
6.57851    121.314    -3.346
6.67420    121.311    -3.359
6.77128    121.307    -3.372
6.86977    121.304    -3.386
6.96969    121.300    -3.399
7.07107    121.297    -3.413
7.17392    121.293    -3.427
7.27827    121.290    -3.441
7.38413    121.286    -3.456
7.49154    121.283    -3.470
7.60050    121.280    -3.485
7.71105    121.276    -3.501
7.82321    121.273    -3.516
7.93701    121.269    -3.532
8.05245    121.266    -3.548
8.16958    121.262    -3.564
8.28841    121.259    -3.580
8.40896    121.256    -3.597
8.53128    121.252    -3.614
8.65537    121.249    -3.631
8.78126    121.245    -3.649
8.90899    121.242    -3.667
9.03857    121.238    -3.685
9.17004    121.235    -3.703
9.30342    121.231    -3.722
9.43874    121.228    -3.741
9.57603    121.225    -3.760
9.71532    121.221    -3.780
9.85663    121.218    -3.800
10.0000    121.214    -3.820
10.1455    121.211    -3.841
10.2930    121.207    -3.862
10.4427    121.204    -3.884
10.5946    121.201    -3.905
10.7487    121.197    -3.928
10.9051    121.194    -3.950
11.0637    121.190    -3.973
11.2246    121.187    -3.997
11.3879    121.183    -4.020
11.5535    121.180    -4.045
11.7216    121.176    -4.069
11.8921    121.173    -4.094
12.0650    121.170    -4.120
12.2405    121.166    -4.146
12.4186    121.163    -4.173
12.5992    121.159    -4.200
12.7825    121.156    -4.228
12.9684    121.152    -4.256
13.1570    121.149    -4.285
13.3484    121.146    -4.314
13.5426    121.142    -4.344
13.7395    121.139    -4.375
13.9394    121.135    -4.406
14.1421    121.132    -4.438
14.3478    121.128    -4.471
14.5565    121.125    -4.504
14.7683    121.121    -4.538
14.9831    121.118    -4.573
15.2010    121.115    -4.610
15.4221    121.111    -4.647
15.6464    121.108    -4.685
15.8740    121.104    -4.724
16.1049    121.101    -4.765
16.3392    121.097    -4.806
16.5768    121.094    -4.849
16.8179    121.091    -4.893
17.0626    121.087    -4.939
17.3107    121.084    -4.986
17.5625    121.080    -5.035
17.8180    121.077    -5.087
18.0771    121.073    -5.140
18.3401    121.070    -5.196
18.6068    121.066    -5.255
18.8775    121.063    -5.317
19.1521    121.060    -5.384
19.4306    121.056    -5.457
19.7133    121.053    -5.536
20.0000    121.049    -5.626
20.2909    121.046    -5.734
20.5860    121.042    -5.863
20.8855    121.036    -6.013
21.1893    121.018    -6.161
21.4975    120.982    -6.269
21.8102    120.942    -6.325
22.1274    120.902    -6.320
22.4492    120.872    -6.253
22.7758    120.850    -6.141
23.1071    120.839    -6.018
23.4432    120.838    -5.916
23.7841    120.845    -5.839
24.1301    120.860    -5.798
24.4811    120.870    -5.803
24.8372    120.871    -5.832
25.1984    120.872    -5.870
25.5649    120.872    -5.909
25.9368    120.872    -5.948
26.3141    120.872    -5.990
26.6968    120.872    -6.036
27.0851    120.872    -6.085
27.4791    120.872    -6.139
27.8788    120.872    -6.198
28.2843    120.872    -6.261
28.6957    120.872    -6.330
29.1131    120.872    -6.404
29.5365    120.872    -6.484
29.9661    120.872    -6.572
30.4020    120.872    -6.668
30.8442    120.872    -6.775
31.2929    120.872    -6.895
31.7480    120.872    -7.038
32.2098    120.871    -7.206
32.6783    120.868    -7.398
33.1536    120.852    -7.590
33.6359    120.817    -7.740
34.1251    120.779    -7.835
34.6215    120.740    -7.871
35.1250    120.718    -7.859
35.6359    120.712    -7.838
36.1543    120.711    -7.842
36.6802    120.711    -7.879
37.2137    120.711    -7.954
37.7550    120.711    -8.065
38.3041    120.710    -8.209
38.8613    120.702    -8.375
39.4265    120.678    -8.529
40.0000    120.640    -8.635
40.5818    120.601    -8.686
