* Freq(Hz), SPL(dB)
20.000000, 0.000
20.299999, 0.000
20.600000, 0.000
20.900000, 0.000
21.200001, 0.000
21.400000, 0.000
21.799999, 0.000
22.000000, 0.000
22.400000, 0.000
22.700001, 0.001
23.000000, 0.002
23.299999, 0.003
23.600000, 0.005
24.000000, 0.007
24.299999, 0.009
24.700001, 0.011
25.000000, 0.013
25.400000, 0.014
25.799999, 0.017
26.200001, 0.019
26.500000, 0.021
26.900000, 0.023
27.200001, 0.025
27.600000, 0.027
28.000000, 0.029
28.500000, 0.031
29.000000, 0.034
29.500000, 0.036
30.000000, 0.039
30.400000, 0.042
30.700001, 0.044
31.100000, 0.047
31.500000, 0.049
32.000000, 0.051
32.500000, 0.054
33.000000, 0.057
33.500000, 0.059
34.000000, 0.062
34.500000, 0.064
35.000000, 0.067
35.500000, 0.070
36.000000, 0.073
36.500000, 0.075
37.000000, 0.078
37.500000, 0.081
38.200001, 0.085
38.700001, 0.087
39.500000, 0.091
40.000000, 0.093
40.599998, 0.097
41.200001, 0.100
41.799999, 0.103
42.500000, 0.107
43.099998, 0.110
43.700001, 0.113
44.400002, 0.117
45.000000, 0.120
45.500000, 0.123
46.200001, 0.126
46.799999, 0.129
47.500000, 0.133
48.200001, 0.137
48.700001, 0.139
49.400002, 0.143
50.000000, 0.146
50.799999, 0.149
51.500000, 0.152
52.200001, 0.155
53.000000, 0.159
53.799999, 0.163
54.500000, 0.166
55.200001, 0.169
56.000000, 0.173
57.000000, 0.177
58.000000, 0.181
59.000000, 0.185
60.000000, 0.190
60.799999, 0.194
61.500000, 0.197
62.200001, 0.201
63.000000, 0.205
64.000000, 0.209
65.000000, 0.213
66.000000, 0.216
67.000000, 0.220
68.000000, 0.224
69.000000, 0.228
70.000000, 0.233
71.000000, 0.237
72.000000, 0.242
73.000000, 0.246
74.000000, 0.250
75.000000, 0.254
76.199997, 0.259
77.500000, 0.263
78.800003, 0.268
80.000000, 0.272
81.199997, 0.277
82.500000, 0.282
83.800003, 0.287
85.000000, 0.292
86.199997, 0.297
87.500000, 0.302
88.500000, 0.306
90.000000, 0.312
91.199997, 0.317
92.500000, 0.322
93.800003, 0.327
95.000000, 0.332
96.199997, 0.337
97.500000, 0.342
98.800003, 0.347
100.000000, 0.351
101.500000, 0.358
103.000000, 0.365
104.400002, 0.373
106.000000, 0.384
107.500000, 0.395
109.000000, 0.406
110.599998, 0.419
112.000000, 0.431
113.800003, 0.447
115.000000, 0.458
117.199997, 0.478
118.000000, 0.485
120.599998, 0.510
122.000000, 0.523
124.099998, 0.541
125.000000, 0.548
126.500000, 0.559
128.000000, 0.569
131.500000, 0.591
132.000000, 0.594
134.000000, 0.607
136.000000, 0.619
138.000000, 0.630
140.000000, 0.642
143.000000, 0.659
145.000000, 0.670
147.500000, 0.684
150.000000, 0.697
152.500000, 0.711
155.000000, 0.724
