* Measurement data measured by REW V5.20.13
* Source: JM-1 10dB Target Filtered
* Format: 
* Dated: Nov 19, 2023 10:11:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Ralph Ivan Danque\Documents\Personal SquigLink\data\JM-1 10dB Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  LSQ      Fc   105.0 Hz  Gain   5.00 dB Q  0.776 HSQ      Fc    2500 Hz  Gain  -2.00 dB Q  0.391 PK       Fc    2800 Hz  Gain  -1.00 dB  Q  1.800
* Measurement: JM-1 Charlie Marks Bass
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.438 Hz
*
* Freq(Hz), SPL(dB)
20.437943, 10.409
20.586044, 10.407
20.735220, 10.406
20.885475, 10.404
21.036821, 10.403
21.189262, 10.401
21.342808, 10.400
21.497467, 10.398
21.653246, 10.397
21.810154, 10.395
21.968201, 10.393
22.127390, 10.391
22.287735, 10.389
22.449242, 10.386
22.611917, 10.383
22.775772, 10.380
22.940815, 10.377
23.107054, 10.374
23.274498, 10.370
23.443153, 10.366
23.613033, 10.362
23.784142, 10.358
23.956491, 10.354
24.130091, 10.349
24.304947, 10.345
24.481071, 10.340
24.658470, 10.335
24.837156, 10.329
25.017136, 10.324
25.198421, 10.319
25.381020, 10.313
25.564941, 10.307
25.750195, 10.301
25.936790, 10.295
26.124741, 10.289
26.314051, 10.283
26.504732, 10.277
26.696796, 10.271
26.890253, 10.264
27.085112, 10.257
27.281382, 10.250
27.479073, 10.243
27.678198, 10.236
27.878765, 10.229
28.080786, 10.221
28.284271, 10.214
28.489231, 10.206
28.695675, 10.198
28.903616, 10.191
29.113064, 10.183
29.324028, 10.175
29.536524, 10.167
29.750557, 10.159
29.966141, 10.151
30.183289, 10.143
30.402010, 10.134
30.622314, 10.126
30.844217, 10.117
31.067726, 10.108
31.292856, 10.099
31.519617, 10.090
31.748020, 10.081
31.978081, 10.072
32.209808, 10.063
32.443211, 10.054
32.678310, 10.045
32.915108, 10.036
33.153625, 10.026
33.393871, 10.017
33.635857, 10.007
33.879597, 9.998
34.125103, 9.988
34.372387, 9.978
34.621464, 9.969
34.872345, 9.959
35.125042, 9.949
35.379574, 9.940
35.635948, 9.930
35.894180, 9.920
36.154285, 9.910
36.416275, 9.900
36.680161, 9.890
36.945961, 9.880
37.213688, 9.870
37.483353, 9.860
37.754974, 9.850
38.028561, 9.841
38.304131, 9.831
38.581699, 9.821
38.861279, 9.811
39.142883, 9.801
39.426529, 9.791
39.712231, 9.781
40.000000, 9.771
40.289856, 9.761
40.581814, 9.751
40.875885, 9.742
41.172089, 9.732
41.470440, 9.722
41.770950, 9.712
42.073643, 9.703
42.378525, 9.693
42.685616, 9.683
42.994934, 9.673
43.306492, 9.663
43.620308, 9.653
43.936401, 9.643
44.254780, 9.633
44.575470, 9.623
44.898483, 9.613
45.223835, 9.603
45.551544, 9.593
45.881630, 9.583
46.214108, 9.573
46.548996, 9.562
46.886307, 9.552
47.226067, 9.542
47.568283, 9.531
47.912983, 9.520
48.260181, 9.510
48.609894, 9.499
48.962143, 9.488
49.316940, 9.477
49.674313, 9.466
