Freq[Hz]     dBSPL  Phase[Deg]
134.543     63.816   -27.754
136.500     63.752   -27.517
138.486     63.688   -27.279
140.500     63.623   -27.033
142.544     63.555   -26.770
144.617     63.490   -26.484
146.721     63.426   -26.181
148.855     63.366   -25.866
151.020     63.310   -25.551
153.217     63.257   -25.247
155.445     63.202   -24.943
157.706     63.153   -24.650
160.000     63.097   -24.367
162.327     63.044   -24.078
164.688     62.989   -23.792
167.084     62.929   -23.489
169.514     62.870   -23.159
171.980     62.811   -22.798
174.481     62.758   -22.413
177.019     62.712   -22.035
179.594     62.664   -21.661
182.206     62.623   -21.303
184.856     62.574   -20.958
187.545     62.522   -20.584
190.273     62.473   -20.185
193.041     62.422   -19.755
195.849     62.375   -19.280
198.697     62.342   -18.797
201.587     62.311   -18.326
204.520     62.287   -17.875
207.494     62.262   -17.451
210.512     62.234   -17.022
213.574     62.207   -16.577
216.681     62.181   -16.111
219.833     62.163   -15.620
223.030     62.155   -15.141
226.274     62.152   -14.695
229.565     62.152   -14.281
232.905     62.152   -13.896
236.292     62.152   -13.530
239.729     62.152   -13.180
243.216     62.152   -12.844
246.754     62.152   -12.518
250.343     62.152   -12.203
253.984     62.152   -11.896
257.678     62.152   -11.597
261.426     62.152   -11.305
265.229     62.152   -11.019
269.087     62.152   -10.739
273.001     62.152   -10.464
276.972     62.152   -10.192
281.000     62.152    -9.924
285.088     62.152    -9.658
289.234     62.152    -9.394
293.441     62.152    -9.129
297.709     62.152    -8.863
302.040     62.152    -8.591
306.433     62.152    -8.306
310.890     62.155    -8.006
315.412     62.163    -7.691
320.000     62.181    -7.385
324.655     62.207    -7.127
329.377     62.234    -6.922
334.168     62.259    -6.767
339.028     62.278    -6.649
343.959     62.290    -6.528
348.962     62.302    -6.386
354.038     62.321    -6.250
359.188     62.348    -6.165
364.412     62.371    -6.147
369.713     62.389    -6.197
375.090     62.390    -6.285
380.546     62.372    -6.339
386.081     62.348    -6.325
391.697     62.322    -6.242
397.394     62.302    -6.100
403.175     62.293    -5.941
409.039     62.289    -5.797
414.989     62.289    -5.675
421.025     62.289    -5.580
427.149     62.289    -5.514
433.362     62.285    -5.475
439.665     62.278    -5.461
446.060     62.259    -5.447
452.548     62.234    -5.396
459.131     62.207    -5.300
465.809     62.181    -5.160
472.584     62.163    -4.987
479.458     62.155    -4.823
486.432     62.152    -4.703
493.507     62.149    -4.631
500.686     62.141    -4.608
507.968     62.123    -4.611
515.357     62.094    -4.600
522.853     62.060    -4.568
530.458     62.015    -4.492
538.174     61.971    -4.348
546.002     61.934    -4.171
553.943     61.897    -3.986
562.001     61.860    -3.779
570.175     61.826    -3.559
578.469     61.794    -3.335
586.883     61.760    -3.107
595.419     61.723    -2.856
604.080     61.690    -2.577
612.866     61.660    -2.292
621.780     61.631    -2.002
630.824     61.605    -1.713
640.000     61.579    -1.434
649.309     61.549    -1.155
658.753     61.520    -0.871
668.335     61.487    -0.580
678.056     61.449    -0.265
687.919     61.413     0.078
697.925     61.376     0.435
708.077     61.331     0.830
718.376     61.287     1.297
728.825     61.253     1.812
739.426     61.223     2.353
750.181     61.205     2.905
761.093     61.194     3.432
772.163     61.183     3.922
783.394     61.165     4.401
794.789     61.139     4.915
806.349     61.113     5.482
818.078     61.087     6.110
829.977     61.068     6.795
842.050     61.060     7.506
854.298     61.057     8.224
866.724     61.057     8.960
879.330     61.059     9.733
892.120     61.067    10.558
905.097     61.087    11.430
918.262     61.127    12.309
931.618     61.180    13.147
945.169     61.235    13.956
958.917     61.298    14.751
972.864     61.366    15.547
987.015     61.448    16.342
1001.37     61.547    17.090
1015.94     61.655    17.760
1030.71     61.773    18.321
1045.71     61.880    18.785
1060.92     61.976    19.232
1076.35     62.076    19.679
1092.00     62.178    20.110
1107.89     62.283    20.524
1124.00     62.395    20.900
1140.35     62.507    21.226
1156.94     62.618    21.520
1173.77     62.730    21.779
1190.84     62.845    21.988
1208.16     62.955    22.151
1225.73     63.063    22.277
1243.56     63.167    22.363
1261.65     63.263    22.416
1280.00     63.347    22.469
1298.62     63.425    22.547
1317.51     63.495    22.680
1336.67     63.572    22.876
1356.11     63.660    23.089
1375.84     63.749    23.305
1395.85     63.849    23.515
1416.15     63.952    23.695
1436.75     64.056    23.866
1457.65     64.170    24.015
1478.85     64.287    24.120
1500.36     64.406    24.181
1522.19     64.527    24.177
1544.33     64.635    24.140
1566.79     64.743    24.108
1589.58     64.850    24.073
1612.70     64.957    24.037
1636.16     65.070    23.984
1659.95     65.184    23.893
1684.10     65.296    23.762
1708.60     65.401    23.596
1733.45     65.489    23.453
1758.66     65.578    23.379
1784.24     65.671    23.373
1810.19     65.782    23.404
1836.52     65.913    23.390
1863.24     66.047    23.295
1890.34     66.180    23.139
1917.83     66.310    22.943
1945.73     66.434    22.752
1974.03     66.572    22.564
2002.74     66.721    22.312
2031.87     66.869    21.980
2061.43     67.014    21.591
2091.41     67.160    21.141
2121.83     67.297    20.648
2152.69     67.435    20.132
2184.01     67.572    19.576
2215.77     67.709    18.971
2248.00     67.842    18.313
2280.70     67.966    17.629
2313.87     68.095    16.914
2347.53     68.222    16.126
2381.68     68.328    15.319
2416.32     68.442    14.500
2451.46     68.544    13.644
2487.12     68.639    12.797
2523.30     68.739    11.947
2560.00     68.839    11.050
2597.24     68.932    10.105
2635.01     69.016     9.134
2673.34     69.090     8.170
2712.23     69.168     7.201
2751.68     69.238     6.212
2791.70     69.304     5.223
