* Measurement data measured by REW V5.20.13
* Source: Rollo Delta Filtered
* Format: 
* Dated: Sep 13, 2023 1:16:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: Measurement imported from D:\Squiglink\data\? 10dB Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   54.00 Hz  Gain  11.20 dB Q  0.400 PK       Fc   350.0 Hz  Gain  -0.20 dB  Q  4.000 PK       Fc   500.0 Hz  Gain  -1.10 dB  Q  0.600 PK       Fc   800.0 Hz  Gain  -0.80 dB  Q  1.500 PK       Fc    1000 Hz  Gain  -0.30 dB  Q  3.000 PK       Fc    1600 Hz  Gain   2.00 dB  Q  0.600 PK       Fc    3000 Hz  Gain  -1.10 dB  Q  1.200 PK       Fc    6000 Hz  Gain  -0.10 dB  Q  1.000
* Measurement: Hadoe Tilt Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB)
70.000000 8.843
71.000000 8.775
72.000000 8.708
73.000000 8.641
74.000000 8.575
75.000000 8.509
76.199997 8.432
77.500000 8.348
78.800003 8.266
80.000000 8.191
81.199997 8.117
82.500000 8.038
83.800003 7.960
85.000000 7.888
86.199997 7.817
87.500000 7.742
88.500000 7.684
90.000000 7.598
91.199997 7.531
92.500000 7.458
93.800003 7.386
95.000000 7.320
96.199997 7.254
97.500000 7.183
98.800003 7.113
100.000000 7.049
101.500000 6.970
103.000000 6.891
104.400002 6.818
106.000000 6.735
107.500000 6.659
109.000000 6.582
110.599998 6.502
112.000000 6.432
113.800003 6.344
115.000000 6.285
117.199997 6.179
118.000000 6.140
120.599998 6.018
122.000000 5.953
124.099998 5.856
125.000000 5.815
126.500000 5.748
128.000000 5.682
131.500000 5.530
132.000000 5.509
134.000000 5.424
136.000000 5.342
138.000000 5.261
140.000000 5.181
143.000000 5.065
145.000000 4.989
147.500000 4.897
150.000000 4.807
152.500000 4.719
155.000000 4.633
157.500000 4.550
160.000000 4.468
162.500000 4.389
165.000000 4.310
167.500000 4.234
170.000000 4.159
172.500000 4.086
175.000000 4.015
177.500000 3.946
180.000000 3.878
182.500000 3.811
185.000000 3.746
187.500000 3.683
190.000000 3.621
192.500000 3.560
195.000000 3.501
197.500000 3.443
200.000000 3.386
203.000000 3.320
206.000000 3.256
209.000000 3.194
212.000000 3.134
214.000000 3.094
218.000000 3.018
220.000000 2.981
224.000000 2.909
227.000000 2.858
230.000000 2.808
233.000000 2.759
236.000000 2.712
240.000000 2.651
243.000000 2.607
247.000000 2.549
250.000000 2.508
254.000000 2.454
258.000000 2.400
262.000000 2.348
265.000000 2.310
269.000000 2.260
272.000000 2.223
276.000000 2.174
280.000000 2.126
285.000000 2.067
290.000000 2.009
295.000000 1.951
300.000000 1.894
304.000000 1.848
307.000000 1.814
311.000000 1.769
315.000000 1.723
320.000000 1.666
325.000000 1.611
330.000000 1.557
335.000000 1.505
340.000000 1.458
345.000000 1.416
350.000000 1.380
355.000000 1.350
360.000000 1.326
365.000000 1.306
370.000000 1.288
375.000000 1.273
382.000000 1.253
387.000000 1.238
395.000000 1.213
400.000000 1.197
406.000000 1.176
412.000000 1.154
418.000000 1.132
425.000000 1.105
431.000000 1.082
437.000000 1.058
444.000000 1.030
450.000000 1.006
455.000000 0.987
462.000000 0.960
468.000000 0.937
475.000000 0.911
482.000000 0.885
487.000000 0.867
494.000000 0.842
500.000000 0.821
508.000000 0.793
515.000000 0.769
522.000000 0.745
530.000000 0.719
538.000000 0.694
545.000000 0.673
552.000000 0.652
560.000000 0.629
570.000000 0.601
580.000000 0.575
590.000000 0.551
600.000000 0.527
608.000000 0.508
615.000000 0.492
622.000000 0.476
630.000000 0.458
640.000000 0.436
650.000000 0.414
660.000000 0.392
670.000000 0.369
680.000000 0.348
690.000000 0.326
700.000000 0.306
710.000000 0.286
720.000000 0.269
730.000000 0.253
740.000000 0.241
750.000000 0.231
762.000000 0.223
775.000000 0.220
788.000000 0.224
800.000000 0.232
812.000000 0.244
825.000000 0.263
838.000000 0.288
850.000000 0.314
862.000000 0.343
875.000000 0.377
885.000000 0.405
900.000000 0.449
912.000000 0.487
925.000000 0.531
938.000000 0.578
950.000000 0.625
962.000000 0.676
975.000000 0.737
988.000000 0.805
1000.000000 0.874
1015.000000 0.969
1030.000000 1.073
1044.000000 1.175
1060.000000 1.298
1075.000000 1.416
1090.000000 1.533
1106.000000 1.654
1120.000000 1.756
1138.000000 1.881
1150.000000 1.960
1172.000000 2.096
1180.000000 2.143
1206.000000 2.290
1220.000000 2.366
1241.000000 2.478
1250.000000 2.525
1265.000000 2.604
1280.000000 2.682
1315.000000 2.862
1320.000000 2.887
1340.000000 2.988
1360.000000 3.088
1380.000000 3.186
1400.000000 3.281
1430.000000 3.420
1450.000000 3.511
1475.000000 3.622
1500.000000 3.731
1525.000000 3.838
1550.000000 3.945
1575.000000 4.050
1600.000000 4.154
1625.000000 4.256
1650.000000 4.357
1675.000000 4.459
1700.000000 4.560
1725.000000 4.661
1750.000000 4.764
1775.000000 4.869
1800.000000 4.977
1825.000000 5.087
1850.000000 5.200
1875.000000 5.316
1900.000000 5.435
1925.000000 5.557
1950.000000 5.683
1975.000000 5.813
2000.000000 5.947
2030.000000 6.114
2060.000000 6.288
2090.000000 6.469
2120.000000 6.654
2140.000000 6.779
2180.000000 7.028
2200.000000 7.150
2240.000000 7.380
2270.000000 7.538
2300.000000 7.682
2330.000000 7.813
2360.000000 7.931
2400.000000 8.076
2430.000000 8.177
2470.000000 8.304
2500.000000 8.395
2540.000000 8.511
2580.000000 8.624
2620.000000 8.732
2650.000000 8.810
2690.000000 8.910
2720.000000 8.980
2760.000000 9.065
2800.000000 9.141
2850.000000 9.221
2900.000000 9.284
2950.000000 9.329
3000.000000 9.357
3040.000000 9.368
3070.000000 9.370
3110.000000 9.365
3150.000000 9.350
3200.000000 9.319
3250.000000 9.275
3300.000000 9.219
3350.000000 9.151
3400.000000 9.074
3450.000000 8.989
3500.000000 8.898
3550.000000 8.803
3600.000000 8.704
3650.000000 8.604
3700.000000 8.502
